Symbol	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	B_cells	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage
A1BG	161.875	92.33333333	122.75	75	100.1363636	127.75	125.0769231	83.72727273	138.75	115.9090909
A1CF	43.6875	41.83333333	32.91666667	34.8	39.04545455	46.25	50.34615385	33.63636364	25.375	38.54545455
A2BP1	42.625	40.66666667	33.16666667	40.8	31.90909091	46	42	35.27272727	31.5	34.36363636
A2LD1	57.5	75.83333333	58.58333333	35.4	42.04545455	39	47.53846154	64.54545455	97.625	69.81818182
A2M	33.4375	28.33333333	16.16666667	23	32.86363636	46.75	46.15384615	81.27272727	453	5796
A2ML1	13.75	13.83333333	14.33333333	15.2	12.86363636	15	14.65384615	14	12	14.09090909
A4GALT	107.4375	104.8333333	112	168	86.72727273	175.25	102.2307692	124.1818182	113.625	140.8181818
A4GNT	30.9375	27.16666667	30.25	26.6	29.13636364	34.25	30.76923077	25.90909091	25.125	25.09090909
AAA1	36.375	35.5	24.16666667	28	28.22727273	29.25	36.46153846	24.45454545	22.75	24.18181818
AAAS	263.625	237.5	80.16666667	190.4	224.3181818	413.25	180.8076923	277.4545455	224.625	209.4545455
AACS	102.25	37.66666667	208.25	96	144.4090909	57.25	111.5	294.2727273	441.5	163.9090909
AACSL	13.5625	13.16666667	10.91666667	18.4	11.54545455	18.5	12.88461538	12.18181818	10	11.81818182
AADAC	38.375	37	24.08333333	44.4	30.18181818	63.75	35.80769231	55.36363636	31.375	30.72727273
AADACL2	10.4375	10.16666667	9.833333333	10.8	9.727272727	10	10.03846154	10.45454545	9.875	9.636363636
AADAT	23.5	23	23.83333333	22.4	20.40909091	29	24.61538462	29.09090909	61.5	19.54545455
AAGAB	112	130.1666667	258.5833333	114.4	95.09090909	103.75	128.3846154	100	102.375	95.45454545
AAK1	93.4375	87.66666667	77.83333333	126.6	139.5454545	96.5	137.1153846	63.81818182	67.75	70.63636364
AAMP	430.875	593.5	332.0833333	175	315.9545455	210	198.5769231	462.9090909	552.5	402.1818182
AANAT	18	16.16666667	19.08333333	16.4	14.90909091	15	15.19230769	18.09090909	14.75	21.36363636
AARS	273.3125	294.5	124.0833333	118.2	427.2727273	447	275.5769231	806.9090909	811.5	557
AARS2	102.4375	90.83333333	110.6666667	91.6	113.0909091	100.5	108.5769231	106.2727273	76.25	118.7272727
AARSD1	124.5625	105.1666667	171.1666667	46.2	130.2272727	166.25	173.3461538	212.0909091	223	103.0909091
AASDH	336.625	188.6666667	320.6666667	69.6	262.4545455	698.5	724.0384615	105.4545455	113.5	164.5454545
AASDHPPT	445	246.6666667	660.5833333	164.2	348.2272727	812.5	765.5769231	503.1818182	472.25	388.2727273
AASS	12.25	11.5	25.25	13.2	20.18181818	26.25	18.73076923	48.36363636	52	10.54545455
AATF	494.3125	626	413.6666667	580.8	517.6818182	370.75	348.0769231	495.3636364	453.75	443.9090909
AATK	173.0625	158.5	151.8333333	269.8	81.77272727	139.5	118.9615385	103	87.375	127.2727273
ABAT	163.3125	134.6666667	96.33333333	449.8	103.6363636	31.5	50.57692308	49.27272727	261.25	228.1818182
ABCA1	200.9375	168	43.58333333	756.8	75.40909091	225.5	187.5384615	165.7272727	461.5	1228.727273
ABCA11P	20.5625	20.83333333	22	21	57.04545455	52.5	36.38461538	44.63636364	49.625	25
ABCA12	8.5	9.166666667	8.166666667	8.6	8.681818182	9.25	8.692307692	8.272727273	8	8.636363636
ABCA13	8.1875	7.166666667	7.666666667	8.2	10.68181818	7.25	11.5	7.636363636	8	7.636363636
ABCA17P	12.875	11.5	18.33333333	13.6	17.45454545	14.5	13.57692308	13.27272727	13.5	13.90909091
ABCA2	49.6875	57	69.58333333	59.4	65.18181818	54	49.23076923	60.45454545	62.875	62.45454545
ABCA3	88.8125	86.83333333	155.4166667	110.8	90.54545455	105.5	84.84615385	213.3636364	104	81.54545455
ABCA4	45.4375	47.33333333	31.75	39	40.90909091	50	49.65384615	42	31.375	38.27272727
ABCA5	34.125	29.66666667	371.1666667	116.2	241.1363636	54.75	155.3461538	127.4545455	123.75	118.6363636
ABCA6	14.6875	13	10.91666667	14	11.95454545	15.75	13.53846154	67.45454545	46.875	49.18181818
ABCA7	181.25	181.8333333	376.4166667	381.2	235.5454545	129	106.7692308	60.90909091	53.75	97.63636364
ABCA8	10.0625	10.33333333	10	11.2	9.045454545	9.25	9.461538462	176.9090909	465.75	8.545454545
ABCA9	18.9375	17	11.91666667	21.4	17	27.75	20.80769231	37.27272727	98.125	21
ABCB1	15.125	21	317.1666667	19.2	63.22727273	34.25	297.1923077	26.36363636	11.875	20.09090909
ABCB10	175.1875	273.6666667	298.8333333	47	280.5454545	35.25	127.1153846	252.8181818	246.5	338.0909091
ABCB11	12.5	11	10.33333333	14.8	10.63636364	16.75	13.65384615	13.36363636	10.375	13
ABCB4	29.9375	25.5	16.83333333	22.4	22.45454545	182	33.26923077	22.72727273	27.375	87.27272727
ABCB5	53.375	52.83333333	43.66666667	44.8	41.68181818	50.25	54.26923077	41	36.375	42.36363636
ABCB6	60.3125	68.16666667	50.66666667	58.4	72.18181818	62.5	72.92307692	144.4545455	164.5	83.36363636
ABCB7	374.6875	263.3333333	298.3333333	55.8	256.9090909	325.25	173.5769231	250.6363636	184	304
ABCB8	70.5625	73.83333333	54	54.8	58.13636364	49	49.65384615	75.18181818	78.5	67.63636364
ABCB9	88.375	82.33333333	54.66666667	76.4	74.18181818	153.25	110.0769231	52	39.375	71.81818182
ABCC1	123.375	172	72.33333333	88.2	172.5909091	83.25	118.1538462	277.9090909	220.875	293.5454545
ABCC10	147.1875	140.5	329.0833333	55.6	445.1818182	46.5	175.0769231	315.9090909	366.75	465.1818182
