Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE	Absolute score (sig.score)
S17973	0.0524707342086044	0	0.00491865189071934	0	0	0	0	0	0.153847002127785	0	0.29045812501782	0	0.0278661263398965	0	0.0214363796638687	0.117076077263168	0	0.285233024760903	0.024359219777961	0	0.0585081257679837	9999	0.4378684174602	1.02045400402599	1.03617346681871
S17985	0.034479243887967	0	0.00595976991595616	0	0	0	0	0	0.151788461308385	0	0.210761546509311	0	0.0079508398483839	0	0.00696997960838777	0.153107359624158	0	0.376805968927123	0.049648688431815	0	0.0367565656469557	9999	0.437426837626623	1.02578351159037	1.03422842370844
S17988	0.0323772782417498	0	0.0100677684965961	0	0	0	0	0	0.153672779009116	0	0.279523441483	0	0.00947396336568401	0	0.0061286198151447	0.162126118282351	0	0.296258122204482	0.0394482783060615	0	0.0426663614561789	9999	0.420707684509669	1.03895821987808	1.03174273066036
S17993	0.040019561606186	0	0.00440426930474738	0	0	0	0	0	0.168589064417469	0	0.262781993730646	0	0.0327869379595521	0	0.0110988500184995	0.103967980966297	0	0.317331239459689	0.0439034811669857	0	0.0483015896487464	9999	0.427904601437236	1.03107831787376	1.03318496827882
S18000	0.0509030439076537	0.000338833848701318	0.0248741894969198	0	0	0	0	0	0.132195374741483	0	0.322155203634242	0	0.031168124898501	0	0.0119493374091294	0.0756254440394376	0	0.308801884354671	0.0334794218459806	0	0.0437077351207302	9999	0.435194280830331	1.02370598819579	1.03519859329745
S18003	0.0361361545550146	0	0.00508902657028106	0	0	0	0	0	0.108417100231147	0	0.24460456578038	0	0.0141200643519768	0	0	0.185694702466957	0	0.348446075180897	0.0497219148084943	0	0.0417836099203669	9999	0.42141098074326	1.03817710851052	1.03401321386551
S18005	0.0597082383471913	0	0	0	0	0	0	0	0.147390363433152	0	0.286700062392874	0	0.00900470896635622	0	0.0148062170524903	0.131682160511188	0	0.298007905871729	0.0349626946567398	0	0.0534948972104018	9999	0.440290778118237	1.02049901447443	1.03575724844212
S18007	0.0264748251780186	0	0.0149417314516641	0	0	0	0	0	0.131548973850301	0	0.218580886318267	0	0.0199928598039967	0	0.00776832757861328	0.1977257825352	0	0.345979411072105	0.0344396362274081	0	0.036630710205461	9999	0.427126623179196	1.03228609077695	1.03408314422103
S18013	0.0606872719704264	0.000123401966191209	0.044702233226848	0	0	0	0	0	0.108244722980824	0	0.264460244640099	0	0.0533225663295185	0	0.0245659625584507	0.0845645590496358	0	0.318895647176653	0.0133277797236166	0	0.0621589510411949	9999	0.425912097397144	1.02807089242345	1.03505334066346
S18015	0.0408489589052185	0	0.0334289509745115	0	0	0	0	0	0.117276300480527	0	0.321486978637919	0	0.0688253034536472	0	0.0196075154396431	0.145296482393648	0	0.207712080518478	0.0205822237095851	0	0.0571546636806698	9999	0.421949619960831	1.03007602060715	1.03221945819385
S18016	0.0507779013696016	0	0.0202528515043338	0	0	0	0	0	0.145416156438415	0	0.269221188730567	0	0.0472202575227975	0	0.0180481398872861	0.0748101228254627	0	0.328893409990981	0.031886725124584	0	0.0471445354669612	9999	0.443522880120002	1.0147315126449	1.03367128886099
S18028	0.0322015353646787	0	0.0126521941030447	0	0	0	0	0	0.199596460171365	0	0.288040433804044	0	0.0326244407463626	0	0.0365368743512761	0.0408397942445479	0	0.314576124496563	0.0178181992959786	0	0.0587852322831292	9999	0.43569143134748	1.02335329827802	1.03367128886099
S1803	0.0320705216196163	0	0.0245373730974559	0	0	0	0	0	0.179566723510927	0	0.309967119798309	0	0.0401003964026534	0	0.0165734762953342	0.0789207966925517	0	0.26063362444215	0.02486423541697	0	0.0654642138005649	9999	0.42677765269298	1.03090407874644	1.03269848107653
S18037	0.0303096480833594	0	0.0116139722854949	0	0	0	0	0	0.145916789859717	0	0.18077753641746	0	0.00840769254766806	0	0	0.21539408591448	0	0.363847419348825	0.061667839343048	0	0.0148313170857547	9999	0.438622026119652	1.02622236048052	1.03276630088581
S18038	0.0568288429290672	0	0.00962883493220586	0	0	0	0	0	0.127555411606712	0	0.28531858577576	0	0.0302482793389592	0	0.0112474731188308	0.0784740729921574	0	0.349591728865368	0.0267674710309154	0	0.0610035696077016	9999	0.43400397691295	1.02423403781251	1.03666427019768
S18040	0.0908733217343123	0.0107328358070838	0.0306194192383034	0	0	0	0	0	0.130782515423247	0	0.257675469130545	0	0.0702126540478544	0	0.0271057801810082	0.0206024064358155	0.108971903012101	0.223153197294275	0.00390313539403297	0	0.0579954309974401	9999	0.428966823553376	1.02495297011883	1.03262806869602
S18046	0.0670539354937992	0	0.0152029626209198	0	0	0	0	0	0.140754131148428	0	0.1884530456516	0	0.0275082957039255	0	0.0126107541995042	0.157778206044001	0	0.340829695626849	0.0393211998778202	0	0.0448551357488529	9999	0.412016025771823	1.0457332239241	1.0343673621157
S18055	0.0496761795124478	0	0	0	0	0	0	0	0.194548136247546	0	0.230582156603607	0	0.00297851477660742	0	0.0124303367311804	0.142999644037754	0	0.317430905622195	0.0410230572438008	0	0.0413763430928264	9999	0.443685199332905	1.02007666842831	1.03304527386796
S18060	0.0926965380169543	0	0.0230432888015035	0	0	0	0	0	0.122643902291874	0	0.212529250747252	0	0.0443226658646167	0	0.0201666238313965	0.0286584474607732	0.0375550665858146	0.370346776560444	0.0308943657574302	0	0.0549066404565004	9999	0.445297565322004	1.01413741942793	1.03776356637456
S18063	0.0665172225616961	0	0.0222769010708463	0	0	0	0	0	0.1290631414236	0	0.144017410543695	0	0.0418655186684957	0	0.0151045886130986	0.115852477876127	0	0.410957520539025	0.0348114042330894	0	0.0533430249968722	9999	0.418166894374986	1.04020346612279	1.03380921052655
S18064	0.0317783285838576	0.0130332322062976	0.0313095037247089	0	0	0	0	0	0.138476802131837	0	0.305752308887223	0	0.0506716776410625	0	0.0228059933956114	0.1309010626207	0	0.23693446782908	0.0117501977377668	0	0.0590074625919974	9999	0.428578904671555	1.02588526327541	1.03242103735014
