Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE	Absolute score (sig.score)
S10001	0.0630188132772808	0	0.150961241685466	0.0551680452803416	0	0	0.394431686482556	0.38397725483153	0.0203426103493055	0.00815119495426771	0	0.014998080817136	0.000478231895653579	0	0	0.0333115669338825	0	0	0	0.0679411917906341	9999	0.613966696594188	0.800550434197871	1.19277991829805
S10006	0.0676498145758398	0.03595521235385	0.0143362873010537	0.0290532127649126	0.116375983889855	0	0.362528974864366	0.354981798081259	0.0254266347318746	0.00569387131857027	0	0.012664537713029	0.00128919930286683	0	0.0190205465290827	0.0204040415190765	0	0	0	0.0496472012398808	9999	0.548289115798319	0.84361842283134	1.11502731618552
S1001	0.00788149316312791	0.0511993922960249	0.204597170736063	0	0.143022895407079	0	0.257911810498986	0.349067198404902	0.048172088873798	0.0199854416107059	0	0	0.0116174697669606	0	0.0158322256458846	0.0208486087317043	0.00558868484005706	0	0	0.0638142016706803	9999	0.549084272225145	0.840298259884261	1.19953868164597
S10010	0	0.0613999369874021	0.129587747335565	0.0256013950381471	0.00731411292515632	0	0.555412015843795	0.203568748970449	0.0178522816327938	0.00875601258404049	0	0.0199018169199078	0	0	0	0.0580088203238414	0	0	0.00379445766914592	0.0209053334417503	9999	0.608406427905258	0.798869583784157	1.11210267967199
S10011	0.027715272784275	0.0318559780162509	0.130574902004703	0.0402994393871881	0	0	0.336548652399917	0.434176518422056	0.0209398665213651	0.00480560305039579	0	0.0174100046016874	0	0	0	0	0	0	0.00204042748966114	0.049997760638026	9999	0.641030662505863	0.787095269398672	1.09636442531552
S10014	0.00217736324589055	0.047872024323599	0.133476921093472	0.00413916219133254	0.135014138746303	0	0.343402253996385	0.286648028871593	0.0276098595838216	0.00539841869566297	0	0.000308588601022918	0	0	0.0302953815954123	0.0407582323728822	0	0	0	0.0286331120183809	9999	0.580586762918668	0.821814858551437	1.08573348533576
S10026	0	0.0998500331150975	0.114371412042501	0	0.152604692203791	0	0.364738841339217	0.305650604502865	0.0347427424813755	0.0243410752337398	0	0.00173291238600265	0	0	0	0.0193763323074117	0.00593467682220113	0	0	0.0220163160029615	9999	0.535524945434568	0.847663478566443	1.14535963843716
S10032	0.0613433618353289	0	0.256149706658923	0.0224191927969509	0.155756858582222	0	0.337049519817841	0.266027100375456	0.0251707416177296	0.0154471107524942	0	0	0	0	0	0.0990507499083686	0	0	0.0014812655224452	0.00178034888698178	9999	0.637430051050167	0.77897196155135	1.24167595675474
S10036	0	0.0764642638676902	0.0576148373826288	0	0.160305342259837	0	0.320479268366328	0.414756549995885	0.0277156472002198	0.0150342962565698	0	0	0.0113445563330767	0	0	0	0	0	0	0.049082002350419	9999	0.487980827207671	0.87422587931903	1.13279676401266
S10042	0.0306936819886165	0.032819319370385	0.12410574312885	0	0.134596871537184	0	0.403842338318214	0.362829647088878	0.0230292201292609	0.023565557618632	0	0	0.00275242249464904	0	0	0.0661141415605579	0.00356254146502078	0	0	0.0259963591250798	9999	0.603427255827231	0.810953210864679	1.23390784382533
S10044	9.31429507457663e-05	0.0606726825988112	0.186184323264012	0	0.160773131877975	0	0.398697378340691	0.319723049769594	0.0215333450164258	0.0156196558120815	0	0	0.0027974039002826	0	0	0.0144707513971248	0.0067566585015153	0	0	0.0267297865574457	9999	0.606161010589446	0.805173332470856	1.21405130998671
S10049	0.0265068049477219	0.0544100702963419	0.125013600327417	0	0.160864609351383	0	0.312286495625091	0.319117234269586	0.0366200772113973	0.0146942499793302	0	0	0	0	0	0.108458346364142	0.00374660113557598	0	0	0.0150865637767108	9999	0.594104439151946	0.814656330177622	1.1768046532847
S10057	0	0.111695444586897	0.0527764528184377	0.0489991956576754	0.0587671055571953	0	0.245001694461099	0.462443747976181	0.0462025981551872	0.00512720042390705	0	0.0276196911165742	0	0	0	0.0153171580241106	0.00447741141677282	0	0	0.0653597347011018	9999	0.586890007386303	0.823559139890896	1.14378743489514
S10062	0	0.0629193302999421	0.172653569333016	0.0188498316356085	0.101619641402276	0	0.310244117570738	0.297337593023076	0.0412453887891719	0.0216976246297188	0	0.013208927641997	0	0	0	0.100811015709761	0	0	0	0.0162605649749074	9999	0.652195161444293	0.776630334871889	1.15684760501021
S10066	0	0.0769292898362168	0.17541986905935	0	0	0	0.509151990868193	0.375025232914305	0.0100915488964012	0.00872671405715828	0	0.0140606965821137	0	0	0	0	0	0	0.00530488322618394	0.0235887166399516	9999	0.650695467523387	0.777384103720437	1.19829894207987
S10067	0.0202878583115043	0.0634226837929394	0.139663166885738	0	0.213057216533919	0	0.214110091194611	0.335125986662027	0.0367087141835156	0.00405133408673411	0	0.00636394622335232	0	0	0	0.0399817971138375	0.00339317944374259	0	0	0.0127803489405412	9999	0.599931697659096	0.809230702305908	1.08894632337246
S1007	0.0540738765350934	0	0.0185608775707951	0.0629667042930337	0.149935600096031	0	0.310490693158907	0.434456722109622	0.0287538197349107	0.0150792133439284	0	0.0049274068634832	0.00136860353591535	0	0	0	0	0	0	0.0585114417422563	9999	0.661757732500777	0.778900563792565	1.13912495898398
S10073	0.0257488608563042	0.0416464989549835	0.153761055553618	0.00326965761017816	0.0389461431914652	0	0.358128487981825	0.411519028343044	0.0352979036136104	0.0141853519129405	0	0	0	0	0	0.0643854338193954	0	0	0	0.0287700193755248	9999	0.660822008769104	0.778311245315519	1.17565844121289
S10077	0.0447922936826088	0.0500361111523418	0.188625362289674	0.0736756279448656	0	0	0.296026468329043	0.373859585916747	0.0177723897958657	0.000675859302103761	0	0.0244227916972771	0	0	0	0.0340971834984183	0	0	0.000401734554071026	0.0478655035782227	9999	0.662658471390065	0.764833963552319	1.15225091174124
S10080	0.0808786111297914	0	0.122731424242407	0.066730971269003	0.0489977626310712	0	0.374544249823957	0.320104577210248	0.0311345759519735	0.00236430177427718	0	0.0223799731118449	0	0.000727983968215655	0	0.0770948727602178	0	0	0	0.0639170945462973	9999	0.613072282738773	0.801303852406175	1.2116063984193
S10082	0.00246790321472756	0.0807179034102245	0.13598706898109	0.000781319070794353	0.0962271742518992	0	0.287382623771902	0.318560793794456	0.0339984898002757	0.0090213303654607	0	0.0229655022876871	0	0	0	0.113020047587503	0	0	0	0.0395116903939107	9999	0.633014734249955	0.794772849048525	1.14064184692993
S10087	0.054684697855208	0.0312912884241076	0.212573955966788	0	0.143338731866827	0	0.270173272026419	0.270901536601621	0.0402091616117728	0.0200033003519019	0	0.000742883795878089	0	0	0	0.0917105408017227	0	0	0	0.0358987595050009	9999	0.614083180594096	0.800655801053615	1.17152812880725
S10089	0.0144987143621582	0.0728651494487135	0.110852372500207	0.0299672452554147	0	0	0.389145435770412	0.35571655793206	0.0266069520237692	0.00800473640794664	0	0.0161020354136729	0.00984453116955358	0	0	0.0252922114273363	0	0	0	0.0438969545896386	9999	0.584197421283825	0.82130401987666	1.10279289630088
S1009	0.0948379076879627	0.0267551052342899	0.122643203472891	0.024724209632398	0	0	0.265702665287746	0.399885889954073	0.0368796669527629	0.00637123035838151	0	0.0174667073014106	0.000835441465734769	0	0	0.117722345334073	0	0	0	0.0205866666971224	9999	0.652440398280902	0.781919241565397	1.13441103937885
S10090	0.0251465613370648	0.00244756718718373	0.143445048655026	0.0149300342238785	0.113707998123381	0	0.369224532933141	0.391424971451112	0.0492600046800035	0.0193808472371859	0	0.00574557621578104	0.00432736581440611	0	0	0	0	0	0.00346538565505851	0.049741880239637	9999	0.618159576703014	0.801269439555626	1.19224777375286
S10093	0	0.0588242555222658	0.0269262061746553	0.0453966972600862	0.143361268557498	0	0.329255462246009	0.369914627157753	0.0311837545314745	0	0	0.0176221028191043	0.00631353646997079	0	0	0	0	0	0.00210177531425856	0.0823596397950484	9999	0.555503569757508	0.839445599974153	1.11325932584812
S10094	0.0124959559919162	0.049813452688347	0.205063010487825	0	0.132879671689925	0	0.370179109920141	0.316904531588655	0.022469952320633	0.0104337433761233	0	0	0	0	0	0.0527651795162958	0	0	0	0.0192431661729977	9999	0.643942520908329	0.781377728891398	1.19224777375286
S1010	0.02826543696748	0.0485781741678151	0.196891558269143	0	0.0365529869500522	0	0.325403318365309	0.481253196127018	0.033092287756949	0.0149066311382529	0	0	0	0	0	0.0175829557294499	0	0	0	0.0362364565996485	9999	0.669130066526819	0.773185531467973	1.21876300207112
S10111	0.00978469470491503	0.0400450747439347	0.143997924640979	0	0.0908311666833832	0	0.343919612575024	0.422975914823828	0.0243548004688361	0.00840143843078188	0	0.00236431640061631	0.00896331273569338	0	0	0.0831750462955429	0	0	0	0.0050141721596758	9999	0.617753190278131	0.801396856878547	1.18382747466321
S10116	0.0423428489389104	0	0.100505986962269	0.0545831034784791	0.0136604017722879	0	0.125914503152783	0.511398545466513	0.0682764287186517	0.0135409372524343	0	0.0367002989456339	0	0	0	0.0464270319845084	0	0	0	0.0414304638781638	9999	0.700511110897739	0.74736563451919	1.05478055055063
S10119	0.0202145865118698	0.0542473348663944	0.0845281446854468	0.00105060267666714	0.154672971432374	0	0.286100727460842	0.397011057104568	0.0419986626650846	0.016837891819583	0	0	0	0	0	0	0.00632765941539603	0	0	0.0391544201366436	9999	0.558820960331768	0.837445286310614	1.10214405877487
S10121	0.0181391615383595	0.0496276540366927	0.159734472783755	0	0.0966531818644146	0	0.299928914151279	0.309751531742788	0.0465568661916649	0	0	0.00571888796492649	0	0	0	0.0489521464788784	0	0	0	0.0325429804432888	9999	0.56698563977566	0.829387098520023	1.06760579719605
S10130	0.0338583088880658	0.00477400711451436	0.0949813861112904	0.0529908620786385	0.0579415671426469	0	0.369067956573533	0.38722187442911	0.031562277464664	0.0224343327828986	0	0.0335535890238772	0.014582716606535	0.00371359473162058	0	0	0	0	0	0.0202589980053044	9999	0.686416861817095	0.756583577468794	1.1269414709527
S10140	0.0362816239386463	0.0473276005379563	0.174356239601017	0	0.0424156028988021	0	0.595355490279695	0.206003076690812	0.0202068315805122	0.0307638537793644	0	0	0	0	0	0.0484806987160353	0.000711482832999208	0	0.00374948699109454	0.018702222784633	9999	0.625091126595987	0.789616218144004	1.22435421063157
S10142	0.0436267205446491	0.033694954686626	0.126874027288209	0	0.232601491407082	0	0.235575373366027	0.267969980103246	0.0233871255613547	0.0127181044122314	0	0	0	0	0	0.0884063204970407	0	0	0	0.0369746536564231	9999	0.570791256350147	0.826758769614423	1.10182875152289
S10150	0.0677495990077689	0	0.0504379790679526	0.0437516870883569	0.0229481115252553	0	0.621150939982314	0.204570088762307	0.0431576093837499	0	0	0.0333005014809554	0.00568702409870352	0	0	0.0313196136030022	0	0	0	0.0550381341500859	9999	0.633407700243585	0.786292381954764	1.17911128815045
S10155	0.0563123610244516	0	0.168355486143892	0	0.0902358309612989	0	0.323155636901409	0.425006515550393	0.0324627495153038	0.00520007915143882	0	0.0170111917623838	0	0	0	0.0577279435316632	0	0	9.55696688166782e-06	0.045362872370101	9999	0.620006482810422	0.801391793436002	1.22084022387922
S1016	0.00233975471262683	0.061554966355996	0.147663653024013	0.0273918312933078	0.0684716550103489	0	0.37457482476298	0.37750193913573	0.0284826386807743	0.00405634182950064	0	0.0123861050254186	0	0	0	0.00826884349786577	0	0	0	0.0242509059589818	9999	0.506027342187988	0.861708931032373	1.13694345928754
S10163	0.00809891941424571	0	0.0972452621740476	0.0837104804281897	0	0	0.329030931696464	0.392771684309709	0.0450231867289852	0.0294772026971037	0	0.00724072695619598	0	0.00554146554230785	0	0.017715553099824	0	0	0	0.130674882396481	9999	0.642792914503118	0.788189741319065	1.14653029544355
S10167	0.038232811896221	0	0.0836103367049022	0	0.155188613821012	0	0.32188644493056	0.411511324765202	0.0537044849840074	0.0206563982310343	0	0.00581025857870398	0	0	0	0.00696010788823365	0	0	0	0.0601578087482828	9999	0.61995906741555	0.805578683928241	1.15771859054816
S10168	0.0504554815100364	0.029154334801642	0.119123195803973	0	0.201709663808083	0	0.282938481458968	0.289774658236721	0.0325816599037502	0.00119224639202557	0	0.0187218541769068	0	0	0	0.0964089774651341	0	0	0	0.00488091739545789	9999	0.529064012420927	0.849167442668969	1.1269414709527
S10173	0.0374964704088908	0.0727812278670248	0.129522945805853	0.00425792578455579	0.053530266693149	0	0.258297393021807	0.407135871141789	0.0242923789347589	0.00536151317024449	0	0.0149368590809421	0	0	0	0.0289428783745027	0	0	0	0.0309840762004745	9999	0.637588347651923	0.794493493079876	1.06753980648399
S10175	0.0351673450510788	0.0274292320841239	0.130552383471195	0	0.201032094236649	0	0.299744934891245	0.343398596086207	0.0327062974098942	0.0255369768310384	0	0	0.000237504657126155	0	0	0.0274235325769181	0	0	0	0.0381340827410346	9999	0.601423365242764	0.811407124307193	1.16136298003651
S10179	0.00520667890993089	0.0268871184534017	0.149891120439736	0	0.209654065998992	0	0.22198073392485	0.360425457820642	0.0339864474144632	0.00920075879520512	0	0	0.0125334151050817	0	0	0.0990821324460027	0.00101734826774067	0	0.00116351828756192	0.0179365765760644	9999	0.634017906909988	0.788902102414546	1.14896537243967
S10186	0.0744594508921513	0	0.227647857647153	0	0.122920286984709	0	0.112823078544579	0.433546095025961	0.0342834617775083	0.00931725975899808	0	0.0171691093960409	0	0	0	0.0676159954348496	0.0029758236655543	0	0	0.0647395810987671	9999	0.566159833225056	0.829050378775338	1.16749800022627
S1019	0.00642603183537859	0.0942019564451231	0.21339726565418	0	0.0334465642048691	0	0.246787170921146	0.382249017403657	0.0269154287837831	0.00987529945780158	0	0.0330783363791675	0	0	0	0.0639559410928208	0	0	0	0.024425394397356	9999	0.628575863639818	0.793109247312671	1.13475840657528
S10190	0.040382395156936	0.0271825261550097	0.142716538459428	0	0.0964225288767019	0	0.307939035220634	0.326441877933783	0.0353556310056708	0.035232598447818	0	0	0.0135503660381756	0	0	0.0550461116136716	0.00354918164225105	0	0	0.0536242981531693	9999	0.58572658744359	0.823340119132351	1.13744308870325
S10195	0.0304470237395599	0.0272360684170461	0.112287370748895	0	0.0904616126830982	0	0.427811924876558	0.384806747437054	0.0268976168384862	0.0124832744028687	0	0.0201162258754897	0.00510317952675619	0	0	0	0	0	0.00428518544962904	0.0544597540052758	9999	0.616579266554029	0.805643908650203	1.19639598400072
S10196	0	0.0597829205634777	0.168641217690994	0	0.116463223903596	0	0.428085918111435	0.314677955028811	0.0274900414833541	0.0298146629353532	0	0.00128050022967729	0	0	0	0.0469760462705935	0	0	0	0.00186433145176384	9999	0.652613907305322	0.77686862491101	1.19507681766905
