Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE	Absolute score (sig.score)
S10001	0.112851012557895	0.717402558697161	0	0	0	0.20960210219122	9999	0.422648324833978	1.01856268863077	1.03985567344628
S10006	0.154859527022521	0.511633831559985	0.145166866550939	0	0	0.223329654358965	9999	0.423269925502839	1.01339746559285	1.03498987949241
S1001	0.116385841488109	0.398778102477427	0.271574711480107	0	0	0.24601198560683	9999	0.478720956022881	0.964546184511653	1.03275064105247
S10010	0.0848139897037335	0.552824975498438	0.093626012276812	0	0	0.303583489759468	9999	0.454545352986246	0.990757666158032	1.03484846723845
S10011	0.126360255097346	0.634575815781596	0.0705094382472725	0	0	0.203544370366194	9999	0.495525844490996	0.950996392264474	1.03498987949241
S10014	0.156829066915319	0.533430143054395	0.0856732961350365	0	0	0.254776929313325	9999	0.474557622604136	0.969031408426056	1.03070943541807
S10026	0.099058683223715	0.452017850086837	0.271518524951291	0	0	0.211033125709724	9999	0.465258564809686	0.977067373219153	1.03362818397157
S10032	0.138028609075466	0.497998969781498	0.108375783812714	0	0	0.292907444305576	9999	0.481252864400243	0.964041413727807	1.03731080697525
S10036	0.116300805416912	0.4148175085532	0.28806645284187	0	0	0.209155648243954	9999	0.466489272568134	0.97520432679514	1.02834041505594
S10042	0.146505935065631	0.440954886172668	0.203684428345971	0	0	0.242067810125209	9999	0.481460139647397	0.961555141826374	1.03321305970948
S10044	0.121607440118667	0.527575796733917	0.16598663506998	0	0	0.218913027494946	9999	0.471522077309252	0.971691511974611	1.03408289941751
S10049	0.140879668358669	0.548603315679991	0.142619145180094	0	0	0.204382822507443	9999	0.461444484511619	0.980352601636833	1.0364849517262
S10057	0.159410520325052	0.583620686711137	0.107708439974092	0	0	0.180635628962997	9999	0.478950262417217	0.964443649238159	1.03137527597328
S10062	0.145966214090833	0.580532709641952	0.0600494608825389	0	0	0.249971896566268	9999	0.480053214239904	0.964789155780737	1.03652028118159
S10066	0.0684017613786171	0.660510118703382	0	0	0	0.303570156168476	9999	0.453824904262599	0.994031912697123	1.03248203625048
S10067	0.112374316125188	0.601513401066016	0.156640053100625	0	0	0.164562241905919	9999	0.48767617388296	0.957856328517756	1.03509001219775
S1007	0.161450735773025	0.493203873735224	0.136755477487177	0	0	0.241105153238868	9999	0.463056811468593	0.978379880340103	1.03251524023429
S10073	0.123551434798398	0.57337906896525	0.144927790332733	0	0	0.191733916874353	9999	0.500316866609575	0.945552542547919	1.03359221097073
S10077	0.139951246932455	0.631744352105427	0	0	0	0.262734210001258	9999	0.47030623359163	0.975165690713919	1.03442980903914
S10080	0.162806638532718	0.492721779531292	0.114305829914857	0	0	0.263166233292871	9999	0.497101719105668	0.947912701002299	1.03300048127174
S10082	0.139060199008753	0.584574169538935	0.116746634545464	0	0	0.194187830329832	9999	0.50278709671421	0.943052250362296	1.03456883342298
