Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
mix_1	0.0568820388954753	0	0.0662000288459926	0.202848879805186	0	0.0633298501370451	0	0.197923650835529	0	0	0.412815551480772
mix_2	0.0353769689130947	0	0.0788072310385414	0.2507738179499	0	0.0173111873195448	0	0.2133924919274	0	0.00176067248593842	0.402577630365581
mix_3	0.144807570219674	0	0.0177385863209034	0.0433683784036383	0	0.0210635915031688	0.222729023158078	0.182142663182262	0.0092350022220313	0.00241942677944214	0.356495758210803
mix_4	0.212097108912645	0	0.0320135948141129	0.0978291973147902	0	0.030408848600633	0.0226185730070331	0.215264486460385	0	0	0.3897681908904
mix_5	0.147117020599693	0	0.0290858729592432	0.0811413253550124	0	0.0434050005241269	0	0.36733252000129	0	0	0.331918260560635
mix_6	0.134159976523679	0	0.0459260625188978	0.132633938112234	0	0.0201085768317278	0	0.305802004831299	0	0	0.361369441182161
mix_7	0.269545667797043	0	0.0255932696790685	0.0663885233962154	0	0.044098724896109	0	0.207110332000827	0	0	0.387263482230737
mix_8	0.249016458524575	0	0.0521137685515261	0.170316691449617	0	0	0.0394315829266294	0.105305134504114	0	0	0.383816364043538
mix_9	0.0619165157726906	0	0.052142754887646	0.145594568900921	0	0.0645897932062414	0.0611594015926451	0.21599552893789	0	0	0.398601436701966
mix_10	0.308070837605074	0	0.0264579889202554	0.0835402898203253	0	0	0	0.282760568944352	0	0	0.299170314709993
mix_11	0.0655402554578929	0	0.0717408667894176	0.228160233769388	0	0.0271512893793141	0.0966765524976568	0.0961939392200905	0.00279375678843482	0.00426280926006655	0.407480296837739
mix_12	0.0252483360939044	0	0.0592633865188867	0.181895905221898	0	0.00843248463186216	0.0442942215128871	0.297731689259317	0	0.000649477230728968	0.382484499530516
mix_13	0.352851888855619	0	0.0259256992042151	0.0692564326621688	0	0.0505662467687816	0	0.158384367483792	0	0	0.343015365025423
mix_14	0.332418602152195	0	0.0247913941569975	0.079069436145509	0	0	0	0.320935841158399	0	0	0.2427847263869
mix_15	0.270354978111971	0	0.0168004355623496	0.0388380285818665	0	0.0903404018560817	0	0.334367903054871	0	0	0.24929825283286
mix_16	0.171713730233314	0	0.0270519758257394	0.0806662399054873	0	0.0150445399724207	0.127504235242334	0.212820017807725	0	0	0.36519926101298
mix_17	0.456775121316028	0	0.00341271654656034	0.0209472543682941	0	0	0	0.328631402264849	0	0	0.190233505504269
mix_18	0.0708995436481027	0	0.0795247967606667	0.266737274805318	0	0.00447510449259199	0	0.177093870403978	0	0.00305010408286032	0.398219305806482
mix_19	0.197851108228394	0	0.0414042504043255	0.129157675972656	0	0.00592232604999305	0	0.292296985156052	0	0	0.33336765418858
mix_20	0.0911898447726488	0	0.00804036826102822	0.00536047130665404	0.000625978058631899	0.0101451350298439	0	0.63312819444848	0	0.00270686215205373	0.24880314597066
mix_21	0.224502058922992	0	0.0227127974688308	0.0694377730240933	0	0	0	0.387309659911188	0	0.000899466703393473	0.295138243969502
mix_22	0.235368510777784	0	0.0412142798095641	0.113272962973084	0	0.0488075175728772	0	0.238426294119585	0	0	0.322910434747106
mix_23	0.2563230132909	0	0.0403765198457905	0.125731013637959	0	0.00127774553852253	0.0577305314974304	0.14325775437733	0	0.00166732834335706	0.373636093468712
mix_24	0.0302677649939978	0	0.0910613050140993	0.290967078290652	0	0.0431283042734695	0	0.132528745630193	0	0	0.412046801797588
mix_25	0.0520446976727974	0	0.0457383765392875	0.132438063398484	0	0	0.134775647144566	0.272237909459803	0.000376345588196629	0.000396788677571861	0.361992171519293
mix_26	0.0463594904600929	0	0.0105769096506142	0.00581611101084935	0	0.114453442762564	0.163663629241893	0.283393597691241	0	0	0.375736819182745
mix_27	0.291890052541397	0	0.0608847394053053	0.201375460517708	0	0.0567738759804017	0	0.0391566230632644	0	0	0.349919248491924
mix_28	0.159057645131099	0	0.00827348558543823	0.0140175482783269	0	0.0267528235062601	0.0468894989532658	0.420739549607459	0	3.8936643348894e-05	0.324230512294802
mix_29	0.124535909785814	0	0.0427825162553158	0.127094641846673	0	0.0426740245713672	0.0333977330849238	0.226953385416742	0	0.00106437917528586	0.401497409863878
mix_30	0.165179156890254	0	0.0416898224244034	0.123460737720047	0	0.0268638254863322	0	0.256604923882932	0	0	0.386201533596031
mix_31	0.112316977679676	0	0.0452405820902794	0.134866893107391	0	0.0179525714910267	0.176327653940429	0.128180588109618	0.00837956787560219	0.00268200831251881	0.374053157393458
