	B Cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
A	0.2512	0.2015	0.2038	0.1615	0	0.1044	0	0.0318	0.0045	0.469	0.2386	0.206
B	0.267	0.2155	0.1993	0.1766	0	0.0182	0	0.0376	9.00E-04	0.4793	0.2289	0.2159
C	0.0903	0.0794	0.4417	0.2153	0.0107	0	0.0446	0	0.0033	0.1385	0.1654	0.049
D	0.1002	0.0441	0.4528	0.2146	0.0173	0.0133	0.0462	0	0.0079	0.1387	0.1439	0.0483
E	0.1049	0.1232	0.286	0.3105	0	0	0.0285	0.0079	0	0.2742	0.268	0.0982
F	0.0801	0.2892	0	0.08	0.0212	0	0.098	0.0386	0	0.366	0.4943	0.0977
G	0.185	0.0233	0.0392	0.0127	0	0.5722	0	0.0457	0	0.4796	0.027	0.397
H	0.1482	0.2088	0	0	0.0364	0.09	0.027	0.1386	0	0.6523	0	0.16
I	0.1265	0.2819	0	0	0.0432	0.0958	0.0085	0.1307	0	0.6488	0	0.1491
J	0.082	0	0.5054	0.0657	0.0076	0	0.1023	0	0	0	0.0524	0
K	0.1026	0	0.2991	0.3316	0.0464	0	0.0586	0	0	0	0.2421	0
L	0	0	0.5369	0.0276	0	0.2992	0	0	0.0441	0.0101	0.0296	0.0306
