Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
Mix_1	0.117717550401476	0.0107545142640227	0.0296298972963145	0.0436337330754252	0.0224729496637726	0.210403220697757	0	0.100476496085894	0	0	0.464911638515338
Mix_2	0.236146730034591	0.00961038222146874	0.0221716936971731	0	0.0301500960469413	0.151763408510542	0.0361758193731316	0.0180645226475133	0	0	0.49591734746864
Mix_3	0.0630450377101981	0.0057402057056276	0.0161962063580606	0	0.00811074690911879	0.193024306730237	0	0.362750691726898	0	0	0.35113280485986
Mix_4	0.116009910247391	0.00707800967417881	0.0119781322347683	0	0.00810880874595635	0.197190862912977	0	0.244380031963177	0	0	0.415254244221553
Mix_5	0.323815483755712	0.00223650601266727	0.00725438920886253	0	0	0.180889028710504	0	0.0992678772867444	0	0	0.386536715025511
Mix_6	0.180896328214862	0.00713732604496299	0.0253952420595169	0.0620686403688394	0.000785119101262278	0.143845933302369	0	0.19129904517086	0	0	0.388572365737328
Mix_7	0.137307287589664	0.00526976401709881	0.0108369181328838	0	0.0103751650379853	0.113826043022132	0	0.306082717001773	0	0	0.416302105198464
Mix_8	0.193200153890384	0.00798145660134429	0.0221945783503304	0.018138288128438	0.0262535582967247	0.0268789951889358	0.068358562062808	0.149582639345761	0.00177037952662005	0	0.485641388608654
Mix_9	0.197257826249429	0.00735097911093515	0.0196961036709955	0	0.0189122199618911	0.155023386913198	0	0.161967721800481	0	0	0.43979176229307
Mix_10	0.230061261277622	0.00485343277554541	0.0180829648618833	0.0224585126186235	0.00689826037807802	0.105161241930556	0	0.246010233244188	0	0	0.366474092913504
Mix_11	0.177112584313117	0.00787317564264541	0.0152354131262247	0	0.0189750545802407	0.139837642484126	0.121194517405313	0.0369180285453245	0.00343443777939792	0	0.479419146123611
Mix_12	0.0565524980226666	0.0091893212011689	0.0257385185206348	0.0275774273628888	0.012948016033262	0.201852677656785	0	0.237526323606365	0	0	0.428615217596229
Mix_13	0.249362071504005	0.00490329720658674	0.0152792573684949	0	0.0112724716532971	0.0974954179768438	0	0.225369534905655	0	0	0.396317949385117
Mix_14	0.0699748308670836	0.00373592917611536	0.00602720395195751	0	0	0.194286816456766	0	0.362931161326812	0	0	0.363044058221265
Mix_15	0.115183007045852	0.00831235163021837	0.0178419175382455	0	0.0210758187337613	0.0971808354388204	0.0781849618865468	0.201560194337127	0	0	0.460660913389428
Mix_16	0.176507205560735	0.00754012652731765	0.0183029404169241	0.00812502626292909	0.0238208883423088	0.0585430271634522	0	0.241063208414956	0	0	0.466097577311377
Mix_17	0.129624318967246	0.00655073073489904	0.0129020796557096	0	0.0185887515071851	0.0903021788267596	0	0.28439696863652	0	0	0.45763497167168
Mix_18	0.107726091048203	0.00871194506111863	0.022969792720396	0	0.0158569420791747	0.0549759118415748	0.209432767979289	0.0937572821045534	0.0200135505157732	0	0.466555716649917
Mix_19	0.0717986830006599	0.00613691997268335	0.0227804193115218	0.034037144820736	0.0127357362197456	0.16420760614985	0	0.334816630186106	0	0	0.353486860338697
Mix_20	0.209580476808732	0.00706771788702619	0.0217288500498368	0.018600534445671	0.0195838182757643	0.0832383338128458	0	0.198674734428373	0	0	0.441525534291751
Mix_21	0.193530594137039	0.00690272725220999	0.0218007733526742	0.038679490507301	0.0126367434803185	0.058114554283171	0	0.223009196863027	0	0	0.445325920124259
Mix_22	0.0898349923118729	0.00704900369967451	0.0240482051644838	0.0471047392430988	0.00862854843318115	0.142055790975134	0	0.288959738804955	0	0	0.3923189813676
Mix_23	0.284872338207748	0.00868279736556981	0.0195283885699022	0.000183114421244009	0.0249979618254073	0.0931007937125376	0.01526584493816	0.0511046819833473	0	0	0.502264078976084
Mix_24	0.00902603906394674	0.0090788786007068	0.0188910384962497	0.00795000870063416	0.0328142861586601	0.0273530858405887	0.134513105254417	0.31571005136552	0.00229531363372549	0	0.442368192885551
Mix_25	0.243759238870361	0.00399089431349894	0.00979155043254709	0	0.00277357708383055	0.0932430522280525	0	0.236840494901471	0	0	0.409601192170238
Mix_26	0.159471716806546	0.0053571651900265	0.0132726356492344	0	0.0192822938130821	0.0605193866961966	0	0.276484697133907	0	0	0.465612104711007
Mix_27	0.186404193615754	0.00422672869747989	0.0173108462725972	0.0272068766371872	0.00934377680555504	0	0	0.379819938056126	0	0	0.3756876399153
Mix_28	0.166565975167023	0.0101698915837892	0.0223938690339486	0.0243499899008037	0.0240284028104909	0.114006719525513	0	0.179963339155837	0	0	0.458521812822596
Mix_29	0.196069016438269	0.00548387715980532	0.012528564900204	0	0.0122639717409206	0.0514573422857788	0	0.267741415450855	0	0	0.454455812024168
Mix_30	0.138147827244978	0.00220359283206935	0.00512181920257165	0	0	0.187755754530995	0	0.357589061149545	0	0	0.309181945039842
Mix_31	0.195835222933889	0.00760084409929035	0.0177408904636287	0.00573486528613971	0.0253892430866132	0.0806923841180584	0	0.206131113198849	0	0	0.460875436813532
Mix_32	0.105120981573656	0.00986418791243925	0.0197208724110332	0.00231487144306996	0.0411474489170382	0.0387890107715031	0.160857810312309	0.141790460119736	0.0129523458506321	0	0.467442010688584
Mix_33	0.074031753260441	0.0101087347674339	0.0196536523777062	0.00906506150132267	0.0299064667813233	0.0883892497578151	0.0101864886034023	0.285572868743401	0	0	0.473085724207155
Mix_34	0.205606408049376	0.00572514511464448	0.0267146044923735	0.0496585107505184	0.0028960309820565	0.117588546206424	0	0.199062764526043	0	0	0.392747989878564
Mix_35	0.172339061837905	0.00788122132958676	0.0143674198856799	0	0.013504982521507	0.194925668414211	0	0.130971714785176	0	0	0.466009931225934
Mix_36	0.182822658587592	0.00699221554556602	0.0157822342275502	0	0.018233420021398	0.119421582574383	0	0.230118460281309	0	0	0.426629428762202
Mix_37	0.0763204260661536	0.00714862991223484	0.0150699358628682	0	0.0208661903811734	0.205658439267035	0	0.325969522368674	0	0	0.348966856141861
Mix_38	0.0621243908148009	0.0106119671647498	0.0248187246259929	0.0188347061659479	0.0294056450235073	0.175692211922806	0	0.205285422337544	0	0	0.47322693194465
Mix_39	0.258910519431527	0.0077371137648231	0.0245923913439847	0.0448876551238021	0.0198643578372355	0.0326554872457843	0	0.120921566983401	0	0	0.490430908269443
Mix_40	0.168818356670427	0.0029560884071618	0.014334587506013	0	0	0.196401792764924	0	0.293788370622031	0	0	0.323700804029444
Mix_41	0.156106534481091	0.00818082019939886	0.0184243868134638	0	0.00454251033588325	0.259839470476151	0	0.136526646246024	0	0	0.416379631447988
Mix_42	0.173190748751033	0.00667674419020162	0.0135755123832414	0	0.0195831027682129	0.032276214613725	0	0.291563544955297	0	0	0.463134132338289
Mix_43	0.216818397667397	0.00582781943375718	0.0184062476240202	0.0197529690562929	0.0107911093765563	0.130779898012426	0	0.22659419378504	0	0	0.37102936504451
Mix_44	0.0967756260216124	0.0116435527700949	0.0226384808034628	0.0149760708539976	0.0316749417309699	0.236563477560164	0	0.125226229168171	0	0	0.460501621091528
Mix_45	0.0904870178912984	0.00587939546542069	0.0161801430539188	0.0123239313905038	0.013641949307468	0.0823218098478106	0	0.416957070781183	0	0	0.362208682262396
Mix_46	0.169625533046721	0.00229213293996003	0.0167549756325611	0.0174082645956267	0.0180616115189196	0.00156483143299882	0	0.371963615782581	0	0	0.402329035050632
Mix_47	0.163665701958763	0.00691081132894117	0.0242984705074853	0.0378274799569375	0.00157006839447439	0.139404125240952	0	0.219986190378396	0	0	0.406337152234051
Mix_48	0.198924471645632	0.00745492706907854	0.0165940772630451	0	0.0224416390178047	0.132070649648903	0	0.161466006663996	0	0	0.46104822869154
Mix_49	0.108962802923645	0.00476775462237256	0.00822329287020645	0	0	0.279729885628776	0	0.193312270047011	0	0	0.405003993907989
Mix_50	0.0735028222296794	0.00761928018955105	0.0173141122409157	0.0122555421317441	0.00675300599755663	0.0297135206092819	0	0.423297336260741	0	0	0.42954438034053
Mix_51	0.185839439370006	0.00752466976806757	0.0185750580875613	0.00305346646789808	0.0303303319944781	0.0911619061369627	0.0247877866276636	0.151288516189239	0	0	0.487438825358124
Mix_52	0.0344503436507911	0.00858666879701813	0.0129105147829001	0	0.0120199311473928	0.140469086821055	0	0.43973769846557	0	0	0.351825756335273
Mix_53	0.162094809206678	0.00701251046591462	0.019147982131792	0.0274612362281035	0.0175595058109598	0.0665670694534045	0	0.270046261549226	0	0	0.430110625153922
Mix_54	0.0919068002161468	0.00977259992510847	0.023647356103367	0.0335330547310684	0.024209469846427	0.349112073364069	0	0.0931480524850328	0	0	0.374670593328781
Mix_55	0.0458326864314404	0.00754637910218919	0.0175717651875013	0	0.00640896230331022	0.252495733490929	0	0.315502318749457	0	0	0.354642154735173
Mix_56	0.0797957729790615	0.00611578122273168	0.0158295393614107	0.019221678331549	0.016296881997547	0.0507615910763411	0	0.408088919963905	0	0	0.403889835067454
Mix_57	0.0175847066150863	0.0129293954184306	0.0283690419469817	0	0.0185643754537266	0.434217474029084	0	0.0298673590778082	0	0	0.458467647458883
Mix_58	0.107725785851095	0.00939773326641965	0.0163434107998895	0	0.0259239199463723	0.102168243135032	0.0508191422511425	0.223869340512785	0	0	0.463752424237263
Mix_59	0.0810099165092134	0.00502302065004182	0.0119086400145933	0	0.000364632258208274	0.323060306516845	0	0.250969830721459	0	0	0.327663653329639
Mix_60	0.226496818819839	0.000893223530845129	0.00701681781232437	0	0.000265289065120857	0.0154949176580257	0	0.405840488079102	0	0	0.343992445034743
Mix_61	0.25640518867384	0.00704096418624099	0.0132233517764853	0.0134985106496995	0.0122276412099057	0.147599350410409	0	0.165516961956388	0	0	0.384488031137032
Mix_62	0.301019059526248	0.00104761280737383	0.00733713293326219	0	0	0.202380297746138	0	0.136160359013821	0	0	0.352055537973157
Mix_63	0.0587896554435696	0.00926644627090448	0.0298850722387478	0.0201503884264723	0.0194162775809819	0.32102321226533	0	0.151695634668817	0	0	0.389773313105177
