RefMat	AbsCibersort_corr	Cibersort_corr	CIBERSORTx_corr	DCQ_corr	Decon_corr	dtangle_corr	EPIC_corr	GEDIT_corr	MCP_corr	Savant_corr	xCell_corr
10XImmune.tsv	0.328744890806103	0.328616302387271	NA	0.277619267590821	0.327653529874134	NA	0.331322834856441	0.49167332288561	NA	0.417645400709967	NA
BlueCodeV1.tsv	0.463575389005219	0.463416754324916	NA	0.351917794022551	0.490485913168293	NA	0.360034119776065	0.839865718308389	NA	0.466419416768235	NA
BluePrint-Blood.tsv	0.445117125622971	0.444702509207254	NA	0.216971175468141	0.0955977901498916	NA	0.333261484349761	0.442064442502074	NA	0.323468520181699	NA
EPIC-BCIC.tsv	0.159329496655995	0.160261265498391	NA	0.240981432647654	-0.207120381276712	NA	-0.254081060906604	0.575878885645012	NA	0.331522619692457	NA
EPIC-TIC.tsv	0.851683604715827	0.851684711988447	NA	0.466680711643454	0.245875281582705	NA	0.329922866640199	0.798986787860913	NA	0.289507734490188	NA
HPCA-Blood.tsv	0.5497552402563	0.551189824907435	NA	0.377346519525778	0.543943309005532	0.37854330760683	0.389725273446128	0.495731924792762	NA	0.433954599955314	NA
HPCA-Stromal.tsv	0.721868322689002	0.721866462373009	NA	0.498515185408765	0.516760394922517	0.232489175067318	0.340223674178267	0.907328354196681	NA	0.573892608054715	NA
ImmunoStates-Blood.tsv	0.469281491503757	0.47563671693299	NA	0.308149333258973	0.448307851479547	NA	NA	0.473221754681674	NA	0.325932459763853	NA
ImmunoStates-Full.tsv	0.375629006684422	0.381898669167193	NA	0.123129750890401	0.422857076658314	NA	0.413555096363121	0.504677707216952	NA	-0.0250164972949067	NA
ImmunoStates-Stromal.tsv	0.360480862023989	0.366371628607531	NA	0.123129750890401	0.352905940759102	NA	NA	0.438896556086695	NA	-0.0250164972949067	NA
LM22-Blood.tsv	0.525757039132552	0.513088335750396	NA	0.366254724850202	0.593396057640213	0.352523664841584	NA	0.528295372914576	NA	0.51123647762555	NA
LM22-Full.tsv	0.585051840940141	0.572629606832824	0.572113221322523	0.16152802166935	0.601825929898753	0.0484473472107867	0.558994644114575	0.551122291013012	NA	0.363542136937333	NA
LM22-Stromal.tsv	0.514520479407107	0.502590761095853	NA	0.16152802166935	0.5394518958519	0.319178672078777	NA	0.486344760597886	NA	0.363542136937333	NA
SkinSignaturesV1.tsv	0.430820813003344	0.431581725018485	NA	0.409166222110002	0.634643480446272	0.0450958404866101	0.266587467072347	0.648616666132238	NA	0.414806221920607	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.680190740992697	0.496701730990594	0.832769891403829
