RefMat	Cibersort_corr	DCQ_corr	Decon_corr	dtangle_corr	EPIC_corr	GEDIT_corr	MCP_corr	Savant_corr	xCell_corr
10XImmune.tsv	0.12904459972455	0.018588154035436	-0.0386220757632596	0.131973383537447	-0.128683721969655	0.000741493499820906	NA	0.139832084949703	NA
BluePrint-Blood.tsv	0.271162395172673	0.0565674327045158	0.595007503861489	0.168667555487371	0.17055653753495	0.441021830735829	NA	0.32674016593328	NA
EPIC-BCIC.tsv	0.316593785922447	0.062335027862684	0.68586462754599	0.168667555487371	0.155059219952458	0.698486188642214	NA	0.404803600092738	NA
EPIC-TIC.tsv	0.171693634471093	0.0260230859099302	0.171240879117098	0.168667555487371	0.170852001420823	0.179114865399527	NA	0.169002780968488	NA
HPCA-Blood.tsv	0.864825593977703	0.061691163103229	0.888773202107637	0.168667555487371	NA	0.778180596061927	NA	0.311943330863064	NA
HPCA-Stromal.tsv	0.174059807895095	0.0328024441505159	0.171413947758196	0.168667555487371	NA	0.175922864224597	NA	0.169258068423308	NA
ImmunoStates-Blood.tsv	0.617913795102347	0.0394127821946802	0.794477499951834	0.168667555487371	NA	0.648777768956825	NA	0.261586817857829	NA
ImmunoStates-Full.tsv	0.672628959696386	0.0394127821946802	0.822579404474051	0.16908124961528	0.888185879314035	0.597476903979335	NA	0.261586817857829	NA
ImmunoStates-Stromal.tsv	0.170236298069898	0.0329316207654488	0.173448064315903	0.171725618571878	NA	0.174092029999887	NA	0.170732491600276	NA
LM22-Blood.tsv	0.816230977228983	0.0501256333730618	0.785106316534312	0.168667555487371	NA	0.861111513166253	NA	0.295821292695551	NA
LM22-Full.tsv	0.82731278014175	0.0501256333730618	0.79348175871778	0.167700616714409	0.947983107655656	0.947513707160311	NA	0.295821292695551	NA
LM22-Stromal.tsv	0.175393809697853	0.0376319608673394	0.174708161879699	0.173207316154162	NA	0.181573332376142	NA	0.170136787246823	NA
BlueCodeV1.tsv	NA	0.0719944260876494	0.768125032592538	0.171044475410091	0.292898215499249	0.525255147720391	NA	0.307850068788634	NA
SkinSignaturesV1.tsv	NA	0.0734275876048297	0.968590221379396	0.176418158097417	NA	0.87016800180711	NA	0.382090568069734	NA
default.tsv	NA	NA	NA	NA	NA	NA	0.565195533032492	0.393085940762903	0.249467533948174
