RefMat	AbsCibersort_corr	Cibersort_corr	CIBERSORTx_corr	DCQ_corr	Decon_corr	dtangle_corr	EPIC_corr	GEDIT_corr	MCP_corr	Savant_corr	xCell_corr
10XImmune.tsv	0.529926111924097	0.530191627813954	NA	0.360772370521538	0.412094517915651	NA	0.55890828881663	0.849185065598771	NA	0.00618503125188835	NA
BlueCodeV1.tsv	0.219846313914153	0.220051179990189	NA	0.0945735875094794	0.212150201518375	NA	-0.102915616888727	0.815764675785139	NA	0.189571598312567	NA
BluePrint-Blood.tsv	0.0349819335217379	0.0353977502070761	NA	0.0876090746382713	-0.0644053560190216	NA	-0.0149014125007193	0.904711495596041	NA	-0.0817610733401481	NA
EPIC-BCIC.tsv	0.005865748627369	0.00624832045363584	NA	0.649960643289357	0.136009324818655	-0.246265354506462	0.145564992088833	0.921703955144104	NA	-0.0750930588220241	NA
EPIC-TIC.tsv	-0.0664470949456676	-0.066190688386939	NA	5.87498883796515e-05	-0.0476605473177852	-0.228460362232379	-0.0527336632022408	0.265195819108471	NA	-0.0583491649025308	NA
HPCA-Blood.tsv	0.335446321179079	0.334643388824096	NA	0.474321074926377	0.0673383503672756	0.380454120531512	-0.0463036104609421	0.755304683195686	NA	0.0866399527544749	NA
HPCA-Stromal.tsv	0.0301829494096768	0.030398609380157	NA	0.103688320633432	-0.00666109219710913	0.144238112654303	0.0217323881594786	0.19559284264572	NA	0.0432977751988893	NA
ImmunoStates-Blood.tsv	0.326989990135155	0.354320078972883	NA	0.515088597736711	0.10190292947418	NA	NA	0.358304105520174	NA	0.145333069790151	NA
ImmunoStates-Full.tsv	0.377136173643264	0.399490795645924	NA	0.515088597736711	0.106470634076557	NA	0.0909308220698012	0.364979355212445	NA	0.145333069790151	NA
ImmunoStates-Stromal.tsv	0.0131513609634134	0.0459065289230753	NA	0.3320532934642	-0.0242155779408959	NA	NA	0.221934957049297	NA	0.0832087927875967	NA
LM22-Blood.tsv	0.583101686351789	0.590720443445464	NA	0.498973076703475	0.485209251958302	0.0794492175238877	NA	0.730564797271516	NA	0.391036385331756	NA
LM22-Full.tsv	0.487389256934957	0.497901479446562	0.489602307148917	0.498973076703475	0.427808110159522	0.067959604899429	0.431502463097832	0.763549620741438	NA	0.391036385331756	NA
LM22-Stromal.tsv	0.170864378953832	0.176613624820903	NA	0.3092750479608	0.165908430719893	0.0493842835178133	NA	0.261602429792532	NA	0.219073601979189	NA
SkinSignaturesV1.tsv	0.139551249059079	0.139426435010112	NA	0.41487881661986	0.184933844846377	NA	-0.032004290638341	0.443970022872785	NA	0.245811446387144	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.416953839148206	0.420244445218058	0.337096482767243
