naive_B_cell	CD19	CD79A	CHMP7	CNOT1	IL4R	IRS1	MS4A1	OSBPL10	PAX5	PTPRK	RPL7	SIDT1	SLC38A1	TCL1A	TRAF3IP2	TRAK1
memory_B_cell	COL4A3	SCRN1	SETBP1	TNFRSF13B	WEE1
CD4_positive_alpha_beta_T_cell	CD40LG	CTLA4	ICOS	MAL	TNFRSF25	TRAT1
CD8_positive_alpha_beta_T_cell	CAMK4	CD3E	CD3G	CD8A	PRR5
macrophage_m0	ASRGL1	C1QA	CLEC5A	GLRA1	GPNMB	HTRA1	LGALS13	MMP8	PTPN13	RNASE1	SFXN3	SLC17A5	SLCO2B1
macrophage_m1	APOE	C1QB	CD14	CFB	CXCL10	CXCL9	DEFB1	EDN1	GBP1	IFI27	LILRA3	MMP9	MT1X	PANX1	PRKCDBP	PTTG2	SLC15A3	ZC3H12A
macrophage_m2	CD163	CD209	CD4	CDR2L	EVL	ING2	LSM4	MAOA	MS4A6A	QPRT	RAMP1	TUBB6
MAST_cell	ACSM3	CALB2	ELSPBP1	FST	IGFBP2	KRT19	LIMA1	MOCS3	NEFL	NXT2	OR2F1	PLAT	SIGLEC6
