naive_B_cell	CD19	CD79A	CHMP7	CNOT1	IL4R	IRS1	MS4A1	OSBPL10	PAX5	PTPRK	RPL7	SIDT1	SLC38A1	TCL1A	TRAF3IP2	TRAK1
memory_B_cell	COL4A3	SCRN1	SETBP1	TNFRSF13B	WEE1
CD14_positive_monocyte	ASGR2	CACNA2D3	CASP1	CCR2	CD1D	CES1	CSTA	DPYD	FMO5	FXYD6	GAS7	NRG1	NRGN	RETN	RNASE4	S100A12	SMARCD3	TFEC	TLR5
CD16_positive_monocyte	ASGR1	CALML4	CDKN1C	CHST7	CLCF1	FARS2	FCHO1	FCN1	FGR	GIMAP4	HAGH	HCK	KLHL18	LILRA5	LILRB1	MAPK7	MTMR11	MTSS1	NAGA	NOTCH4	NUDT18	OLFM1	RRAS	SF3A3	SFTPD	SLC7A7	TAGLN	TBC1D8	TMC6	TMEM9B	TOMM22	ULK2	ZNF34	ZNF593
CD56dim_natural_killer_cell	APOBEC3G	ARID4A	ATP2B1	CD160	CLCC1	KLRF1	NPEPPS	NR2E3	NR4A2	SEC63	SLC4A1AP	TMF1	YTHDF3
CD56bright_natural_killer_cell	ABCB1	GFOD1	KIR3DL1	KLRC3	KLRD1	S100B
neutrophil	ALPL	ANXA3	AOC2	APOBEC3A	BMX	CA4	CEACAM3	CLEC4E	CYP4F3	CYSLTR1	DYSF	HIST1H2BC	HPSE	IL1R2	IL1RAP	KCNJ15	LIMK2	MME	NOV	ORM1	PGLYRP1	PI3	SH3BP2	STEAP4	TGM3	TLR8	TNFRSF10C	TREM1	TREML2
CD4_positive_alpha_beta_T_cell	CD40LG	CTLA4	ICOS	MAL	TNFRSF25	TRAT1
CD8_positive_alpha_beta_T_cell	CAMK4	CD3E	CD3G	CD8A	PRR5
