RefMat	AbsCibersort_corr	Cibersort_corr	CIBERSORTx_corr	DCQ_corr	Decon_corr	dtangle_corr	EPIC_corr	GEDIT_corr	MCP_corr	Savant_corr	xCell_corr
10XImmune.tsv	0.320289358708282	0.320289358708313	NA	0.354473009987784	0.319178672078777	NA	0.319241226204447	0.477273589922667	NA	0.420215564165332	NA
BlueCodeV1.tsv	0.455643914903066	0.455643914903116	NA	0.544485456419379	0.484100443167599	NA	0.360036038459834	0.838023923041276	NA	0.468864915393604	NA
BluePrint-Blood.tsv	0.432740187610045	0.432740187610053	NA	0.313732759030424	0.0956698869606114	NA	0.319118851255255	0.415353137631591	NA	0.316717016253289	NA
EPIC-BCIC.tsv	0.201116903696246	0.201116903695491	NA	0.321074330084984	-0.210595706484251	NA	-0.262838743856104	0.525857096136822	NA	0.322834972518926	NA
EPIC-TIC.tsv	0.851684711988266	0.851684711988454	NA	0.634154984778681	0.245875281582686	NA	0.327601331799477	0.798988573228273	NA	0.291118011952162	NA
HPCA-Blood.tsv	0.512552015167336	0.512552015167291	NA	0.353674213687777	0.521455026316779	0.293222054030035	0.355097295794143	0.450515415483863	NA	0.419237790684939	NA
HPCA-Stromal.tsv	0.721866462373165	0.721866462372969	NA	0.605669182219313	0.516760394922521	0.232489175067318	0.333173972320056	0.907329396599473	NA	0.573843078491824	NA
ImmunoStates-Blood.tsv	0.451874556681215	0.451874556681269	NA	0.40217835569919	0.419887592805662	NA	NA	0.435657443055228	NA	0.257518833750203	NA
ImmunoStates-Full.tsv	0.365625984885117	0.365625984884995	NA	0.311731074008376	0.391422219971472	NA	0.38525818131814	0.476697707759961	NA	-0.0615643625179328	NA
ImmunoStates-Stromal.tsv	0.36637162860754	0.366371628607557	NA	0.311731074008376	0.352905940759092	NA	NA	0.438892564587343	NA	-0.0615643625179328	NA
LM22-Blood.tsv	0.505626494213908	0.50562649421391	NA	0.519784768705447	0.569331272596006	0.319178672078777	NA	0.4819513807919	NA	0.449298759103011	NA
LM22-Full.tsv	0.571876038681045	0.571876038681043	0.57151616302036	0.336741585471888	0.580199709385893	0.319178672078777	0.534057054022382	0.537028208233503	NA	0.305834862797849	NA
LM22-Stromal.tsv	0.502590761095854	0.502590761095856	NA	0.334040428686139	0.5394518958519	0.319178672078777	NA	0.486347300623977	NA	0.305834862797849	NA
SkinSignaturesV1.tsv	0.418184094379328	0.418184094379437	NA	0.523783114718645	0.629256134253367	0.224391881656252	0.266709746582643	0.625470083790915	NA	0.41499430232016	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.652454399392597	0.427658024772572	0.86289751898518
