RefMat	Cibersort_corr	DCQ_corr	Decon_corr	dtangle_corr	EPIC_corr	GEDIT_corr	MCP_corr	Savant_corr	xCell_corr
10XImmune.tsv	0.12904459972455	0.0211271469419079	-0.0386220757632597	0.131973383537447	-0.128581119641787	0.00074191529385247	NA	0.1396153606589	NA
BluePrint-Blood.tsv	0.271162395172674	0.0801542190827051	0.5950075038615	0.168667555487371	0.170376655950818	0.441021761154179	NA	0.326808574251749	NA
EPIC-BCIC.tsv	0.316593785922447	0.0705803301063822	0.68586462754599	0.168667555487371	0.154613682905455	0.698486038442711	NA	0.404866273097861	NA
EPIC-TIC.tsv	0.168667555487371	0.042117946024389	0.168667555487371	0.168667555487371	0.168667555487371	0.168667555487371	NA	0.168667555487371	NA
HPCA-Blood.tsv	0.864825593977705	0.0936368672391482	0.888773202107637	0.168667555487371	NA	0.778180671682913	NA	0.311954183325932	NA
HPCA-Stromal.tsv	0.168667555487371	0.0474654465424437	0.168667555487371	0.168667555487371	NA	0.168667555487371	NA	0.168667555487371	NA
ImmunoStates-Blood.tsv	0.61791379510234	0.0773546172865955	0.794477499951838	0.168667555487371	NA	0.64877780165416	NA	0.261182871569188	NA
ImmunoStates-Full.tsv	0.673589043687954	0.0631918091410164	0.822806295218211	0.168667555487371	0.888536615471832	0.59748950153349	NA	0.261182871569188	NA
ImmunoStates-Stromal.tsv	0.168667555487371	0.0397592841241328	0.168667555487371	0.168667555487371	NA	0.168667555487371	NA	0.168667555487371	NA
LM22-Blood.tsv	0.816230977228982	0.100029507816212	0.785106316534313	0.168667555487371	NA	0.861111394700509	NA	0.29547561631209	NA
LM22-Full.tsv	0.828764590022725	0.0745348626389607	0.794919372353562	0.168667555487371	0.947530344149451	0.949857275866042	NA	0.29547561631209	NA
LM22-Stromal.tsv	0.168667555487371	0.0323588379626738	0.168667555487371	0.168667555487371	NA	0.168667555487371	NA	0.168667555487371	NA
BlueCodeV1.tsv	NA	0.0767057744684977	0.768110387073916	0.168667555487371	0.292898215498639	0.526706646878026	NA	0.307662333837202	NA
SkinSignaturesV1.tsv	NA	0.137699801104238	0.969640732328601	0.168667425528821	NA	0.864475584694039	NA	0.382018242452568	NA
default.tsv	NA	NA	NA	NA	NA	NA	0.565630926271519	0.393078916408505	0.243754377108162
