RefMat	AbsCibersort_corr	Cibersort_corr	CIBERSORTx_corr	DCQ_corr	Decon_corr	dtangle_corr	EPIC_corr	GEDIT_corr	MCP_corr	Savant_corr	xCell_corr
10XImmune.tsv	0.530191627814148	0.530191627813966	NA	0.350284207202831	0.412094517915669	NA	0.5598976641195	0.849185324537182	NA	-0.0143956237218392	NA
BlueCodeV1.tsv	0.216929744663693	0.216929744663538	NA	0.247905167403911	0.203262544985731	NA	-0.102923753609445	0.816310385227259	NA	0.18146625143232	NA
BluePrint-Blood.tsv	0.0353977502071673	0.0353977502070968	NA	0.215531695057039	-0.0644053560190194	NA	-0.022154441625066	0.904775779685539	NA	-0.0784770793316051	NA
EPIC-BCIC.tsv	0.00624832045368866	0.00624832045361615	NA	0.649110111191804	0.136518104058131	-0.246265354506462	0.146028539033237	0.921705729503101	NA	-0.0725910940667242	NA
EPIC-TIC.tsv	-0.0728930063845701	-0.0728930063845259	NA	0.119222167036917	-0.052355223967169	-0.228460362232379	-0.0564690480682314	0.233704263943906	NA	-0.0765795827412052	NA
HPCA-Blood.tsv	0.334643388824013	0.334643388824064	NA	0.702554932299691	0.0655360707061987	0.380454120531504	-0.0461603801981326	0.755418887121392	NA	0.0715803377461373	NA
HPCA-Stromal.tsv	0.0286566277224067	0.0286566277224834	NA	0.11475366744791	-0.0118531970861704	0.144238112654303	0.0222111783667585	0.182947229495614	NA	0.0319906231532385	NA
ImmunoStates-Blood.tsv	0.354338584231087	0.354338584231032	NA	0.60910444058042	0.102311737295306	NA	NA	0.358307962905476	NA	0.141219575935273	NA
ImmunoStates-Full.tsv	0.395899476228477	0.395899476228435	NA	0.60910444058042	0.108906497169376	NA	0.105987114701583	0.363037265396371	NA	0.141219575935273	NA
ImmunoStates-Stromal.tsv	0.0325951204033071	0.0325951204032884	NA	0.310910450316733	-0.0339866805791722	NA	NA	0.202775508910088	NA	0.0544704343960466	NA
LM22-Blood.tsv	0.590720443445452	0.590720443445449	NA	0.551450101379484	0.486258922417757	0.0794492175238877	NA	0.73056559563178	NA	0.369891976999903	NA
LM22-Full.tsv	0.486397965967388	0.486397965967523	0.476780544872074	0.552168721835561	0.423559162372089	-0.104179819955085	0.424941559654173	0.763938590619185	NA	0.369891976999903	NA
LM22-Stromal.tsv	0.16915840510849	0.169158405108401	NA	0.398241671180626	0.137796374193952	-0.0160757626257867	NA	0.242350913025329	NA	0.151297815171257	NA
SkinSignaturesV1.tsv	0.132554954453466	0.132554954453672	NA	0.554361870540687	0.174629362457024	NA	-0.0319983105947847	0.433153699954274	NA	0.245300044960221	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.352255986345527	0.46683664329714	0.335358686404107
