Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	otherCells
mix_1	0.0261586366373735	0.0163572088178698	0.138639343002939	1.71618671761507e-08	6.45449185416057e-08	1.43779264300798e-08	0.818844715457105
mix_2	0.0346067468197119	0.0155175435191497	0.130237166004639	2.57524019383643e-08	8.72088480947032e-06	5.54929815924689e-09	0.819629791469989
mix_3	0.0344434326271778	0.0175765136108042	0.121559302262934	4.94268882672638e-08	4.99794480244029e-09	8.53153640177096e-06	0.826412165537849
mix_4	0.0283946867880911	0.0149425760883018	0.138719049161154	1.69002314526934e-07	2.87277886648834e-08	3.38916361386214e-07	0.817943151315989
mix_5	0.0290524146824051	0.0158466906018762	0.134768832293664	2.51586637381477e-08	2.66017617675012e-08	7.06067640666376e-07	0.820331304593989
mix_6	0.02840972314061	0.0147342646072566	0.139309172566643	8.87636540741951e-08	1.57895299319969e-08	1.33088759165083e-08	0.81754672182343
mix_7	0.0313638869559545	0.0161773145224051	0.129964622408485	4.04481360089956e-09	3.66230483202662e-09	7.2247813927847e-06	0.822486943624644
mix_8	0.0300699460245523	0.0161533444339148	0.130159826578394	4.49335930957526e-09	9.03966795137154e-05	6.4922814688132e-08	0.823526416867451
mix_9	0.026715008520926	0.0145750455458627	0.142834443904268	6.65899918790185e-09	6.39880746755524e-08	4.50080765004209e-08	0.815875386373793
mix_10	0.0333975171450876	0.0172762938479671	0.12777158417989	1.00090815961262e-08	3.05512176042173e-08	1.85909160965947e-08	0.82155454567584
mix_11	0.0278857730987383	0.0161438614015898	0.138232669989529	9.62075498979242e-07	1.01353620441894e-07	9.69202971114732e-07	0.817735662878052
mix_12	0.0291802072487354	0.0158058474252446	0.134264519402764	3.78137604183414e-08	1.45220040013505e-08	7.36509605835162e-07	0.820748637077886
mix_13	0.031698479540704	0.0155353961026596	0.133874125627267	1.01522386363648e-09	5.14989867954914e-09	1.62754207803724e-08	0.818891976288826
mix_14	0.0284964198695402	0.0160978601622447	0.136619317306041	5.12052593520279e-08	3.11944910854594e-06	9.52020368780507e-09	0.818783222487602
mix_15	0.0302332216324281	0.0156629668613744	0.133439327476192	4.98603145763167e-08	1.22805059782054e-07	2.85864604918991e-08	0.820664282778171
mix_16	0.0341177051775702	0.0167250229522271	0.120821339156707	1.33181829303878e-07	2.27026835234988e-08	4.4437213737607e-07	0.828335332456845
mix_17	0.0349010435023365	0.016457776157662	0.120596477185371	2.04011694445765e-09	1.51993518516199e-07	2.70293260217097e-06	0.828041846188393
mix_18	0.0336671343983074	0.0170021028416025	0.127000418708469	6.90545637405521e-08	6.1298005684053e-09	1.93075544308654e-07	0.822330075791713
mix_19	0.0316942949649252	0.0173952164423493	0.12443926108265	5.27895868896683e-08	4.54177352556483e-08	3.78972028382406e-07	0.826470750330724
mix_20	0.0316351045447509	0.014936446705605	0.135819041933481	2.18103301008693e-08	6.59508722984948e-06	2.85459162761138e-08	0.817602761372687
mix_21	0.0341318404667156	0.0162316973078697	0.125754175923738	6.82240271975328e-09	6.80066148239795e-07	3.86155642546601e-07	0.823881213257483
mix_22	0.0255155853597384	0.0169964273848051	0.137247996517065	1.55490650863793e-07	1.90909334622431e-07	4.521102340313e-06	0.820235123236066
mix_23	0.0304961458201923	0.0156650583336782	0.136450513821138	2.01453889423433e-07	2.92845390126043e-09	6.38638779281479e-08	0.81738801377877
mix_24	0.0311659405466188	0.0155766643207234	0.1333259718928	1.17717765393995e-08	3.8868770241693e-09	1.24192946513293e-08	0.819931395161909
mix_25	0.0301327503002055	0.0142368739978829	0.140211577876974	6.5678318952096e-08	2.54927205105945e-08	1.01503259529234e-07	0.815418605150639
mix_26	0.0348588462911341	0.0171866150486497	0.12175711309139	2.77886241839886e-10	2.40307323908383e-07	4.49131442691143e-06	0.826192693669189
mix_27	0.0267802661172647	0.0154694950004911	0.140363256611498	4.8946168082877e-09	2.04896016945167e-06	2.06388442703402e-08	0.817384907777116
mix_28	0.0296979902538313	0.0151656283435108	0.136984706899155	2.22411840695888e-07	6.45048038142439e-12	6.71538636510523e-07	0.818150780546575
mix_29	0.0277208409804939	0.0158448040368065	0.137581881846122	1.17951704104376e-08	1.39626403661682e-06	2.75549961633704e-10	0.818851064801821
mix_30	0.0290677967765729	0.0150518862470153	0.138659891399612	8.70115877237644e-08	2.81845978597307e-09	9.58050687747606e-06	0.817210755239875
mix_31	0.0287284880831049	0.0162635638854669	0.135056627756713	2.21862729832152e-08	1.47625608046239e-08	5.61002742522657e-06	0.819945673298456
mix_32	0.0274402737595862	0.0163594742659997	0.137317044682505	2.98135522940582e-06	2.83130659903588e-07	1.01484348156435e-07	0.818879841321672
mix_33	0.0321126374744443	0.0169742826138655	0.129292954042695	2.08079081493011e-08	4.38891937466508e-09	5.60176283995682e-09	0.821620095070405
mix_34	0.0343849096320445	0.017968425918849	0.121172583365234	1.97410649149463e-08	2.53285622438596e-08	6.60567485651746e-08	0.826473969957497
mix_35	0.0273144981524698	0.0157531275896898	0.137916865757514	1.55646027259851e-08	1.69608084756286e-07	7.13707734128579e-08	0.819015251956865
mix_36	0.0282345066101742	0.0166857247052541	0.134271148248962	2.06172383308095e-06	1.08185908271251e-05	1.56401831312137e-08	0.820795724480767
mix_37	0.0322960638027785	0.0162987307508861	0.126648498391167	8.52506312398e-09	8.44414354191155e-08	2.00920637627527e-05	0.824736522024907
mix_38	0.0332621788528915	0.0166019739907135	0.127905293575822	4.58654593214492e-09	9.08785630340362e-09	1.03082797648425e-06	0.822229509078195
mix_39	0.0297665408433171	0.0152603161834658	0.136225270164719	5.55829982168965e-05	6.23566886692244e-06	8.98415356611987e-09	0.818686045157261
mix_40	0.0276245928489235	0.0169502689875451	0.13312933053147	2.7129407972525e-08	1.67584203100542e-06	4.30736350654911e-08	0.822294061586988
mix_41	0.0329901833672838	0.0176229951657542	0.124442439293383	1.80998254768054e-08	4.84855202877225e-09	8.54921231178955e-08	0.824944273733078
mix_42	0.0292947620400907	0.0158031193483462	0.13553603857834	2.87371670010144e-08	0.000148275279613409	1.11711959934147e-08	0.819217764845247
mix_43	0.0346994426736741	0.0174124868515783	0.124396843499999	3.07533660339732e-09	5.24399136617796e-08	6.67072325280899e-07	0.823490504387173
mix_44	0.0301631033095317	0.0156147334608557	0.136802818371227	3.26200650628376e-06	3.85357190788559e-09	2.12413884121956e-05	0.817394837609896
mix_45	0.0267396760710165	0.0159606675962392	0.136737782599272	2.97138105867807e-08	3.12072105051297e-06	1.33245675174083e-06	0.820557390841859
mix_46	0.0334798281409404	0.0177176375283915	0.125805575791895	1.34200818485108e-07	4.20622801403502e-05	2.56739577558506e-08	0.822954736383857
mix_47	0.0381962152579142	0.0162788878080284	0.112614453060406	1.7128159102942e-08	8.77793685731695e-07	4.24759058317591e-08	0.832909506475901
mix_48	0.0336203911188286	0.0166718675825617	0.1287531656012	1.41014596175858e-08	1.51747393770618e-05	2.59269808899929e-08	0.820939360929593
mix_49	0.0255356036982667	0.0182317726800078	0.134514665129151	2.07185005497715e-08	2.19742994985011e-08	9.09576369682996e-06	0.821708820036077
mix_50	0.0262603337518669	0.0155344088325051	0.138926765721582	2.61815033793463e-08	2.12864132538931e-08	2.45522013735636e-07	0.819278198704116
mix_51	0.0349624827338613	0.0173046981463677	0.120963918305682	3.90116556983245e-08	3.09030750178673e-08	2.57374421895698e-08	0.826768805161916
mix_52	0.0341792225447247	0.0175830306604185	0.123416195405044	3.21389863669506e-08	9.26366832320571e-07	3.41196314028141e-07	0.82482025168768
mix_53	0.0363216770616786	0.017200916977516	0.123789257599422	4.64875037024326e-10	5.80680297626694e-06	8.75621647140511e-09	0.822682332337315
mix_54	0.030614053160866	0.0161000048296588	0.133071203989674	7.78534457223202e-09	2.54448042447105e-08	1.17272972130087e-06	0.820213532059931
mix_55	0.0337327777513268	0.0164771397553239	0.126567986965685	4.92985070394689e-08	2.86281057445723e-08	4.95767787930931e-05	0.823172440822259
mix_56	0.0279558794762792	0.0161172279107274	0.137175380855846	1.59394340201667e-08	5.58911153117107e-09	3.28107866868497e-07	0.818751162120735
mix_57	0.0266429451235952	0.0149621021868804	0.142124678069186	4.27244493444394e-08	1.77653059102913e-09	9.8691428989513e-07	0.816269243205068
mix_58	0.0305486180314604	0.0156691122520341	0.133926917199285	9.21574325506572e-11	1.51653266177928e-07	3.73616282733567e-05	0.819817839143523
mix_59	0.0349588505537252	0.0176794843653239	0.122392443636352	7.87733785883118e-08	4.68255713516819e-06	1.1613971722124e-08	0.824964448500113
mix_60	0.0320908245859508	0.017115387873712	0.128701586054015	3.57691307283796e-07	1.19263479980295e-09	1.28838600406589e-06	0.822090554216376
mix_61	0.0295627065861063	0.0156344570781885	0.134995729830457	2.21525336753372e-08	2.46242836287329e-07	3.30132431014316e-07	0.819806507977447
mix_62	0.0315591562246708	0.0177099903477894	0.125945679578492	2.71051533915192e-09	3.30987103593635e-09	4.77232577549331e-07	0.824784690596083
