Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE
S10001	0.0876014564441152	0.115418705708051	0.407658244711981	0.155568323798828	0.233753269337024	0	9999	0.351541178876153	0.999290459051146
S10006	0.0928119429506984	0.116971749610787	0.35473311732605	0.141577053358487	0.293906136753977	0	9999	0.318401026063678	1.02138972104189
S1001	0.0517135448363534	0.175995993138435	0.357403717763169	0.118905233433257	0.295981510828786	0	9999	0.369891838476827	0.985379944542208
S10010	0.0244614529881202	0.168427894600802	0.387334961284106	0.192674277002151	0.227101414124821	0	9999	0.403238815017545	0.975959781152583
S10011	0.0533943346797063	0.145147621090353	0.343326632503774	0.126534094012287	0.33159731771388	0	9999	0.405421414443135	0.960606742256864
S10014	0.0672363672249262	0.150564245224317	0.448884107395128	0.122915725868757	0.210399554286873	0	9999	0.379030693666108	0.975158873401446
S10026	0.0615831371784697	0.12522456134813	0.303863378975522	0.137216606668238	0.37211231582964	0	9999	0.340825390505111	1.00937798045276
S10032	0.0683513016794795	0.178151855311713	0.333227174164158	0.117106294170644	0.303163374674005	0	9999	0.381294275572619	0.977311680694387
S10036	0.0318314978293234	0.12717110264419	0.33457369830506	0.177579923555766	0.32884377766566	0	9999	0.367966521398891	0.997575509805206
S10042	0.0546572955686136	0.144960657421232	0.382711744770897	0.132253706852692	0.285416595386566	0	9999	0.38596945185706	0.973992162893496
S10044	0.053834306158177	0.125013245159184	0.365585008729693	0.140409993687284	0.315157446265662	0	9999	0.356836193356621	0.996148709453106
S10049	0.0859083215681239	0.111767245451868	0.360224630154406	0.111160181563731	0.330939621261872	0	9999	0.33470467750226	1.00577637013501
S10057	0.0602330049352972	0.155940387759079	0.399896879608442	0.0934288489815932	0.290500878715589	0	9999	0.377848452672311	0.973897290063611
S10062	0.0852192135331104	0.203528063685363	0.317502271330941	0.123827638516906	0.269922812933679	0	9999	0.385416555155037	0.976272284298721
S10066	0.026216689283774	0.17407424548588	0.380934778361251	0.200097239913493	0.218677046955602	0	9999	0.41862554563658	0.96651349022658
S10067	0.0702822817656216	0.112373874437181	0.363518942719296	0.0949985807856361	0.358826320292265	0	9999	0.358107356042205	0.988630041509149
S1007	0.0935947426468297	0.0969169920355315	0.337643160759027	0.15419549578386	0.317649608774752	0	9999	0.360394328219259	0.994502859097975
S10073	0.0478882552706534	0.0772603861115297	0.401122250570496	0.0946582069029203	0.379070901144401	0	9999	0.379499326833322	0.973358136442519
S10077	0.0884659159688444	0.127721057305498	0.430431785365154	0.125736227678713	0.227645013681791	0	9999	0.383267032268427	0.971572101118489
S10080	0.0817949188092513	0.15122927682636	0.3769320987105	0.131811406297889	0.258232299355999	0	9999	0.414682185208345	0.952431277747971
S10082	0.0654981121756312	0.114783410692449	0.338354245047933	0.0874728105785458	0.393891421505441	0	9999	0.371090557635198	0.980520455104367
S10087	0.124621330039435	0.181120219520267	0.368071839333678	0.129842049712359	0.196344561394262	0	9999	0.368911348589324	0.984846467872367
S10089	0.0699005436470295	0.143157688118347	0.374362833068094	0.180806345441324	0.231772589725207	0	9999	0.408326526434537	0.966236457519463
S1009	0.102114487622038	0.102193579611065	0.360194330345863	0.0878915400538425	0.347606062367192	0	9999	0.403966858048453	0.954743164726045
S10090	0.0522517940186107	0.0987885834511052	0.375997638882617	0.182527094335358	0.290434889312309	0	9999	0.349151074862901	1.00858008417325
S10093	0.0583893192878101	0.102101228197909	0.300760321676028	0.186157604532696	0.352591526305557	0	9999	0.363236413875926	1.00190830553133
S10094	0.0517304461710285	0.124026850744866	0.376013704656581	0.127420857771175	0.320808140656349	0	9999	0.366840367141208	0.986746612551377
S1010	0.0980119109811498	0.157214275047915	0.362166578191023	0.121828014130918	0.260779221648994	0	9999	0.398194347005841	0.962986031149977
S10111	0.0503422404771158	0.115829095572545	0.346349128685341	0.12116704786462	0.366312487400379	0	9999	0.365979950547537	0.987773835524231
S10116	0.0550593357955433	0.111075049679351	0.431959850606708	0.0633426439126124	0.338563120005785	0	9999	0.395604479952237	0.958006065863265
S10119	0.0692943993247771	0.129157511843459	0.323702851002452	0.100644621506388	0.377200616322924	0	9999	0.37660639641323	0.978279466703255
S10121	0.0566824098541894	0.162405663970199	0.394881421246913	0.124674550306356	0.261355954622342	0	9999	0.384945622031597	0.973592481450418
S10130	0.0499988617802038	0.129497557831225	0.3871501929995	0.178905538750912	0.254447848638159	0	9999	0.397866644588449	0.973421458688353
S10140	0.0802332970372512	0.154284829569473	0.396489642583348	0.165213599158561	0.203778631651366	0	9999	0.39702478136946	0.970977679315402
S10142	0.10955668786077	0.138359151181254	0.432772071044879	0.119205085545354	0.200107004367743	0	9999	0.376578815987949	0.974734942917517
S10150	0.0519407918679352	0.109845678373347	0.409491986886131	0.25469950247704	0.174022040395547	0	9999	0.432517183573686	0.964747947560054
S10155	0.0793244875355719	0.158275944425657	0.29767059239953	0.123271022893069	0.341457952746173	0	9999	0.409497438474281	0.958293419620242
S1016	0.0547552222019168	0.172298975010212	0.379842185059253	0.15207501999972	0.241028597728899	0	9999	0.386336210307082	0.978448741967407
S10163	0.0591291063627902	0.15119779000947	0.424323741258514	0.124318558657105	0.241030803712121	0	9999	0.382902290932093	0.973639266679243
S10167	0.0562418457077983	0.11018922763548	0.420962875357231	0.116755098911332	0.295850952388159	0	9999	0.369665430438045	0.981185640614063
S10168	0.0734725503824771	0.112718266256563	0.388913126827997	0.117324706031285	0.307571350501677	0	9999	0.369627858802895	0.981737336716445
S10173	0.104527400311087	0.118010475622815	0.28359790823361	0.106252577826506	0.387611638005981	0	9999	0.413202197734188	0.953004057249662
S10175	0.0642362449118589	0.128474461027775	0.369902790081157	0.129357349114525	0.308029154864683	0	9999	0.353222776975718	0.996335296262554
S10179	0.0553682448258	0.100366941012581	0.399384756944602	0.12604592061901	0.318834136598007	0	9999	0.354389714096184	0.993799893535518
S10186	0.064913649726458	0.165579448132323	0.365282030756105	0.0515893518049569	0.352635519580157	0	9999	0.361535630022371	0.983011376110338
S1019	0.0674855632723455	0.13935960878017	0.384126787528645	0.0788514585667679	0.330176581852072	0	9999	0.37332519197168	0.975825423209875
S10190	0.0811975511140304	0.134333849502739	0.27215891675858	0.108087262938967	0.404222419685683	0	9999	0.37994121069791	0.97887401519946
S10195	0.0730565809781402	0.107784390743674	0.369286876306894	0.190318330635937	0.259553821335356	0	9999	0.327108015930206	1.02573812445261
S10196	0.0551218849001568	0.11616761984568	0.37142090033809	0.131721408611102	0.325568186304972	0	9999	0.377278968102076	0.979847113497921
S10200	0.0393650128431039	0.16992395185357	0.382165221778178	0.134406494983543	0.274139318541606	0	9999	0.389082549712962	0.973624405984842
S10201	0.0711288233449388	0.15128371082196	0.393601101670232	0.2900040467823	0.0939823173805692	0	9999	0.376518296242808	1.02646992378729
S10202	0.0417316448726308	0.148505605689712	0.488135634131281	0.0922917961127473	0.229335319193629	0	9999	0.396459934783407	0.958647676888627
