Gene,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
Mix_1,892.556357327,1575.61744504,5386.95532463,3193.54488363,7607.37035987,1636.79710843,27909.3321802,1130.50289601
Mix_2,1090.44777257,1551.35780932,4748.09124375,2901.06038375,6908.01827651,1745.21014657,30010.4245079,1111.9128331
Mix_3,782.319526681,1403.67292483,4263.43176851,3406.84461707,6959.83148601,1659.06715061,32687.4326031,1259.62719308
Mix_4,859.590307219,1399.92457188,4100.53385954,3297.01635625,6781.71730132,1705.57580073,31971.3793418,1236.81468626
Mix_5,1257.95621348,1540.82214057,4484.20387396,3204.49030142,6394.39466366,1722.51837342,32651.840146,1089.85326541
Mix_6,1061.60133441,1690.15487733,5939.4443076,2989.96184865,7694.52955508,1632.62616149,29784.5100075,1087.81339802
Mix_7,928.812822155,1442.04238694,4038.23798319,2887.41545677,6661.84903857,1786.4099164,34863.6712635,1235.61168244
Mix_8,1126.90549083,1654.46174187,5204.09543937,2248.59625802,7211.9271629,1818.07370919,32858.1030565,1095.90685347
Mix_9,1037.32911722,1521.83927227,4600.98905004,3044.02507861,6873.57371638,1728.31816662,31923.749523,1156.77250012
Mix_10,1171.97364029,1645.85887004,5273.09365478,2812.21882909,7027.49576504,1677.74820053,33182.9580387,1083.1507179
Mix_11,999.201251196,1487.37663336,4317.98609186,2955.33683216,6875.55598991,1794.60553279,31214.1538007,1179.04624556
Mix_12,763.36672953,1470.31372028,4877.38584373,3254.69572345,7435.0008464,1638.92636081,29346.7415218,1215.5867415
Mix_13,1214.89789124,1594.82150708,4715.72558966,2791.32021245,6694.27866785,1769.84509779,34694.9392034,1124.11196601
Mix_14,761.219589353,1318.16782566,3616.59801937,3351.11256868,6578.86917988,1705.97232331,33639.6116209,1302.81427489
Mix_15,908.600013162,1491.77195376,4353.42386085,2771.34586864,7061.47694036,1833.47646591,33207.2405283,1236.26408169
Mix_16,1067.57047727,1589.76311928,4822.10703028,2521.92806299,7006.94842595,1799.80694717,34194.7420843,1153.63862105
Mix_17,940.764843171,1492.79194276,4299.08621032,2762.44704811,6916.48347903,1814.02519474,34694.0038708,1236.06539058
Mix_18,937.407104682,1545.13841136,4486.32702897,2520.28471927,7200.61327556,1897.53781444,32565.2952469,1225.80669196
Mix_19,846.836962117,1537.32397219,5140.91948661,3220.485857,7392.39681441,1615.33737075,31047.6978446,1185.04709545
Mix_20,1130.98756264,1633.54120652,5202.18435397,2652.08185621,7137.22285492,1749.79450325,32681.5454446,1104.75523623
Mix_21,1118.93662413,1692.83071825,5594.34825211,2513.36426801,7448.28596406,1751.69707399,32803.1180944,1096.28893936
Mix_22,876.323998578,1586.5873429,5449.05362792,3036.30531272,7639.89615529,1641.99872746,30669.7567689,1164.6150104
Mix_23,1260.30345926,1641.60995244,4945.47294141,2634.08217932,6859.76198968,1816.16829264,32484.5807998,1081.16168453
Mix_24,732.802657124,1493.48410136,4505.48844595,2432.83492891,7435.89061594,1854.52613093,34405.1877644,1295.17699415
Mix_25,1176.06965118,1547.4322789,4386.99402967,2734.1735458,6527.84494031,1797.90325969,35477.2985072,1150.9345563
