Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
Mix_1,1842.37866867,33.9654060002,86.2928768432,277.069654511,240.850371259,219.796711683,55.9419004565,130.5152175,508.223112,44.81546625,213.070023751,492.708050023,24.7402340002,1130.01368267,73.6150088889,539.148404501,287.44797301,74.5801242859,296.350586555,89.1067750001
Mix_2,2188.31066158,60.295113758,52.2308756301,209.354093025,220.904745197,145.062950158,43.1416375445,186.323724078,569.89522814,28.55150975,125.644376754,444.371047492,27.3810751896,1094.67552419,81.575742146,653.740903901,288.565320898,61.8151586427,284.614763205,76.5089258531
Mix_3,2008.35299051,30.0712935894,49.2643134481,201.745908655,279.094781794,333.1842858,37.0596928104,125.473531358,819.54863514,31.7654509775,118.458660933,452.951800962,33.4596083612,1156.47418523,80.1195263487,767.347410784,271.276951349,52.3373620857,284.341511156,67.3125032566
Mix_4,2064.60665457,34.415338933,40.436608136,183.481256829,261.195842191,269.317951773,36.2363209975,176.109742173,809.83594416,25.0385034175,96.2049879658,451.029148908,34.6842087662,1132.88305157,86.3370915912,815.88551547,274.448884469,50.1250193091,275.229641095,64.8168353094
Mix_5,2412.62236958,85.084644696,32.5198203381,163.517831043,276.018639013,229.931123152,34.5311057996,86.4351946007,404.354644726,21.271161175,64.3199397306,363.297927279,24.51248097,1132.09846653,84.7470072176,450.948616839,256.266846504,52.6714467091,285.017976417,75.389625655
Mix_6,2043.19674691,47.727905363,95.6438745121,294.960156635,228.111312377,219.28462756,61.2550657058,49.131667274,404.28343366,51.04588808,234.811085152,476.57008292,24.5020262792,1160.78349527,63.5237718313,406.325269185,286.495046867,82.7672613811,297.734958771,100.268708747
Mix_7,2298.76801193,42.2602760758,37.9343468428,168.53374227,218.613363237,241.59388058,31.7440440556,208.018449382,985.95372942,20.5929311425,86.9603668392,443.693105786,30.9789311992,1134.76004042,79.6856900844,936.53069467,294.120777438,41.5695815043,267.294868829,65.9997047827
Mix_8,2376.74327295,59.5709797254,66.7564730402,234.300449161,134.291215691,101.246523283,44.8551864505,222.561284442,811.17929834,33.95002644,161.941626108,484.65548854,23.7197518052,1109.154908,72.1249450604,832.726248479,325.19598661,60.9160474356,272.226981235,80.3160625411
Mix_9,2211.44218515,52.950414608,49.2443233142,200.620157253,238.068945269,212.425419858,38.6228036125,152.821550038,659.5237506,25.816792465,113.316659542,438.943227597,29.9405485764,1121.80027612,76.3915231229,681.63262781,283.1876886,58.3167430854,284.371235945,75.9404786887
Mix_10,2323.52072469,66.820913982,63.8568141083,226.841007001,214.662940692,227.565352975,47.2471109004,65.040230191,554.12465254,30.3319867,157.432065296,425.65384984,24.6277623358,1151.71006192,71.6297662713,494.185025055,278.963734403,67.7780854311,294.335191298,91.4486763287
Mix_11,2198.22547409,51.186818386,42.1157366361,192.976465059,214.448291462,145.24529687,38.3852051825,251.79451092,760.0270627,25.6474037225,98.4050384956,455.113928932,31.5328079458,1107.53588465,87.7111210373,846.850273656,290.490593777,48.9036209303,273.959959433,69.267273819
Mix_12,1821.34858656,20.1156963574,76.3161287266,252.523831075,239.572355926,257.632579348,50.9423479233,150.468601729,704.2888452,48.7925373,182.897179681,496.772554211,34.0051057474,1149.5481875,73.3052162198,738.05447823,285.092101363,70.4733579987,277.32766362,77.4864834226
Mix_13,2490.17737885,75.091455168,41.8163316621,184.229115103,226.356844984,221.53758691,38.4192602293,119.665885287,679.91575872,27.3585574175,92.4185415315,407.091380081,29.00451941,1148.55524332,76.5149898443,648.864908086,278.656916532,54.2722602416,284.638499863,77.78600297
Mix_14,2089.6473707,24.7403188328,29.8243394569,153.838698225,270.142451998,313.19545776,32.5791631648,189.190673422,987.42978392,23.8762268125,76.8587110851,446.700201083,35.2913371584,1139.87380735,89.0368500416,932.218851911,278.237629794,40.540858588,266.014400975,57.5628216547
Mix_15,2226.32686965,31.6262503242,45.6953197699,194.289926317,196.4889915,168.539040978,35.7100104939,270.098921245,1007.40686528,24.9283342475,109.407689201,496.104627277,33.439220083,1133.91186678,80.688345645,1020.09765353,318.276913999,54.10131993,268.768893568,67.0511039519
