Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
S10001	0.228509686390999	0.0111924636030969	0.661020834975306	0	0	0	0.0992770150305985	0	0	9999	0.278367002733125	1.10848193820503
S10006	0.182061338217484	0	0.6699545926943	0.0476988598936897	0	0	0.100285209194527	0	0	9999	0.264256058741828	1.13434563547022
S1001	0.155014449293004	0	0.690209978461394	0.0546301751272697	0	0	0.100145397118332	0	0	9999	0.289131112081637	1.12275065472377
S10010	0.19157167047971	0.00405783313083249	0.682518615022605	0.0311495830004689	0	0	0.0907022983663832	0	0	9999	0.283680612319528	1.11517969357812
S10011	0.179992266085668	0	0.676657712033409	0.074215007413391	0	0	0.0691350144675325	0	0	9999	0.309357510718485	1.09960505754047
S10014	0.125246267322803	0.0120426232705885	0.71326991982844	0	0	0	0.139810637985064	0	0.0096305515931056	9999	0.294053131502477	1.12650615810998
S10026	0.170347434369244	0	0.730421500983906	0.0123615589393585	0	0	0.0868695057074918	0	0	9999	0.269744281103687	1.13010534131886
S10032	0.160437468628473	0.0271724979081053	0.743056995377455	0	0	0	0.0693330380859669	0	0	9999	0.286813947186037	1.11635908118503
S10036	0.197703364041512	0	0.668983766814482	0	0	0	0.133312869144006	0	0	9999	0.289524887327534	1.1107814325256
S10042	0.149399006211462	0.00453117168472265	0.712201903490084	0.0253724170373311	0	0	0.1084955015764	0	0	9999	0.307682191596263	1.10827544477603
S10044	0.130294846043535	0.00695912537316129	0.772459536810643	0.0226522796469479	0	0	0.0676342121257129	0	0	9999	0.274470486148192	1.13623203968547
S10049	0.0884085708108332	0.0266432045552521	0.812039581691489	0	0	0	0.0729086429424256	0	0	9999	0.273206321192406	1.14678134190705
S10057	0.15779690845226	0.00880387825063814	0.66746933014984	0.0446604668612662	0	0	0.121269416285996	0	0	9999	0.322469964482579	1.09631489925794
S10062	0.164598473799528	0.0453092804675549	0.721667618205627	0	0	0	0.0684246275272897	0	0	9999	0.297041823583046	1.10648819374863
S10066	0.188565903916263	0	0.713996115001343	0.0010601974417742	0	0	0.0963777836406196	0	0	9999	0.286650381191319	1.11247101272589
S10067	0.0850424019056552	0.0286836515354275	0.778695375603481	0	0	0	0.107578570955436	0	0	9999	0.300585265845727	1.12846653809835
S1007	0.189444450637134	0.000259628979846046	0.667280102271508	0.0423896308794036	0	0	0.100626187232109	0	0	9999	0.289300611112718	1.1129744234214
S10073	0.125111621894018	0.0184358435492138	0.75676893968183	0	0	0	0.0996835948749379	0	0	9999	0.307524592582737	1.11193318222605
S10077	0.220292333940627	0.0109102401126664	0.666963232474084	0	0	0	0.101834193472622	0	0	9999	0.302759859924512	1.09216778405268
S10080	0.212215600858542	0.0092209873246495	0.640626960375856	0.0247466647431103	0	0	0.113189786697842	0	0	9999	0.312186866606315	1.08916550364821
S10082	0.117002426631296	0.0297200777789824	0.763659440793219	0.00264203906543979	0	0	0.086976015731063	0	0	9999	0.307879753772036	1.11251016823761
S10087	0.106019191804312	0.0646481774181622	0.756989040663781	0	0	0	0.0723435901137447	0	0	9999	0.28336085173237	1.1319651074045
S10089	0.177126896297571	0.018941939941494	0.699719218992073	0	0	0	0.104211944768863	0	0	9999	0.321403964311669	1.08796143094625
S1009	0.123102454297135	0.0645113605525171	0.684199483586137	0.0322093685487439	0	0	0.0959773330154665	0	0	9999	0.335091489169201	1.08992489591773
S10090	0.172230102474294	0.0158299595961825	0.717190850391307	0	0	0	0.0947490875382168	0	0	9999	0.280751530617072	1.12023433897627
S10093	0.208978695633459	0	0.689341843793061	0.00115800388246446	0	0	0.100521456691015	0	0	9999	0.290965708841341	1.10438012400989
S10094	0.140775624647353	0.0210242217789391	0.733823568809348	0.0176258794205823	0	0	0.0867507053437779	0	0	9999	0.276638345262047	1.13194828777601
S1010	0.187392733438985	0.0458314349555384	0.659741867381679	0.00406106663598419	0	0	0.100257623611624	0	0.0027152739761894	9999	0.307853744091539	1.09494721342166
