Symbol,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
A,11.9309621088,11.2486400761,9.84374028912,9.54367917533,8.81408759954,10.3093628253
B,11.9121515132,11.2766101306,9.83015969989,9.5203495101,8.8641346348,10.26282462
C,12.0327179973,11.3727059333,9.84131150351,9.30462594302,8.67557450292,9.3512019541
D,12.0330334403,11.3891781326,9.86728445219,9.35179295503,8.69458492011,9.36322232015
E,11.9903489035,11.3105444285,9.99731512977,9.36714591343,8.80643317947,9.62380686702
F,11.7649832868,11.1645857253,10.0113836897,9.48022937822,8.79967311015,9.89784094387
G,11.7632269562,11.1169310183,9.72196642151,9.64461093245,8.96237439724,10.5523339154
H,11.7785063294,11.0233065669,9.63078700905,9.57294766548,9.00112280497,10.7373750604
I,11.7925743081,11.0291510119,9.64636773819,9.5635506222,8.97541200482,10.7866814291
J,12.0291949582,11.3837895202,9.72533643334,9.28431045397,8.64700623679,9.09552818032
K,12.0270290616,11.2896349087,9.93284188097,9.29755463141,8.6184940705,9.14222505875
L,12.0063177234,11.436327999,9.79721759637,9.39819148998,8.8057311438,9.35658780117
