naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
mix_1	0	0	0.4634	0.1048	0.1343	0	0	0.0896	0.2079
mix_2	0	0	0.5848	0.1131	0.1216	0	0	0.1067	0.0739
mix_3	0.1096	0	0	0.0487	0.031	0	0	0.4425	0.3682
mix_4	0.1675	0	0.1971	0.0574	0.0848	0	0	0.251	0.2422
mix_5	0.1054	0	0.1744	0.0595	0.0982	0	0	0.1207	0.4418
mix_6	0.0771	0	0.3202	0.0847	0.1073	0	0	0.1422	0.2684
mix_7	0.2226	0	0.0747	0.0762	0.091	0	0	0.2836	0.2519
mix_8	0.1777	0	0.3867	0.1095	0.0571	0	0	0.2687	3e-04
mix_9	0.016	0	0.3371	0.0655	0.1358	0	0	0.1855	0.26
mix_10	0.2542	0	0.1654	0.0747	0.0168	0	0	0.1973	0.2918
mix_11	0.0239	0	0.5425	0.0921	0.0933	0	0	0.1671	0.081
mix_12	0	0	0.4496	0.0782	0.0836	0	0	0.1874	0.2014
mix_13	0.29	0	0.0741	0.0861	0.0912	0	0	0.1415	0.3172
mix_14	0.2736	0	0.1759	0.0629	0.0439	0	0	0.1595	0.2842
mix_15	0.2415	0	0	0.0552	0.1457	0.0426	0	0.0241	0.4909
mix_16	0.1248	0	0.1348	0.0673	0.0476	0	0	0.3292	0.2963
mix_17	0.3656	0	0	0.0092	0	0	0	0.1953	0.43
mix_18	0.0265	0	0.6134	0.1044	0.1236	0	0	0.1322	0
mix_19	0.1531	0	0.3186	0.0814	0.0734	0	0	0.1061	0.2674
mix_20	0.058	0	0	0	0.039	0	0	0.1992	0.7039
mix_21	0.189	0	0.1301	0.0488	0.0197	0	0	0.2201	0.3923
mix_22	0.1967	0	0.2468	0.0916	0.1352	0	0	0.0601	0.2695
mix_23	0.1988	0	0.285	0.071	0.0667	0	0	0.2843	0.0941
mix_24	0	0	0.6352	0.1172	0.1779	0	0	0.0696	0
mix_25	0	0	0.3252	0.0698	0.0517	0	0	0.3422	0.2111
mix_26	0	0	0	0	0.1457	0	0	0.2493	0.605
mix_27	0.2248	0	0.4677	0.138	0.1534	0	0	0.0161	0
mix_28	0.132	0	0	0	0.0416	0	0	0.2813	0.545
mix_29	0.0686	0	0.2826	0.0886	0.103	0	0	0.2028	0.2544
mix_30	0.1122	0	0.2746	0.0759	0.0834	0	0	0.2175	0.2364
mix_31	0.0742	0	0.3001	0.0853	0.0492	0	0	0.3105	0.1805
mix_32	0.103	0	0.1938	0.0574	0.0886	0	0	0.2426	0.3145
mix_33	0.1156	0	0.3223	0.085	0.0978	0	0	0.2736	0.1056
mix_34	0	0	0.5134	0.0863	0.1411	0	0	0.1704	0.0888
mix_35	0.0538	0	0.3791	0.0744	0.1027	0	0	0.0683	0.3217
mix_36	0.2364	0	0.0654	0.0786	0.0421	0	0	0.4245	0.153
mix_37	0.2074	0	0.1326	0.0905	0.0018	0	0	0.409	0.1587
mix_38	0.0538	0	0	0	0.0922	0	0	0.3783	0.4757
