Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
A	5.93932494688764e-13	8.84300246297162e-89	5.65142917643797e-26	1.26641905897306e-232	3.81350241964855e-28	0.999999999999406
B	5.7419815030272e-13	8.63489549312096e-89	5.48983421742241e-26	1.24335496602195e-232	3.78465483115146e-28	0.999999999999426
C	3.22510942354172e-13	3.48011541311338e-89	4.52857200313916e-26	6.42860757065802e-233	4.58962467029426e-28	0.999999999999677
D	3.25563226250254e-13	3.49279364640635e-89	4.488862618476e-26	6.31608867840378e-233	4.53959462462615e-28	0.999999999999674
E	2.95541401984144e-13	3.67893648746094e-89	4.39802695812783e-26	6.48069994190427e-233	3.16330333308233e-28	0.999999999999704
F	4.41907743312701e-13	6.70541286227746e-89	8.41581216953934e-26	1.14805422357256e-232	2.80386601613929e-28	0.999999999999558
G	7.10688228882813e-13	1.31820168278391e-88	5.99731945672231e-26	2.67532113924771e-232	3.54769663554254e-28	0.999999999999289
H	6.9454912135808e-13	1.87906736845157e-88	6.11608705510304e-26	2.08984004809636e-232	3.66159737235986e-28	0.999999999999305
I	6.98992823419187e-13	1.89974069114349e-88	6.16005693603439e-26	2.10336620883167e-232	3.54892185339866e-28	0.999999999999301
J	3.16776755138782e-13	2.71719551094317e-89	4.2802829610339e-26	5.16089365125618e-233	4.7829445779592e-28	0.999999999999683
K	2.4543224847926e-13	1.9691565398976e-89	3.89227016914307e-26	4.09907195432682e-233	3.14971724054087e-28	0.999999999999755
L	2.97640365182141e-13	3.36067960071665e-89	4.32529132529056e-26	5.93131785992677e-233	4.59483368150308e-28	0.999999999999702
