Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
A	0.0683084508878648	0	0.00636521279028156	0.281858636928112	0.0527583704777628	0	0.0365002763493759	0.00505985762435236	0	0	0.13527146145634	0.0497843805685755	0.320046174018686	0	0	0.0188160898584035	0	0.0016414646443272	0.00340381888055704	0	0	0.0201858055153618	0	0.703715185173689	0.726536291826822
B	0.0854272435238165	0	0	0.267603959426139	0.0343706959721614	0	0.0160064493507017	0.00579791273224488	0.025125163651186	0	0.139049434534827	0.0746655122536531	0.307752711646511	0	0	0.0341196398329851	0	0.0100812770757753	0	0	0	0	0	0.699893202321903	0.727957170414257
C	0.0150929289463634	0.00247135752748068	0.00947311755791094	0.276572373575962	0.137535381718426	0.25838756702533	0.046800650525989	0.00692621978238423	0.0618044852097236	0.0351403994547128	0.0741059652822585	0.0114190091467077	0.0532501734864858	0	0	0.00834376450847848	0	0	0.00267660625178701	0	0	0	0	0.754698216746697	0.667568152306969
D	0.0209376343973708	0	0.0083066461384692	0.316547251540889	0.154867603540661	0.209364994730961	0.0452159263072613	0	0.0764217840774981	0.0256880616825357	0.0764025443065711	0.00407291341985982	0.0589865407434907	0	0	0.0023663952491185	0	0	0.000821703865313955	0	0	0	0	0.768735418058047	0.65324131211461
E	0.0105111727396641	0	0.00297343138617398	0.526638497640086	0.0704621352807061	0	0.0284037717452774	0.00252889180137813	0	0.0831139770334434	0.0987834594761269	0.0716715997898485	0.0935790712646158	0.000278297295690952	0	0	0	0	0.000876985933926085	0	0	0.0101787086130629	0	0.786874394497893	0.621240697198317
F	0.0234470407190329	0	0	0.162422750373291	0	0.010631871794288	0.0175486371582732	0.00288556783482255	0.00500340906958772	0.00367113282950717	0.572225755667208	0.00839831038905697	0.129981036919556	0.00208162899514984	0	0.0187331968929894	0	0.00157455970098248	0.041395101656255	0	0	0	0	0.803785099237812	0.595216339508379
G	0.0588934408547518	0.0239953996130985	0	0.0895652314902336	0.0341508923717545	0.0209595739445261	0.0103849446880329	0	0.00417203409584055	0	0.12301946826691	0	0.422418875739125	0.0194692384381131	0	0.0239110374355109	0	0	0.0102198282226045	0	0	0.158840034839499	0	0.669935744419768	0.74736484874717
H	0.0426340878980678	0.011758965451449	0	0.0679530324936508	0.0102003724151088	0.046960317628757	0	0	0.00127021892775702	0	0.0155635606422734	0.0162789326323278	0.749059969475928	0	0.00211800803625821	0.0355484288616908	0	0	6.31605515317516e-05	0	0.000590944985200156	0	0	0.637273307324455	0.771360153696878
I	0.0488439576817338	0	0	0.0557737319210447	0.00203020336640049	0.0566701598892626	0.0018298928517966	0.000971016773251905	0	0	0.0380215212070536	0	0.739322635860888	0	0.00341349545473766	0.0531233849938312	0	0	0	0	0	0	0	0.687586241208994	0.725972461414146
J	0.011922050782762	0.0117401786665494	0.0101409319086265	0.0326049934627318	0.227667257610067	0.522879534888765	0	0.00174837821896182	0.0912542703932855	0	0.0532975029293315	0.0163488119061045	0	0	0	0	0	0	0.0108192331531205	0	0.0095768560796935	0	0	0.745522029808944	0.672483742320745
K	0.00458238688098763	0.00303065315606929	0.00931707987826226	0.754881509524216	0.0311188704781996	0	0.0479939625160799	0	9.66081996035922e-05	0	0.104224708098816	0.0317304658562074	0	0.00081054588791809	0	0	0	0	0.0122132095236405	0	0	0	0	0.794583639842518	0.607154149284667
L	0	0.000743790388023627	0	0.0240346077054205	0.0868587395519301	0.534497128730251	0	0.000578322234262224	0.104523386624492	0	0.18851521694403	0	0.0449246662531104	0	0	0	0	0	0.00413233670550964	0.0100804183619639	0.00111138650100679	0	0	0.738073095717817	0.68211803050071
