Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Mix_1	0.0355375689837713	0.0814255046147533	0.00325591987976999	0.295975481593165	0	0.107846715492264	0	0	0	0.00226519388958552	0.205579670620775	0.0528105495604066	0.157196598288519	0	0	0.056910033947783	0.000898020121286953	0.000298743007920459	0	0	0	0	0	0.568313069173451	0.829880864369977
Mix_2	0.0407713443858855	0.125793918971587	0.0295512512086713	0.253722943703958	0	0.0894130111697329	0	0.00946763577079258	0.0702937824225288	0	0.0555799023404819	0.131692227260706	0.086645661984057	0	0	0.0194983187559646	0.00978780208961409	0.0272051158550666	0.0505770840809529	0	0	0	0	0.599865047202425	0.800102022224277
Mix_3	0.00228236414360782	0.0610232809180772	0.0147787549459394	0.492474525849352	0	0.0111021952372883	0	0.0150760192003789	0.0165145693608473	0	0.0611227891630671	0.158534172127328	0.0764905556959766	0	0	0.0179642421761877	0.00763815600700034	0.0157440056674742	0.0492543695074752	0	0	0	0	0.576274574057713	0.835310928871403
Mix_4	0.023273659554207	0.0667341372335486	0.00324543853637076	0.435354100106072	0	0.047336048656724	0	0.0171934555183582	0.0361688846725165	0	0.0832623157778458	0.148337407968585	0.0553343030239973	0	0	0.0185900556835058	0.00614969167169819	0.0213887635418833	0.0373004339196767	0	0.000331304135010918	0	0	0.59336127482431	0.819925326894971
Mix_5	0.0155493479969464	0.318744088444261	0	0.288766391637237	0	0.0798193453776402	0	0	0	0	0.180695008914368	0.0740642980201676	0.0278213262771006	0.00308729339361862	0	0.0101510619792472	0.00130183795941285	0	0	0	0	0	0	0.602719740937262	0.805373598176661
Mix_6	0.0177882540278858	0.143700543348357	0.0133535885073419	0.339999098066438	0	0.0515384406359102	0	0	0	0	0.0763746358876862	0.120282318371349	0.146910489391115	0	0	0.0440340905071777	0.0121616270127938	0.0124557251158608	0.0214011891280857	0	0	0	0	0.564973562235564	0.827791068288671
Mix_7	0.0272522120664038	0.0806062721256934	0.00866423127981188	0.488578555603239	0	0.00575169183549626	0	0.0225018180140269	0.0711105320909928	0	0	0.156558101601585	0.0633844529846212	0	0	0.0044740680020684	0.00285808528321773	0.0170853775762399	0.0511746015366032	0	0	0	0	0.625705838152574	0.785954254936211
Mix_8	0	0.25012910287565	0.00459340872907994	0.307708849237549	0	0.122885295054926	0	0	0.0549640558780261	0	0	0.0730159838814563	0.147457617474494	0	0	0.0237911545595815	0.00164171558569045	0.00923262594857803	0.00458019077496827	0	0	0	0	0.61896125634519	0.786295248969599
Mix_9	0.0436013167601865	0.10778119000751	0.022938153548801	0.323583853214758	0	0.0628958150475394	0	0.0143990519793437	0.0555801110402961	0	0.070394402556709	0.131442130034606	0.0725817250057303	0	0	0.0220849794580961	0.00905902977561182	0.016168772896674	0.0474894686741385	0	0	0	0	0.599537907964977	0.802114903902402
Mix_10	0	0.23682746266544	0.0120411015275262	0.384837369827545	0	0.0258427213783485	0	0	0.0127223420668287	0	0.0754910116207381	0.0905887107799106	0.0937992525941727	0	0	0.0296937313082908	0.0102924276911281	0.00916645283729408	0.018697415702777	0	0	0	0	0.596097363070176	0.80427117589217
Mix_11	0.0358085616123507	0.100272581355013	0.0102472956600082	0.329267078862736	0	0.060872142118897	0	0.0235295638262605	0.0833409819709823	0	0.0660075637021381	0.131480275945491	0.0689140735549381	0	0	0.0158637548859806	0.00771887970507812	0.00770007447588146	0.0589771723242441	0	0	0	0	0.61082946297009	0.793680834648319
Mix_12	0	0.0625467014647913	0.00385575229790204	0.331490933846587	0	0.0873406685343739	0	0.0219868159744695	0.0178206474752497	0	0.0533973374752585	0.166141268214775	0.139650542784322	0	0	0.0289085993923217	0	0.0149221850291296	0.0719385475108202	0	0	0	0	0.574441591897221	0.823980260947692
Mix_13	0.00335632062463937	0.287838404010044	0.00406544892861952	0.359298206510279	0	0.0601942022426021	0	0.000448174453595426	0.0167202951149371	0	0.0750171167315579	0.0937991069715349	0.0579962765241195	0	0	0.00726628805687111	0.0113860236572689	0	0.0226141361739315	0	0	0	0	0.621122005558652	0.785177878416329
Mix_14	0.00322694767534017	0.0620285519437473	0	0.523016947150417	0	0	0	0.0257160835819705	0.0491047897736258	0	0.070400204744128	0.148685888349157	0.0408177502164306	0	0	0.0077904263553586	0.00778056757540911	0.0153470794060995	0.0460847632283167	0	0	0	0	0.598830064657555	0.822926582620469
Mix_15	0.0340752565512297	0.0668404117841287	0.000652540767082076	0.438625082119991	0	0.0263316693097763	0.0124106368907874	0.0327882962596562	0.0717082009500749	0	0	0.145484683142348	0.0697669526775427	0	0	0.025271663954495	0.00674213629495054	0.00818614123310009	0.0611163280648375	0	0	0	0	0.629766868284388	0.7787960227948
