Gene,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
Mix_1,1842.37866867,33.9654060002,130.5152175,508.223112,44.81546625,213.070023751,492.708050023,24.7402340002
Mix_2,2188.31066158,60.295113758,186.323724078,569.89522814,28.55150975,125.644376754,444.371047492,27.3810751896
Mix_3,2008.35299051,30.0712935894,125.473531358,819.54863514,31.7654509775,118.458660933,452.951800962,33.4596083612
Mix_4,2064.60665457,34.415338933,176.109742173,809.83594416,25.0385034175,96.2049879658,451.029148908,34.6842087662
Mix_5,2412.62236958,85.084644696,86.4351946007,404.354644726,21.271161175,64.3199397306,363.297927279,24.51248097
Mix_6,2043.19674691,47.727905363,49.131667274,404.28343366,51.04588808,234.811085152,476.57008292,24.5020262792
Mix_7,2298.76801193,42.2602760758,208.018449382,985.95372942,20.5929311425,86.9603668392,443.693105786,30.9789311992
Mix_8,2376.74327295,59.5709797254,222.561284442,811.17929834,33.95002644,161.941626108,484.65548854,23.7197518052
Mix_9,2211.44218515,52.950414608,152.821550038,659.5237506,25.816792465,113.316659542,438.943227597,29.9405485764
Mix_10,2323.52072469,66.820913982,65.040230191,554.12465254,30.3319867,157.432065296,425.65384984,24.6277623358
Mix_11,2198.22547409,51.186818386,251.79451092,760.0270627,25.6474037225,98.4050384956,455.113928932,31.5328079458
Mix_12,1821.34858656,20.1156963574,150.468601729,704.2888452,48.7925373,182.897179681,496.772554211,34.0051057474
Mix_13,2490.17737885,75.091455168,119.665885287,679.91575872,27.3585574175,92.4185415315,407.091380081,29.00451941
Mix_14,2089.6473707,24.7403188328,189.190673422,987.42978392,23.8762268125,76.8587110851,446.700201083,35.2913371584
Mix_15,2226.32686965,31.6262503242,270.098921245,1007.40686528,24.9283342475,109.407689201,496.104627277,33.439220083
Mix_16,2381.15605041,54.0820918202,195.922392803,872.57449058,32.5494071125,132.623185215,465.220051672,27.5418060156
Mix_17,2333.70263005,34.8538439688,230.854044208,1025.56984374,27.0884797625,100.001637799,475.051672823,31.9644061206
Mix_18,2252.67339333,34.0353556716,336.182557225,1052.76026612,25.025996815,121.167534576,524.062911044,27.695436475
Mix_19,1946.02623191,33.0758561144,86.0162350088,664.55858038,45.621870505,194.486984463,469.947508692,30.224489209
