B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_1	0	0	1	2.20282192200286e-70	0	0	0	3.46891806274569e-29	0	0
mix_2	0	0	0.0546083170992174	3.31163290048838e-44	0	0	0	0.945391682900783	0	0
mix_3	0	0	1	0	0	0	0	6.8377513444737e-18	0	0
mix_4	0	0	1.42429106354502e-47	4.90816749984353e-65	0	0	0	1	0	0
mix_5	0	0	0.999999949666644	1.33044672469468e-41	0	0	0	5.03333564213304e-08	0	0
mix_6	0	0	1.0901947224475e-56	4.97719217677882e-59	0	0	0	1	0	0
mix_7	0	0	0.999981282007694	1.89373231264511e-49	0	0	0	1.87179923059398e-05	0	0
mix_8	0	0	0.999999999976656	2.77144856321018e-59	0	0	0	2.33439148098608e-11	0	0
mix_9	0	0	4.50723963619568e-64	1.66337186533854e-51	0	0	0	1	0	0
mix_10	0	0	1	1.56092876614201e-83	0	0	0	4.05401664245522e-17	0	0
mix_11	0	0	0.999999999998031	3.21722845693645e-45	0	0	0	1.96910539580324e-12	0	0
mix_12	0	0	2.06047179985461e-23	0	0	0	0	1	0	0
mix_13	0	0	5.38463934463417e-52	0	0	0	0	1	0	0
mix_14	0	0	2.68235610784492e-27	1.28608572906027e-71	0	0	0	1	0	0
mix_15	0	0	1.17687435730849e-29	9.42656182622645e-59	0	0	0	1	0	0
mix_16	0	0	1.00009245661596e-13	1.23827715560675e-31	0	0	0	0.9999999999999	0	0
mix_17	0	0	3.24005979573207e-29	3.07917785227353e-50	0	0	0	1	0	0
mix_18	0	0	3.47276406281095e-28	0	0	0	0	1	0	0
mix_19	0	0	5.39771486980706e-06	0	0	0	0	0.99999460228513	0	0
mix_20	0	0	6.55249829096095e-63	7.73282466631913e-43	0	0	0	1	0	0
mix_21	0	0	1.04552902609164e-60	0	0	0	0	1	0	0
mix_22	0	0	1	1.41332370856965e-83	0	0	0	2.237947214358e-32	0	0
mix_23	0	0	1.09676656115006e-25	4.12338726208205e-54	0	0	0	1	0	0
mix_24	0	0	3.30259739913025e-48	2.66527522323625e-73	0	0	0	1	0	0
mix_25	0	0	9.35214207722319e-61	1.23667306592265e-52	0	0	0	1	0	0
mix_26	0	0	1.01775044136022e-30	0	0	0	0	1	0	0
mix_27	0	0	1.03483506420297e-13	8.95249323177311e-28	0	0	0	0.999999999999897	0	0
mix_28	0	0	9.11705843020116e-45	8.11388335710856e-54	0	0	0	1	0	0
mix_29	0	0	1	6.15214924871803e-59	0	0	0	4.71802955303981e-25	0	0
mix_30	0	0	1.36750135282538e-49	1.50345469576943e-66	0	0	0	1	0	0
mix_31	0	0	4.75236788981645e-18	0	0	0	0	1	0	0
mix_32	0	0	0.999999999999962	5.78538992206416e-81	0	0	0	3.81407846876018e-14	0	0
mix_33	0	0	6.99702229643661e-32	0	0	0	0	1	0	0
mix_34	0	0	1	0	0	0	0	1.58546392767943e-31	0	0
mix_35	0	0	4.7077899920378e-11	0	0	0	0	0.999999999952922	0	0
mix_36	0	0	0.999999837046647	2.91854835139513e-78	0	0	0	1.62953353023592e-07	0	0
mix_37	0	0	2.45597506598948e-29	0	0	0	0	1	0	0
mix_38	0	0	0.999961307517803	2.0106458220187e-47	0	0	0	3.86924821969678e-05	0	0
mix_39	0	0	5.51736602028885e-26	4.12305912138227e-55	0	0	0	1	0	0
mix_40	0	0	1	5.7010984822048e-94	0	0	0	1.5578936558843e-22	0	0
mix_41	0	0	1.04710340814408e-12	0	0	0	0	0.999999999998953	0	0
mix_42	0	0	1.40646972310008e-42	4.3519107706248e-85	0	0	0	1	0	0
