Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
mix_1,367.565483871,158.830833333,1835.59538462,323.225714286,933.020652174,652.002954545,233.794,598.663125,55.2008333333,409.655
mix_2,296.854032258,161.96125,2108.59923077,181.36,457.820217391,739.326136364,193.507,519.1196875,39.4933333333,382.08875
mix_3,854.214193548,172.575416667,621.836538462,291.877619048,742.258913043,342.426136364,538.44575,1063.66125,78.0066666667,736.63
mix_4,895.082258065,231.55625,1122.36576923,278.767619048,750.885652174,474.399886364,371.357,798.291875,59.9666666667,595.238125
mix_5,735.230645161,180.633333333,939.875,407.784285714,1183.50521739,419.299772727,396.124,807.905,63.7716666667,797.274375
mix_6,628.905806452,196.141666667,1436.10576923,258.898095238,673.860434783,555.434431818,327.348,707.8475,50.3525,638.670625
mix_7,1115.81774194,259.277083333,744.143076923,338.969761905,982.029347826,390.070454545,400.0695,821.2765625,66.065,618.958125
mix_8,901.359516129,278.772916667,1658.54307692,88.4376190476,146.853043478,626.38625,259.995,617.2853125,40.4683333333,353.636875
mix_9,444.375967742,148.465833333,1437.6,368.812857143,1080.98065217,557.404431818,316.40425,704.863125,70.4533333333,515.498125
mix_10,1228.4,314.515833333,973.016538462,112.345952381,209.699565217,449.835454545,376.9275,768.9296875,46.29,717.261875
mix_11,383.602096774,173.395416667,1984.60346154,183.271666667,494.43173913,727.856818182,209.7655,576.8659375,36.1116666667,288.9775
mix_12,317.207741935,140.150833333,1736.135,194.180952381,463.594347826,643.891022727,298.0305,671.3921875,54.3175,585.916875
mix_13,1354.07354839,321.51875,779.359615385,368.811190476,1086.95086957,393.112159091,318.51675,705.89,60.0041666667,504.0325
mix_14,1334.38225806,331.908333333,937.069230769,152.249285714,351.402826087,423.100681818,368.18825,729.864375,45.2975,772.790625
mix_15,1179.52177419,253.328333333,518.877307692,630.273571429,2028.9973913,307.590113636,358.06525,765.7428125,85.6516666667,747.71125
mix_16,843.654032258,203.941666667,957.53,241.243809524,582.927391304,429.840340909,449.191,908.679375,63.4841666667,675.756875
mix_17,1894.15274194,391.3325,126.412307692,178.553809524,407.532608696,234.044204545,499.5305,897.845625,60.6958333333,948.9525
mix_18,355.13,187.7575,2154.46730769,121.301428571,272.70673913,757.779659091,171.08925,476.81375,37.1775,321.036875
mix_19,821.140806452,241.405416667,1390.595,213.943571429,580.571521739,550.318977273,306.11475,662.0471875,50.2308333333,616.133125
mix_20,683.692580645,103.579583333,168.379230769,425.108095238,1176.91456522,220.265454545,647.50625,1139.751875,89.8766666667,1435.0575
mix_21,1009.99903226,243.567083333,871.086538462,218.560238095,542.25826087,403.705,439.232,856.415625,55.1291666667,906.515625
mix_22,950.290806452,258.8525,1267.4,366.631428571,1085.52826087,505.172272727,271.05,624.3296875,56.6666666667,530.73
mix_23,1002.51564516,285.8675,1340.07807692,138.08452381,284.411956522,543.958409091,310.746,687.0471875,41.7991666667,467.119375
mix_24,265.087580645,169.001666667,2361.20730769,213.518095238,570.46173913,786.080681818,134.94675,440.7053125,42.79,243.04
mix_25,440.531774194,137.494583333,1445.89884615,136.500714286,244.992826087,566.063295455,412.3725,834.1196875,51.4141666667,692.67625
mix_26,546.991612903,69.3379166667,203.807307692,722.147380952,2257.18565217,232.926477273,589.9155,1130.453125,113.0925,892.350625
mix_27,928.493548387,307.74375,1832.55653846,287.875,852.11173913,669.040113636,112.367,414.653125,42.4616666667,162.77375
mix_28,923.058548387,157.212916667,192.200769231,401.052619048,1148.05108696,238.374659091,612.555,1090.5065625,88.2883333333,1121.54625
mix_29,617.121290323,177.219583333,1366.62653846,310.322142857,878.829130435,532.665,343.26125,733.7503125,59.7483333333,552.603125
mix_30,721.755322581,206.706666667,1311.66423077,264.792619048,696.344565217,530.650454545,338.764,723.70375,53.7425,594.73
mix_31,589.919193548,181.068333333,1424.52807692,208.884285714,470.25673913,564.685,356.8145,796.4565625,59.415,478.926875
mix_32,749.467741935,190.14625,1073.86384615,285.366666667,775.128478261,467.9225,409.669,853.378125,58.815,680.950625
mix_33,733.813709677,224.970416667,1484.32461538,228.059761905,602.073043478,588.704318182,293.7625,676.3178125,54.9233333333,376.87
mix_34,319.844032258,152.071666667,1952.12,244.510714286,659.159782609,688.942613636,233.76025,584.560625,47.3575,382.7725
mix_35,536.877096774,177.407916667,1609.47461538,260.181666667,731.220434783,585.361704545,302.1645,659.76125,52.0308333333,666.673125
mix_36,1162.11354839,273.707916667,788.289230769,228.027619048,541.797173913,404.010681818,429.91025,904.820625,62.3591666667,460.43875
mix_37,1083.84322581,274.1325,957.045384615,171.312619048,376.392826087,433.886818182,424.128,880.628125,57.5033333333,521.53
mix_38,693.92016129,118.547083333,403.319230769,515.982619048,1478.02130435,293.689772727,573.322,1147.6215625,93.985,734.11
mix_39,1265.96935484,267.784583333,488.344230769,504.299761905,1584.18434783,314.655909091,396.16275,801.2290625,65.08,791.090625
mix_40,756.696935484,229.66125,1491.74923077,174.39452381,395.863478261,575.089431818,317.6165,709.7871875,51.2891666667,337.574375
mix_41,407.887258065,160.262916667,1769.59884615,297.254047619,849.050217391,638.100227273,253.112,608.59625,50.7166666667,517.625
mix_42,1350.06306452,270.810833333,257.201153846,321.828095238,823.275434783,260.145340909,530.40725,994.7521875,73.2225,906.888125
mix_43,394.929354839,98.9425,950.686923077,498.803333333,1462.18,421.724545455,443.90775,909.1521875,86.53,849.996875
mix_44,544.789193548,120.71,831.658846154,427.93452381,1184.415,397.431363636,476.8465,990.77875,81.7975,598.31875
mix_45,364.192419355,114.745416667,1342.99461538,140.44547619,241.778043478,536.2525,466.61175,915.3703125,57.27,720.99875
mix_46,799.917258065,160.05625,545.176923077,407.878809524,1201.72565217,319.098295455,497.442,937.55875,76.0641666667,1159.90125
mix_47,777.628387097,232.094166667,1454.78,152.080714286,323.830434783,574.997386364,322.81525,698.4175,45.5258333333,496.3275
mix_48,867.100483871,302.63,1879.15653846,311.711904762,928.161521739,698.413636364,89.38725,393.1453125,43.88,102.035
mix_49,820.28016129,252.23875,1527.16769231,315.194285714,891.697173913,592.634545455,215.5335,559.159375,54.6283333333,424.034375
mix_50,1085.01532258,229.427916667,571.05,162.342857143,308.91826087,347.96375,545.5965,1028.8403125,62.7408333333,834.655
mix_51,856.250322581,284.021666667,1783.17615385,307.808333333,888.300652174,634.697045455,158.57825,485.6790625,49.6783333333,178.628125
mix_52,1450.87516129,300.988333333,323.471923077,421.023333333,1238.17847826,282.725340909,444.60225,875.9678125,72.7475,621.759375
mix_53,844.905322581,270.405833333,1643.97692308,265.132857143,759.459565217,610.931136364,204.82575,547.8715625,49.8558333333,306.020625
mix_54,1308.38080645,265.645,325.686538462,256.633333333,647.251521739,274.092386364,516.98125,942.0375,61.9175,1261.01625
mix_55,811.298548387,253.050416667,1586.81269231,251.654047619,699.055652174,604.976022727,231.906,592.266875,50.0458333333,354.781875
mix_56,679.318709677,166.6775,1079.75115385,131.453095238,208.315217391,461.916022727,491.9,950.6578125,60.38,769.703125
mix_57,337.255483871,124.69125,1564.05538462,306.827142857,838.574782609,589.703977273,342.67875,760.6828125,62.7083333333,457.36
mix_58,789.085645161,182.290416667,933.928846154,410.825714286,1124.94521739,411.715113636,411.58625,852.1628125,71.9783333333,691.314375
mix_59,329.544193548,136.949166667,1693.16576923,290.661428571,823.22826087,623.977613636,282.09975,643.55375,50.3908333333,651.1925
mix_60,1085.72612903,290.96625,1200.06,109.677380952,211.757173913,500.920568182,355.8295,709.3890625,43.8225,712.86875
mix_61,1125.1533871,205.61625,205.767692308,214.063333333,415.549130435,258.471818182,646.0255,1186.8984375,79.9183333333,831.850625
mix_62,977.865483871,190.174583333,387.137307692,410.169047619,1138.99282609,300.954545455,538.42875,1067.3190625,85.0083333333,625.928125
mix_63,381.052096774,143.859166667,1676.30961538,227.312142857,578.242608696,624.25125,318.3725,712.32375,54.7333333333,519.8625
mix_64,799.399516129,251.066666667,1581.01307692,95.620952381,153.708478261,604.29875,302.99725,672.17875,42.2416666667,388.888125
mix_65,719.663548387,177.199166667,1011.15384615,555.040238095,1680.77869565,437.146818182,334.38325,768.9775,74.76,512.2925
