Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	otherCells
mix_1	0.000191261309078882	0.143899273825983	0.000692874870408389	0.158265592443593	0.29655484808778	0.400396136309017	1.3154140056896e-08
mix_2	0.0046949004726538	0.197113708895064	0.00013128576922865	0.168837015632953	0.602947315432044	0.0262756909676485	8.28304080244438e-08
mix_3	0.113980665855069	0.0425032341669516	2.6067564120044e-07	1.39153960433149e-06	0.423469920152346	0.420044516535454	1.10749340804784e-08
mix_4	0.111498362116255	0.0689323582495885	6.63314387825768e-08	0.0968014880730673	0.490893689428871	0.231855688851305	1.83469494736549e-05
mix_5	0.0374505200335134	0.0713029625467514	0.0185191198246435	0.0771798119441015	0.795545475837418	2.09524455627178e-06	1.45690155522237e-08
mix_6	0.0151738060741973	0.121715077728465	1.30145704703229e-06	0.065062385041882	0.798038447269957	8.97781884026698e-06	4.6096110590876e-09
mix_7	0.145376948891864	0.0507611024394029	0.000173982505129019	0.0747643912496587	0.728734072821888	0.000189461896100034	4.01959575920763e-08
mix_8	0.0816445069695572	0.143584548680028	7.23627320343506e-07	0.0476849669003461	0.727072796185746	1.24141591324791e-05	4.34778704201609e-08
mix_9	0.000434554819761795	0.126435794110905	2.66873343806018e-05	0.0455462706051234	0.398331767756065	0.429224910417477	1.49562880917076e-08
mix_10	0.168530330821774	0.0590909594846672	5.57186191879545e-07	0.0690889383972506	0.703288829309533	1.67065017290188e-07	2.17735566420769e-07
mix_11	0.000464839404165631	0.20597181011032	3.25916202771631e-05	0.100898806080075	0.692170858472159	0.000447342608968627	1.37517040339705e-05
mix_12	0.00295167557812898	0.141756316363147	3.09087100454822e-07	0.1394093405837	0.715765758826818	0.000116599434923386	1.2618275760106e-10
mix_13	0.175338355663959	0.0262996586439717	0.0184424314295236	0.141247296719024	0.384507595001466	0.254164496531082	1.66010974455292e-07
mix_14	0.177264276385275	0.0550989264956464	2.75814842558093e-07	0.0771442877128533	0.68859077555291	0.00190144869182826	9.3466447542187e-09
mix_15	0.173284047761685	0.026587375266491	0.0019184255587458	0.0872467338323798	0.298870028699327	0.41209337359954	1.52818321746803e-08
mix_16	0.0863216547399522	0.0553754402995659	3.89669533031601e-05	0.0895881367033377	0.753609788382825	0.0150660035618144	9.35920129352212e-09
mix_17	0.299042339402247	0.0122754834620376	2.80379315729777e-05	0.000115929008268288	0.362410843041363	0.326121213743245	6.15341126629007e-06
mix_18	0.0179960158659876	0.214333916905436	5.27285237315294e-08	0.132895437044842	0.634768154591508	6.42022868502048e-06	2.63501782505739e-09
mix_19	0.0579732516855453	0.121171473733366	5.30270171736859e-07	0.0551731693833167	0.738143102684262	0.0275384647449205	7.49841765934681e-09
mix_20	0.0773935913806703	0.00799660456660933	0.0919996104543411	0.0596562078978855	0.762952418014512	1.45198614265772e-06	1.15699839019849e-07
mix_21	0.0896855645068091	0.0443147401318498	0.000258032111819009	0.0429319077730091	0.232128993527143	0.590680733264839	2.86845311417566e-08
mix_22	0.134696038356766	0.114015100646422	4.68313671184264e-05	0.00480321202900696	0.348413587387772	0.398012159340433	1.30708724813495e-05
mix_23	0.090276691400939	0.113816256667025	2.19235298814156e-07	1.25418567136742e-07	0.33873466945033	0.457172031527447	6.30039292294091e-09
mix_24	0.100254793552465	0.167406391281443	9.13541072121644e-06	0.258088697870548	0.22139775181094	0.252839414203267	3.81587061609432e-06
mix_25	0.000737912033189123	0.109178631383378	2.70580775227384e-05	0.0251531005265888	0.443216101028321	0.421687175902519	2.10484813497154e-08
mix_26	0.0669915870511987	0.00934336480205603	0.143062807212744	0.0545485218733232	0.723431920744403	0.00262179618451338	2.1317618175444e-09
mix_27	0.122665594592052	0.204534553591523	2.08006062733121e-07	0.100118715522161	0.572678244144715	2.65939627995373e-06	2.47472057493016e-08
mix_28	0.115200078230763	0.0108761637107395	0.0820424639935964	0.0657459436039367	0.725954602803068	0.00018074282717006	4.83072713937742e-09
mix_29	0.00760638703187645	0.12722960367106	4.11486007236287e-06	0.0190572677469511	0.741387594012316	0.104715027957135	4.72058844447548e-09
mix_30	0.034977201512768	0.108058478781861	5.28254254454635e-09	0.0272974205208545	0.385109778950635	0.444557023268395	9.16829436881476e-08
