Mixture	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0.131862519801761	0.0537118941307656	0.905120950449542	0.0680793357488591	0	0	0.164163327494914	0	9999	0.612273846775303	0.789117697354	1.32293802762584
Mix_2	0.219412935915277	0	0.661797403597296	0.0202981178666057	0	0	0.0769760803845924	0	9999	0.662189221143516	0.747687659370749	0.978484537763772
Mix_3	0.10285616940515	0	0.574562974409555	0.106938621332211	0	0	0.155199232268591	0	9999	0.598190559896836	0.801106554086081	0.939556997415507
Mix_4	0.119399872858315	0	0.507020242192136	0.066744909520633	0	0	0.095902345598147	0	9999	0.626065659400899	0.778147395554285	0.789067370169231
Mix_5	0.347695950932684	0	0.350594949140931	0.138825029914471	0	0	0.0425936825024074	0	9999	0.6715465745781	0.742260499176224	0.879709612490494
Mix_6	0.250682519778733	0.0970238508069856	0.622398145511104	0.096593814059373	0	0	0.179469671396397	0	9999	0.628086774545044	0.776629135466511	1.24616800155259
Mix_7	0.128352904288975	0.0203571891387925	0.546638950916863	0.0952019848646322	0	0	0.0438005579532361	0	9999	0.652825215729117	0.75577526535253	0.834351587162499
Mix_8	0.221354749891759	0.00433741432269434	0.701829115775149	0.0613336445088268	0	0	0.114251487667509	0	9999	0.65007548690952	0.758050632106477	1.10310641216594
Mix_9	0.223447596549584	0.00848494528421475	0.594372150268679	0.092594075250431	0	0	0.0815298029442038	0	9999	0.654968854506295	0.753837242687661	1.00042857029711
Mix_10	0.321214289910711	0.0754402413989699	0.496078735082196	0.115758622634831	0	0	0.10765688070805	0	9999	0.652883044973578	0.756419752826545	1.11614876973476
Mix_11	0.163860427870143	0	0.630906675034278	0.0329009604769836	0	0	0.0556845690838621	0	9999	0.651557263253601	0.756908539782994	0.883352632465266
Mix_12	0.108620420919259	0	0.710846539537846	0.0861802151134947	0	0	0.177052703786508	0.0357683692764227	9999	0.620290060051848	0.78261830207312	1.11846824863353
Mix_13	0.316292722199871	0.0256662943013195	0.503395468450251	0.0949304791561664	0	0	0.0723066673217642	0	9999	0.671000910354613	0.739914945897348	1.01259163142937
Mix_14	0.0920848332603991	0	0.466460431253432	0.0999910994059111	0	0	0.0714618860154773	0.0103507163335496	9999	0.626272558232263	0.778125079002862	0.740348966268769
Mix_15	0.12406644192799	0	0.654151588665903	0.0617076226998589	0	0	0.0559925678431207	0	9999	0.642996697954861	0.764201475135742	0.895918221136872
