Mixture	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	P-value	Correlation	RMSE
mix_1	0.121949781126651	0	0.731150715556642	0.0751341865674331	0	0	0.0717653167492737	0	9999	0.533748522339033	0.846039650231555
mix_2	0.0741960049364361	0	0.703162200869517	0.0974318966331227	0	0	0.125209897560924	0	9999	0.492516386892243	0.869669552627097
mix_3	0.244243497050259	0	0.660149187723078	0.0721009356853223	0	0	0.0235063795413408	0	9999	0.604960973355689	0.801426580906023
mix_4	0.309404539777842	0	0.570641258488453	0.0735996197951288	0	0	0.0463545819385754	0	9999	0.585266530978715	0.812356797346656
mix_5	0.305037744894186	0	0.538679574708583	0.12411112704188	0	0	0.0321715533553515	0	9999	0.585292821457038	0.81194543319975
mix_6	0.321332181920009	0	0.528126188863133	0.102570885191366	0	0	0.0479707440254922	0	9999	0.574058767806408	0.819091959251888
mix_7	0.365694035416715	0	0.539559987739493	0.0696210894231609	0	0	0.0251248874206313	0	9999	0.610524145449936	0.794127518121554
mix_8	0.363299398358948	0	0.560168962913715	0.0381989825338521	0	0	0.0383326561934851	0	9999	0.57439714776457	0.818649725246157
mix_9	0.142522008235148	0	0.734598575069086	0.0800214187884267	0	0	0.0428579979073389	0	9999	0.550167773024245	0.836440571330127
mix_10	0.39800636240964	0	0.463733126878993	0.104148860925783	0	0	0.0341116497855834	0	9999	0.600912431093265	0.799538566802015
mix_11	0.157715663541393	0	0.724405657128907	0.0355180643174564	0	0	0.0823606150122431	0	9999	0.532969777338854	0.846486820915944
mix_12	0.0415204258547976	0	0.779760158933191	0.113087916690693	0	0	0.0656314985213185	0	9999	0.496510536467783	0.868062519768205
mix_13	0.450881450329519	0	0.460729799812014	0.0564112536401134	0	0	0.0319774962183534	0	9999	0.61193545500834	0.790837146698744
mix_14	0.428368251456277	0	0.440241040213401	0.113123365719272	0	0	0.0182673426110505	0	9999	0.609687132916504	0.792647726371537
mix_15	0.422555201882637	0	0.413288473061992	0.135213627102119	0	0	0.0289426979532523	0	9999	0.611900565000512	0.790947734896226
mix_16	0.267557498354481	0	0.613481104500212	0.0821227176703277	0	0	0.0368386794749795	0	9999	0.58698224153624	0.812165432945077
mix_17	0.503001808165064	0	0.332672312652357	0.145342205550055	0	0	0.0189836736325231	0	9999	0.653350897026219	0.757176639176064
mix_18	0.201414202264081	0	0.643004769260661	0.0873263351412877	0	0	0.0682546933339699	0	9999	0.525869008094293	0.850223686466312
mix_19	0.341937925095808	0	0.51306702690245	0.108919289584253	0	0	0.0360757584174881	0	9999	0.579923122958793	0.814901152066555
mix_20	0.23110846250766	0	0.472536967500286	0.233912002889396	0	0	0.0624425671026582	0	9999	0.609391946480874	0.795501464797871
mix_21	0.320825988880664	0	0.509411810661891	0.153562058464806	0	0	0.0162001419926387	0	9999	0.595440966905666	0.804558773661659
mix_22	0.413449772743095	0	0.465839428802645	0.0938540018726259	0	0	0.0268567965816338	0	9999	0.584415493269722	0.810903627896623
mix_23	0.355645956893634	0	0.548017218548382	0.0489919330190585	0	0	0.0473448915389254	0	9999	0.590377329558576	0.80810269021535
mix_24	0.0593773087329702	0	0.719055168230142	0.0672248814349463	0	0	0.154342641601941	0	9999	0.477624278825396	0.878269287723529
mix_25	0.124898746210576	0	0.739052338842864	0.0981826378223191	0	0	0.0378662771242411	0	9999	0.549973432816243	0.836484277585877
mix_26	0.15411682492685	0	0.588774771884819	0.232176929137322	0	0	0.0249314740510085	0	9999	0.589661081123103	0.809573838797194
mix_27	0.5608851359868	0	0.275237919556226	0.0374336531298512	0	0.00398236254257146	0.0795347070800091	0.0429262217045415	9999	0.549620822092882	0.837443070006561
mix_28	0.300327492925962	0	0.473224590934276	0.161733803609912	0	0	0.0647141125298501	0	9999	0.612976456652788	0.792959843847029
mix_29	0.291893618488672	0	0.575865358977089	0.0789563643599129	0	0	0.0532846581743263	0	9999	0.577556713132117	0.817585722490378
mix_30	0.323976684596414	0	0.530714585016412	0.0936691889189314	0	0	0.0516395414682421	0	9999	0.583621576501743	0.812863026232379
mix_31	0.25043407889545	0	0.659570348780858	0.046818054626796	0	0	0.0431775176968963	0	9999	0.574398431873854	0.820802264110528
mix_32	0.284988227743982	0	0.583724255715636	0.0935675962793847	0	0	0.0377199202609971	0	9999	0.585681002899344	0.81246301253107
mix_33	0.350916511903549	0	0.562230763995601	0.0339530635141396	0	0	0.0528996605867107	0	9999	0.577522285658717	0.816751195019611
mix_34	0.0632678168742025	0	0.782241663474797	0.0685940254369507	0	0	0.0858964942140496	0	9999	0.502466861923809	0.864325171090322
mix_35	0.254013616682355	0	0.584370300129775	0.122885867252554	0	0	0.0387302159353168	0	9999	0.562144381601758	0.827602809158582
mix_36	0.3823424212528	0	0.573363798157541	0.0149573999385083	0	0	0.0293363806511504	0	9999	0.606407558783951	0.79691592331405
mix_37	0.35911408979411	0	0.579881743428394	0.0341079587408647	0	0	0.0268962080366308	0	9999	0.597062847311548	0.803785405761366
mix_38	0.229480349820369	0	0.617608873656655	0.118529297210456	0	0	0.0343814793125202	0	9999	0.607114990928958	0.799556617161589
mix_39	0.387596423823438	0	0.407513072361119	0.171640514259753	0	0	0.0332499895556895	0	9999	0.617261786379315	0.787533096212988
