B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	otherCells
A	0.110193843112084	0.0120408148453374	0.000789195178694962	0.000114199085031877	0.00148686295688186	0.0210801544273506	5.02003812307665e-06	0.000241866079667806	0.00015932008674093	0.121039444716584	0.273920565791995	4.14545472888829e-05	0.0151354394640791	0.2890698002119	0.048192108792154	6.46869608282696e-05	0.000147154033626978	0.00459391937804375	0.0153804241188149	9.77506841368675e-05	6.89324238836824e-05	0.0861370430667511
B	0.108361192924296	0.02286447824596	2.54492063817537e-06	3.15931908493941e-05	0.00495316904245366	0.0148642938682674	1.93825502649667e-05	0.000694357085809417	3.29353542303824e-05	0.124103779072992	0.278798252995995	5.72640618716691e-05	0.0115343346939187	0.286715518321617	0.0488560452631328	1.10745469010972e-05	0.000103016557276501	0.000790848688497826	0.011278476403723	3.07245623390723e-05	0.000129798271268486	0.0857669193776973
C	0.0845646764849129	0.00935982791593703	5.69787326601953e-05	0.00017403786641022	0.000826307433392506	0.0198218963988715	3.42511818562881e-05	5.52004214241305e-06	1.2155547674709e-05	0.0767062862014792	0.132258613292179	3.05777519992429e-05	0.0169551613093376	0.319517260381025	0.0497940591232388	0.000375124619650368	0.0298425674546448	0.111180670922081	0.0444639614452737	0.00560472737594995	0.000113788862004742	0.0983015496572782
D	0.0841189639705118	0.0077832994225529	0.000205058036219864	0.000290735133885461	0.000967884306989528	0.0147063618134122	2.33925404793571e-05	2.98421635934636e-05	5.81705857578812e-07	0.0672801472045035	0.150676059951547	0.000280322354134053	0.0100894296015256	0.315840851952722	0.048906663287608	0.000790813527161666	0.0312969658164358	0.0983319681244673	0.0605057432360186	0.0102526193182957	0.000352741502231385	0.097269555029848
E	0.0840854077155764	0.0103608569573048	0.000234310809673711	5.24191440470005e-05	0.00231686177191219	0.0226121339570841	1.0999110258857e-05	5.50519902012734e-06	2.14168238621775e-05	0.184389215632307	0.167780166773957	0.00016516629942581	0.0074921785199533	0.322140173516794	0.0444698904292895	0.000536097498051605	0.00486296975997702	0.0492997837619071	0.00505923541629489	0.000631407490671813	3.2919648600371e-05	0.0934408837640311
F	0.0557142687748026	0.00177473980869033	0.000150219097727873	1.36929723332879e-05	0.00908844049607794	0.00650595894962965	5.99885564464964e-06	3.08483443814611e-05	9.83395058357677e-06	0.253755462280916	0.214752848680414	6.78407611603109e-06	0.0116211273319232	0.311218783556226	0.0421979184464981	5.5677276637191e-05	0.000566203960263532	3.15678295199226e-05	3.47937063407087e-05	0.000149201482578378	0.00210763100673122	0.0902079991159639
G	0.0885348027283721	0.0284369701206828	0.000733650524138332	3.25878792936846e-07	0.00574140035686106	0.0233024870259932	8.49996714323621e-05	0.00212079204844684	0.000148808176735958	0.0649036643643736	0.393596131295036	7.55727994252421e-05	0.00702016435130109	0.255799588138874	0.0423936990047837	3.77232204044509e-05	9.77471096259229e-05	0.00043111797627498	0.00854786839046389	2.16406672246372e-05	4.24109268253289e-05	0.0779284352239314
H	0.0892886746565537	0.0472360785093089	0.00830441741113885	5.99046189790984e-05	0.00474837784005689	0.0228403205524308	1.86461373619251e-05	0.00291359765075839	0.021260136522486	0.0419428432592028	0.303008812508873	8.32085048953967e-05	0.00721460954636107	0.294691349150784	0.0497705958625015	5.93014019583136e-06	0.000124511601467449	4.89971224352591e-05	0.0153558698644541	0.00010895708702414	0.000387743744527831	0.0905864177082031
I	0.087827256352709	0.0529539915748624	0.0106152128280661	2.45312637618468e-05	0.00479776687898979	0.0190520944205528	6.69692220906773e-05	0.00634969286312889	0.0153357823594359	0.0392158926694185	0.323085566553008	5.37096513436864e-05	0.00485032267497538	0.28650197267058	0.0449200341906282	6.94169008926091e-06	1.71414549734159e-05	0.000129354431193418	0.0144160024998836	0.000285402825157225	0.000454071123715489	0.0890402898014368
J	0.0928727700994404	0.00160292855595513	3.4760489225726e-06	0.000170533044102029	0.00749695812119394	0.0225674295691336	2.83356479033375e-05	2.14040768551204e-05	5.16646454503689e-05	0.0916318894677476	0.0784295432937055	1.56839828684495e-05	0.00288699903684653	0.341873311661123	0.0402727778422748	0.000506561638075232	0.0604608247451194	0.0630839991087824	0.0349621043637843	0.0589882114341439	0.000611726225588065	0.101460867390984
K	0.0906621686659334	0.00094490750216216	8.25953359426995e-05	0.000125081622467745	0.0033711148541611	0.0349524180023177	3.54646837353758e-05	2.80166467293401e-05	1.54431240523391e-05	0.153491200781626	0.0520973515675293	3.06978184166931e-07	0.0129290593865989	0.350492822684117	0.0321350640635293	0.000607115447799543	0.00327569572692735	0.133007715558251	0.0271520825375269	0.00160413311932204	1.13094953262353e-07	0.102990128616133
L	0.056518328423693	0.0281604253366922	8.5391567835906e-06	0.000195452774525421	0.00274383976431586	0.0300954133639336	0.000110427608228227	9.86175698965477e-06	6.2155553720163e-06	0.0612832156809401	0.134996434995467	4.68296370665666e-05	0.0113460707711313	0.316255115832257	0.0415228281500168	0.000457018824191058	0.0102965247777043	0.0855590973892624	0.0656393903757262	0.0564250784575433	0.000325286402339062	0.0979986049658214
