Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	P-value	Correlation	RMSE
mix_1	0.0305056236151756	0.0306633541361202	0.602918668353151	0.0096091388634591	0.0351638345961014	0	0.00820633676209417	0.0537795672918428	0	0.229153476382056	9999	0.733709105139962	0.699798279484399
mix_2	0.0196626007159786	0.00280795465705804	0.719964875826366	0	0.00048209220304257	0	0.0363420980978603	0.0194051092824776	0.0191532214484814	0.182182047768735	9999	0.758235968806003	0.666395949911733
mix_3	0.202000251218078	0	0.163860061496287	0	0.00234220812611266	0	0.137800240430394	0.203260757097548	0.0289087933371546	0.261827688294425	9999	0.756072981954935	0.684263027157987
mix_4	0.23527099702514	0	0.322353823687959	0	0.015676882669674	0	0.029683386406121	0.105272677860433	0.00549281726253714	0.286249415088136	9999	0.739798989215915	0.707570281808113
mix_5	0.179633245502352	0	0.27805869624564	0	0.0369230731106457	0	0.0364323629444531	0.0978171940376834	0	0.371135428159226	9999	0.715265146066989	0.72115614086472
mix_6	0.153657118649453	0	0.438481206926151	0	0.0218637146598368	0	0.0578749254732825	0.0470395969016986	0.0168027662451159	0.264280671144462	9999	0.73899568058526	0.71022448660418
mix_7	0.29744636725295	0	0.224654054215199	0	0.0279324348177295	0	0.0604445886379428	0.0854368651892989	0.0226047619024894	0.281480927984391	9999	0.74331245539899	0.699195523984282
mix_8	0.272208977379748	0	0.473544422968097	0	0	0	0.11345790498222	0.0261780202182506	0.00472111239917555	0.109889562052508	9999	0.762198020655121	0.684038308216696
mix_9	0.0474490761531297	0.0284306750858867	0.49412467299078	0	0.0561047189297758	0	0.0489421112514899	0.0457972958413858	0	0.279151449747552	9999	0.716637288158784	0.720406335375962
mix_10	0.321558061251495	0	0.276640085050821	0	0.0260238560364419	0	0.153159759224285	0.0276842295754534	0	0.194934008861504	9999	0.750579376617904	0.693803865131184
mix_11	0.0592474889583664	0	0.664374097011599	0	0.0264963256709492	0	0.0508190450387458	0.0618167676935726	0.000626798647914135	0.136619476978853	9999	0.748217894609201	0.682265632037387
