naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
S10001	3.3337241567779e-169	2.84065758092844e-32	4.21689813982936e-103	1.6302892183671e-171	2.7501318945291e-213	1.88356399009015e-30	1.00341387782848e-118	1.42430830695568e-26	0	2.75077746075176e-92	6.42694526372035e-218	1.17936106057506e-124	5.91003297839419e-82	0	7.88490776022693e-239	0	0	5.39497654339639e-159	0	1
S10006	2.78742837800187e-169	1.84590068838986e-32	1.04946501849776e-102	8.65553315054168e-172	2.37940492797093e-213	6.39509170170864e-30	6.13237062125179e-119	1.10616106456949e-26	0	2.61269628950641e-92	8.1417176213245e-218	9.49674792966719e-125	3.8754562894069e-82	0	1.07383012466972e-238	0	0	5.12949460155797e-159	0	1
S1001	2.20386329382993e-169	1.47306892565216e-32	1.94902700273827e-102	9.93639611133434e-172	2.06565713572371e-213	1.37462390334927e-29	7.26138572852601e-119	9.8504495150178e-27	0	3.10876040176025e-92	9.91033060123689e-218	8.76001634025464e-125	4.54873749760146e-82	0	7.18104537277872e-239	0	0	6.72724913304546e-159	0	1
S10010	8.37833070636086e-170	1.70506287039454e-32	2.07391113652756e-102	1.35976869312105e-171	2.26294388651578e-213	5.13749486435997e-30	9.24545865496547e-119	8.52257601367732e-27	0	3.00494675865566e-92	7.42264404394112e-218	1.26707811243513e-124	4.49327132348538e-82	0	1.68747459581757e-238	0	0	6.60068928303253e-159	0	1
S10011	2.2456006750177e-169	1.88673473659065e-32	1.01848218490368e-102	1.07653452813993e-171	2.19720195049406e-213	2.30063435863423e-30	4.94702626197209e-119	1.5152208979602e-26	0	2.64580382567544e-92	6.2121809438995e-218	1.05107974685866e-124	5.16487290188677e-82	0	1.09348425695856e-238	0	0	5.58974842453061e-159	0	1
S10014	2.59356178018349e-169	1.79318574575728e-32	9.41905401925423e-103	1.15396110065311e-171	2.95406344403432e-213	4.30455782096812e-30	7.52997404240555e-119	1.26003295543182e-26	0	2.99330529307827e-92	8.80384158267698e-218	1.53251953711494e-124	5.54837839150389e-82	0	1.00261365165002e-238	0	0	6.10426116188799e-159	0	1
S10026	1.28230080825909e-169	2.10982733581728e-32	4.40686920549382e-102	1.08249567368561e-171	2.43091729563057e-213	6.67591250436922e-30	8.10799327164505e-119	1.13199019899444e-26	0	3.6599892970805e-92	6.62873319297408e-218	1.26304449694018e-124	5.02236256518864e-82	0	1.48902273650069e-238	0	0	7.27081298081564e-159	0	1
S10032	3.82608273107244e-169	2.10257646702728e-32	1.84265682791417e-102	1.27827176637658e-171	3.0070193348648e-213	4.2445110766728e-30	6.9118802607922e-119	9.08334007793311e-27	0	3.45233571461625e-92	1.15567715087574e-217	1.29140256649169e-124	4.14766540053156e-82	0	6.82026223659012e-239	0	0	6.40167759302699e-159	0	1
S10036	1.50423996874258e-169	2.3554862924583e-32	3.0757837577069e-102	7.05798331999452e-172	2.51559698396866e-213	5.84930430754428e-30	4.2820299652228e-119	1.17785460823052e-26	0	2.46201479191647e-92	7.39235061940737e-218	9.1332831532589e-125	5.18831538718031e-82	0	1.85557431711901e-238	0	0	6.3900033481223e-159	0	1
S10042	3.68441286782343e-169	2.23786799150501e-32	3.05750334797973e-102	1.25370210985349e-171	2.53713592204347e-213	8.37602092617645e-30	7.72907031725888e-119	1.35487660739322e-26	0	3.14081600500593e-92	7.82360311521929e-218	1.20581239622225e-124	5.32125367275973e-82	0	3.76485389408557e-239	0	0	6.46126518210101e-159	0	1
