Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
A	8.91839852016491e-65	1.29524404223482e-09	7.13525793182002e-24	3.23110677917224e-78	4.98417328194401e-50	2.75503346432936e-38	1.3395427399372e-41	2.75630617559931e-118	4.57460204521017e-135	2.58188808415909e-67	3.65542982159525e-62	5.62502977246573e-103	4.17922111455511e-165	1.78695414963706e-43	8.96043414598952e-69	2.0705267263784e-129	7.95134517434319e-52	3.2991255156203e-113	1.19751008054561e-111	1.47106781752728e-147	6.31597500307193e-53	7.21569676482762e-83	5.40431472935943e-66	1.76193907059735e-116	2.74131461165178e-98	3.65701628382468e-29	1.10493510010743e-26	0.999999984157148	1.38861674484725e-155	9.41791564186049e-90	1.07268869989547e-81	4.68847880240428e-55	1.45476077078619e-08	2.48007504264434e-34
B	8.72162043299991e-65	1.4588345006487e-09	7.52294783941222e-24	3.42133815959401e-78	5.10535890111292e-50	2.21199720366881e-38	1.39665125723339e-41	3.14820699122018e-118	4.85011116805508e-135	2.74651857054949e-67	4.17619768029439e-62	6.48757829286149e-103	4.37609641056252e-165	2.38206726846754e-43	9.12239728813388e-69	2.24587618124404e-129	8.0203188005514e-52	3.3057802732599e-113	1.28575086790164e-111	1.54333978775979e-147	6.63071899234069e-53	8.61828165857774e-83	6.06213608577292e-66	1.74838823178737e-116	3.14057657931598e-98	3.86268775312551e-29	1.19709220732645e-26	0.999999983273367	1.28021873647043e-155	9.83007668194553e-90	1.10707787461313e-81	4.98729096915983e-55	1.52677987033871e-08	2.67864907436839e-34
C	7.59447398852363e-65	9.78220186385376e-10	4.46485466799663e-24	1.15682324277391e-78	3.56291346496945e-50	1.97987429006594e-38	1.39757372144239e-41	2.49533955579055e-118	4.31625891744124e-135	2.65159534492243e-67	3.52228970162749e-62	3.84103089215208e-103	3.76249887639097e-165	2.05366565816494e-43	9.17929717450523e-69	1.87892017755933e-129	6.49314372614948e-52	2.18575935045886e-113	7.46559304707139e-112	1.33323908509365e-147	6.74222441760103e-53	6.73582233887321e-83	4.41231132519194e-66	1.29925031696058e-116	2.8641028217765e-98	3.84116938477796e-29	9.89214153420437e-27	0.999999977841025	1.14481449914889e-155	6.61323656155454e-90	9.32827253347428e-82	6.38004052835918e-55	2.1180755203281e-08	2.91946942432649e-34
D	6.86769975479247e-65	9.60311570664219e-10	4.35084266714776e-24	1.15231211878565e-78	3.44874063461921e-50	2.06575796989084e-38	1.26378972606957e-41	2.18741203029599e-118	3.82825219202024e-135	2.59524656883988e-67	3.54509958481595e-62	4.06508738596112e-103	3.71878236123761e-165	1.90791222491173e-43	8.98627491127696e-69	1.7693091551055e-129	6.4668997165048e-52	2.06225309614472e-113	7.06149999560126e-112	1.26118444133922e-147	6.61480203839488e-53	6.64482411054815e-83	4.86785073351494e-66	1.06763201907708e-116	2.89378996133919e-98	3.67287672873444e-29	9.76399067540134e-27	0.999999978933761	9.68981330069766e-156	7.01090215398191e-90	9.91392327830514e-82	6.09261802930784e-55	2.01059270406584e-08	2.67957583448145e-34
E	8.2297143403434e-65	1.07181737788223e-09	5.12334170720073e-24	1.74434239422744e-78	5.9290405511904e-50	2.36022268590999e-38	1.42268794162904e-41	2.90711197869428e-118	5.01036123048319e-135	2.89959767551145e-67	4.21643113635975e-62	6.55033376127353e-103	4.32953961148408e-165	2.11548771571255e-43	9.87980715971101e-69	2.09036017088109e-129	7.9215636677505e-52	2.69902939797788e-113	9.65102713275548e-112	1.50419152367303e-147	7.45684037127615e-53	7.81933760113256e-83	5.83783906100598e-66	1.27681526529158e-116	3.14961523771735e-98	4.38816461896704e-29	1.14944384509589e-26	0.99999997999603	1.44268482789949e-155	9.45918237515448e-90	1.12625069849684e-81	6.32542223920261e-55	1.89321522317621e-08	4.35160800515786e-34
F	9.25406719674396e-65	1.17821009911908e-09	5.95565599401399e-24	2.32832978262452e-78	1.13967019826371e-49	3.10367810260447e-38	1.55215219593107e-41	3.21730239490401e-118	5.15045194764781e-135	3.18861605405654e-67	4.27211661902047e-62	7.09284156189273e-103	4.91021412016969e-165	2.6916720050675e-43	1.06123201081411e-68	2.54527984050907e-129	8.80013778790265e-52	3.3283795244288e-113	1.25518588839258e-111	1.53573730045427e-147	8.24502691189436e-53	1.05994537314124e-82	6.03014804522147e-66	1.73623717581697e-116	3.28016392269027e-98	4.21690685362413e-29	1.4629196424872e-26	0.999999986073207	1.65347184107353e-155	1.24500054577557e-89	1.38672513365561e-81	4.82444150115367e-55	1.27485828297194e-08	2.39405319032609e-34
G	8.03520410050525e-65	1.48756625047665e-09	8.22489831235731e-24	4.58845372908776e-78	3.51342782582267e-50	2.79296426949181e-38	1.60143415840339e-41	3.32703295376503e-118	5.10718850739869e-135	3.26804473668978e-67	5.2060714604018e-62	7.6074149448103e-103	5.41694932619923e-165	2.17359921967933e-43	1.02881738548092e-68	3.04958039939746e-129	9.21218192875846e-52	4.06874994872471e-113	2.3621934836421e-111	1.73720091040403e-147	6.48178348248364e-53	1.05709909035293e-82	7.32486050892859e-66	1.8287578247175e-116	3.49034080838283e-98	4.02861711696788e-29	1.33134505287695e-26	0.999999985396194	1.82150989336568e-155	1.06595488082533e-89	1.1724513078735e-81	4.3335404578726e-55	1.31162395132478e-08	1.75270827287276e-34
H	8.0782899998019e-65	1.1361158030982e-09	6.59347722971536e-24	5.13265980041869e-78	1.86053362697187e-50	3.12979865688116e-38	1.47295280810584e-41	2.78991073910799e-118	4.30239897850585e-135	2.95606046064142e-67	4.17295578191509e-62	7.42673142332757e-103	4.59034343593672e-165	2.00289384380065e-43	8.78254450537385e-69	2.10547910242208e-129	8.16334577840649e-52	3.98310431357949e-113	1.45136953948609e-111	1.4835496518374e-147	5.41363747798338e-53	1.08058354942625e-82	5.90550360205584e-66	1.87548541382979e-116	3.70139196006103e-98	3.70090366947573e-29	1.25456208087892e-26	0.999999989248925	1.63377156683441e-155	7.79423703898371e-90	9.88858299170568e-82	3.45143520725627e-55	9.61495883971291e-09	1.29994916801061e-34
I	8.57914974831109e-65	1.26765806305656e-09	7.71790840103582e-24	5.63638193512212e-78	2.13688120031122e-50	2.66672646154642e-38	1.57699905472375e-41	3.04862613307852e-118	5.21954054581134e-135	3.14488315628062e-67	4.40781713019788e-62	8.13063967035711e-103	5.21624041033449e-165	2.09895216797334e-43	1.00920520638282e-68	2.39029199266093e-129	9.68899440584246e-52	4.52532292538015e-113	1.62756994925749e-111	1.67308624813287e-147	6.50940464298918e-53	1.00780088088781e-82	6.53231075768856e-66	1.92518008915212e-116	4.19615484538396e-98	4.50987707004352e-29	1.36490527551425e-26	0.99999998819056	1.85864143999044e-155	8.08496282051858e-90	1.25325662344912e-81	3.81229480791112e-55	1.05417818031837e-08	1.45046277922782e-34
J	7.6570600409748e-65	1.02848398118588e-09	4.67727501308834e-24	8.00759287698107e-79	2.48022352264231e-50	2.36130571172963e-38	1.5305765432949e-41	2.65531039752727e-118	4.33759823278482e-135	2.70265809798924e-67	3.93202343881997e-62	4.35604315232069e-103	4.0613141696132e-165	2.11553885918672e-43	1.06478959040531e-68	1.73598942928445e-129	7.10822114624279e-52	2.22549099718521e-113	6.39759173812361e-112	1.4105125057704e-147	7.11450751948834e-53	8.24480043857387e-83	5.09637066975424e-66	1.01113101073002e-116	3.46024409423906e-98	4.55383927270887e-29	8.67880031328012e-27	0.999999974016189	1.1573223302576e-155	7.44829123232381e-90	1.12786582286234e-81	7.35318129408949e-55	2.49553273652731e-08	2.34078053275766e-34
