Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
A,0.118286285328966,0,0.187364584033228,0.18289745488355,0.257688779384186,0.25376289637007
B,0.119367010296656,0,0.187289031014201,0.178982030074278,0.262745669965094,0.251616258649772
C,0.137403856118244,0,0.213921853809373,0.173395582214345,0.261781215603736,0.213497492254302
D,0.135515205071767,0,0.214167835748053,0.175022998992608,0.261457282881738,0.213836677305834
E,0.124324885518928,0,0.213715899156116,0.171708990508151,0.265728323214487,0.224521901602318
F,0.107717515243554,0,0.211712160009699,0.178548803561156,0.261189748524185,0.240831772661406
G,0.101261475479345,0,0.170658498145609,0.190062347284188,0.264650651904361,0.273367027186497
H,0.0975933226304894,0,0.161911779611359,0.189981698559793,0.26908610596092,0.281427093237439
I,0.098457981069279,0,0.160754751882812,0.194712334498241,0.263078194302978,0.28299673824669
J,0.146888751367554,0,0.216250758277518,0.174256696283328,0.26369936961399,0.19890442445761
K,0.140767803287874,0,0.226430298000708,0.169400380741427,0.265126358299098,0.198275159670894
L,0.129223687454819,0,0.212277296288101,0.179348646990782,0.267052146714133,0.212098222552165
