Symbol,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
A,8.0475,6.88785873278,7.86747368421,8.6339449956,7.52838461538,7.51466666667,6.80796551724,8.4945,8.6746,5.24023076923,7.33507205456,7.55709386536,5.53707692308,8.23473068095,6.54038461538,7.28409090909,6.85636094424,6.7361,6.96715,5.20603635579
B,8.0664375,6.8598,7.91705263158,8.5862953851,7.69214205635,7.48233333333,6.81613793103,8.49466666667,8.6478,5.417,7.41083333333,7.47203954265,5.36607692308,8.25962842009,6.81061538462,7.13572727273,6.901875,6.5755,6.9271,5.18339473684
C,7.525875,6.3658,6.17484210526,7.79289873653,7.46284615385,6.91684266069,5.78810344828,9.58733333333,9.04074918421,5.08830769231,6.429,6.87327158537,5.70823076923,7.83592282632,6.38369230769,7.26590909091,6.990875,6.0701,6.76075,5.18964064898
D,7.47925,6.408,6.19163157895,7.8421227958,7.40076923077,7.07466666667,5.78206896552,9.62083333333,8.9808,4.94892307692,6.38161111111,6.81542690985,5.68969230769,7.83330844746,6.34123076923,7.30045659166,6.78437686644,6.3642,6.71655,5.10439473684
E,7.59747383945,6.81545405782,6.87657894737,8.06013141432,7.64351675966,7.91366666667,6.16343094193,8.68085690182,9.5014485079,5.02349948464,6.8315,6.91208333333,5.69723076923,7.92489453145,6.49739699532,7.22945454545,7.0541875,6.5296,6.7876696424,5.27286842105
F,7.352625,6.9132,7.21026315789,8.32322033897,7.88930769231,8.42783333333,6.54578354118,7.04316666667,7.9694,5.47715384615,6.86444444444,7.10725,5.75746153846,8.13835457351,6.58630769231,6.89363636364,6.5296875,6.4883,6.99306594017,5.11723684211
G,7.9898125,6.8032,8.24231578947,8.80920819223,7.57323076923,6.82716666667,8.15812045936,7.858,7.6914,5.73138461538,7.69073616512,7.52511552118,5.37215384615,8.56041631795,7.17238461538,6.93863636364,6.814125,6.9694,6.91223883147,5.22494736842
H,7.476,6.6312,8.596,8.95192679817,7.43730769231,6.425,6.59231034483,7.3965,7.0396,5.69630769231,7.90005922239,7.5675,5.40623076923,8.22810232797,6.44323076923,6.98745454545,6.7940443415,6.6678,6.73204642299,5.47139473684
I,7.66626543743,6.6564,8.60278947368,8.9722557722,7.34916499054,6.3165,6.5689364522,7.38866666667,7.1606,6.00415384615,7.84856024859,7.63275,5.33169230769,8.09086740637,6.72061538462,6.9678920834,6.87637389704,6.92491028193,6.6021,5.41836842105
J,7.337625,6.67645082425,5.75147368421,7.35573529412,7.16892307692,5.971,5.10286206897,9.63515814242,8.3254,4.84723076923,6.10594444444,6.3315,5.75876923077,7.60537049307,6.205,7.49472727273,6.6860625,6.38380977682,6.848,5.25942105263
K,7.49898412007,6.881,5.64742184573,7.33734892873,7.73392307692,7.45866666667,5.26651724138,8.7785,9.63252816383,4.83438461538,6.00595219728,5.97991666667,5.85661538462,7.52250307718,6.11238461538,7.09309090909,7.238625,6.3827,6.89971220306,5.09721052632
L,6.767875,6.3012,6.01919822604,7.55529329278,7.19405863523,5.72033333333,5.72462068966,9.73616666667,8.4158,5.331,6.31555555556,6.757047572,5.69707692308,8.039,6.76166181061,7.68754545455,7.0178125,6.3234,6.77,5.17402858552
