B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage	otherCells
A	1.29745894532954e-08	0.0108028550598178	2.02360494885178e-08	0.0286026173304909	0.0608015108163834	0.0579877728230054	0.841805210759664
B	3.08347804595477e-08	0.0110890625156533	3.50863796078447e-09	0.0276286548512654	0.0618410258044958	0.0577929231631632	0.841648299322004
C	2.81093972688928e-09	0.0174721526201876	1.89479420102979e-07	0.0293469219121727	0.0603282415706387	0.0509565465643158	0.841895945042325
D	3.02023955565899e-08	0.0175655214720277	9.71025524702157e-10	0.0285554919295442	0.0596078622323357	0.0522098975185261	0.842061195674145
E	6.81054579236222e-07	0.0156650346870228	7.39784414933248e-09	0.0283898763283809	0.0620510076807022	0.0517193500039775	0.842174042847493
F	1.21920733910187e-09	0.0103476636828913	7.12610198101736e-09	0.0309148405344056	0.0601056929407705	0.0554098910001359	0.843221903496487
G	3.76019146083502e-09	0.00715417866673615	1.66668812495834e-06	0.0288987767846375	0.0607017055180848	0.060483460418815	0.84276020816341
H	6.3795807128778e-09	0.00445551218486518	1.94091844725598e-08	0.0307230926639846	0.0612342588682815	0.0626945111576322	0.840892599336471
I	2.12017105409549e-08	0.00510790083098521	7.71898253522018e-09	0.0303014473200634	0.0606626925502568	0.0629997637103891	0.840928166667613
J	3.7133633472308e-10	0.0184066676712606	3.97217088871824e-08	0.0293243383500953	0.0594443081231485	0.0508036212399325	0.842021024522518
K	1.64260280646005e-08	0.0174576067646487	3.94277714828823e-08	0.0294425666111607	0.0603048777144154	0.0505360992154765	0.842258793840499
L	6.07592189530296e-11	0.0162132382756014	4.02846019450593e-08	0.0306835084546145	0.0594547222946463	0.052105296242052	0.841543194387725
