Gene,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
Mix_1,4600.65617577,6031.4384204,3541.43869961,8156.93901558,27025.6445674,775.732133707
Mix_2,4989.8533695,5085.6871325,3293.09211981,7393.65640333,29080.2482419,819.999359991
Mix_3,3747.28554418,5183.76159122,3943.55367669,7423.43765455,31271.2440913,942.37504567
Mix_4,3911.45114777,4896.81876396,3811.22991627,7243.01727793,30670.7484008,924.64336388
Mix_5,5374.16899904,4524.35572301,3660.68580451,6862.88692402,31178.6400395,829.332186745
Mix_6,5456.93305037,6294.6726429,3357.28805931,8246.53978875,28810.9373073,780.032215813
Mix_7,4242.69892914,4781.06977692,3483.33907032,7085.59784082,33612.7670913,1006.83317086
Mix_8,5480.42149458,5580.24362572,2701.5167707,7671.61957433,32215.7142364,923.422612471
Mix_9,4777.91551405,5062.94676405,3510.26595446,7345.88587008,30768.6403865,880.723414501
Mix_10,5574.94672141,5477.5946254,3285.03564855,7513.00674733,31983.712773,858.802668229
Mix_11,4481.9782911,4901.06226708,3397.40088227,7345.80518675,30274.4977233,895.05659373
Mix_12,3959.72693375,5785.08269459,3688.14108552,7945.31690523,28350.0566625,862.244956051
Mix_13,5441.24784132,4918.6860488,3316.28421968,7143.42165833,33410.6973794,926.311820169
Mix_14,3401.08437431,4608.9576758,3953.32103531,7010.5695521,32188.4281989,998.490161839
Mix_15,4292.93110303,5168.79693995,3303.67407944,7510.63012721,32293.5037678,987.403765553
Mix_16,5089.42529577,5318.63571686,3046.5368726,7452.7375944,33256.1548924,963.625197543
Mix_17,4374.03100421,5067.4419093,3334.60991779,7349.57409347,33638.8353487,1017.80447958
Mix_18,4482.22276548,5297.90342162,3009.29269701,7652.3158341,31938.8111265,990.228641982
Mix_19,4408.65044718,5890.12564569,3675.10779637,7906.63133147,29868.4675366,869.172669548
Mix_20,5423.38281603,5528.93065887,3108.22934093,7617.08093713,31712.9794383,892.248016437
Mix_21,5612.66027127,5946.20691224,2973.36782595,7938.67443151,31969.7714182,896.760193022
Mix_22,4658.78535293,6167.8401323,3475.02034149,8171.12976185,29697.7695141,856.089626054
Mix_23,5689.68167605,5047.22518733,3061.61084684,7327.88930958,31545.1706424,868.701866797
Mix_24,3874.83846386,5709.25744295,3007.12751269,7867.86838072,33752.891951,1092.51464148
Mix_25,5196.91686498,4678.23154283,3304.07302443,6947.50982876,34184.0170764,969.3090964
Mix_26,4773.65839735,4988.48029272,3139.28721722,7257.0460169,34743.9290124,1031.37765114
Mix_27,5923.66211103,5777.11616902,2721.37665534,7630.88835155,36342.0811657,1023.8763968
Mix_28,5020.22708254,5727.67749446,3235.76306946,7828.36457418,30048.3973783,861.782600078
Mix_29,5157.37006612,4962.16199518,3072.94360261,7180.29287916,35173.2757166,1029.16236387
Mix_30,3983.18278383,4622.12058763,3982.48483014,6956.81436818,32806.4782968,969.360700866
Mix_31,5048.10972664,5174.54675622,3145.44921547,7405.01417545,32576.2295081,937.710520031
Mix_32,4692.66021646,5537.25827965,2896.90794395,7764.21757209,32484.9038305,999.053518771
Mix_33,4218.67556194,5528.30353159,3247.910434,7691.17083547,31956.3131107,984.878262033
Mix_34,5520.10397723,6072.02225781,3299.15512292,8074.30082404,29802.8014352,816.620140866
Mix_35,4281.16112888,4882.87498086,3658.92809535,7248.23189024,29720.2441119,875.092042421
Mix_36,4781.41729537,5078.75617618,3409.5464029,7294.1057,32138.4487352,929.353574568
Mix_37,3867.09462757,5220.64237103,3978.33277989,7453.43238913,30694.3663469,911.197096331
Mix_38,3957.27528403,5649.41190139,3526.28505456,7840.2589414,28603.6533272,869.075810263
Mix_39,6358.56136554,6136.53488379,2666.1835521,8097.75808477,31639.8352361,843.54193385
Mix_40,4390.48373804,4886.39359429,3915.40675244,7155.70594696,31686.166129,906.912634328
Mix_41,4197.36374756,5124.72916813,3955.60186083,7410.32094535,28220.0346872,815.102312672
Mix_42,5049.32961596,5071.6534049,2985.97044924,7274.80147582,36201.5341009,1070.59385276
Mix_43,5248.8755129,5410.04406996,3405.71601884,7486.72116683,30890.7835774,845.358461273
Mix_44,4039.68687585,5546.9904225,3741.19632182,7805.24888796,27095.7467832,801.768589613
Mix_45,4524.48868247,5569.20691182,3372.05699002,7598.97443339,33897.9160793,1014.98612842
Mix_46,5490.36116777,5444.72714852,2796.29992861,7388.21093901,36514.6344625,1059.2881823
Mix_47,5103.72502206,5831.85502594,3396.5682802,7823.27577628,29939.8019747,843.853894523
Mix_48,4787.46185059,5043.68756627,3379.71019573,7320.96048821,31384.9092815,911.070493038
Mix_49,3479.46303362,4665.63229907,4097.0336575,7115.11645214,29234.2083804,892.613944907
Mix_50,4451.05805856,5560.64669479,3054.58564512,7623.70200302,35828.4086973,1097.58826906
Mix_51,4918.32308069,5214.01156019,3177.91953908,7472.00163092,31829.6766458,922.694962818
Mix_52,3652.7069505,5249.98459254,3746.10419818,7440.15784537,32971.6096271,1021.07203336
Mix_53,5257.77275239,5762.29575307,3068.19168241,7784.58598824,32570.8309745,928.176834313
Mix_54,3986.47829913,5678.47446339,4165.20325429,7902.44501967,24932.4129194,709.08575104
Mix_55,3565.37882352,5227.43206809,4225.89281336,7517.46921372,29766.3828426,906.742431329
Mix_56,4600.0157018,5748.96611295,3180.31897552,7753.12233163,34934.4824403,1055.96571522
Mix_57,3032.36147176,5171.76930217,4325.45889208,7630.21223843,24784.5127392,777.747158241
Mix_58,4222.73230157,5166.13288411,3339.77755208,7505.26067572,32621.0368839,1019.00630722
Mix_59,3508.22764813,5018.1836291,4423.60955318,7422.13709239,28638.6167506,851.601981681
Mix_60,5688.96085923,4690.48974459,3055.57976801,6828.51826563,39761.5258891,1123.73390203
Mix_61,5445.62438583,5227.31888826,3485.7438349,7382.43440276,31081.1741494,826.261850767
Mix_62,5071.95756983,4406.22424768,3813.31559446,6763.31544637,31297.8586639,843.428384996
Mix_63,3865.53888211,5703.64498351,4093.07671836,7890.11302832,25910.4094843,763.582738136
Mix_64,5489.82050191,6113.03262511,3165.49324052,8024.33276613,31043.4851247,862.180422472
Mix_65,5280.72346659,5782.87145663,3123.14596905,7778.36715787,32171.5372273,912.201215555
Mix_66,4618.99705299,4667.94569553,3445.62493052,6961.12800787,32053.9695934,930.112201665
Mix_67,6256.07225702,5614.0126188,3086.04564351,7708.41792014,29715.9654388,767.483308811
Mix_68,4825.17089218,5585.9942442,3001.37717809,7640.2966894,35350.7522651,1058.776703
Mix_69,5560.65982791,4973.76836627,3386.22361816,7144.31151747,33245.7094541,904.801722217
Mix_70,4602.78217651,5422.51599849,3110.77467356,7560.81095943,34722.2411189,1056.65835891
Mix_71,4318.02372738,5111.98665556,3863.82071942,7292.04383937,32277.1579584,936.37447832
Mix_72,4986.07779525,6064.58707134,2766.76089711,8127.47730295,31671.4962206,960.621940964
Mix_73,3313.53234689,5036.26454898,4190.05673188,7351.63273085,29343.1172147,911.613580927
Mix_74,5376.79240102,5324.69647907,3515.71457699,7412.16520652,29713.0543585,798.314259198
Mix_75,3814.69324026,4737.02625137,4063.59773683,7220.85625194,28421.5515442,838.452838591
Mix_76,3870.67150144,4720.32497405,4095.89225966,7114.92060274,30074.7464783,883.748561469
Mix_77,4684.24989681,5783.92840229,3444.15892098,7931.01568546,27715.4739879,794.583099001
Mix_78,3309.30507853,4649.41269193,3829.19311105,7034.27181075,32057.3551871,1008.64922349
Mix_79,3517.44846817,5340.33115183,4421.97587712,7705.13334101,24976.5643101,723.911292648
Mix_80,4581.05724811,5270.23086583,3267.05809851,7579.75980836,30165.2989309,899.646545364
Mix_81,4564.96928749,5380.14658425,3665.38382174,7509.87798014,30353.0204939,864.014854922
Mix_82,4259.6695987,4398.18009032,3718.22950652,6714.14032932,33130.0922847,964.098469847
Mix_83,5162.112548,5245.15652962,3403.24708171,7394.58059789,31045.0239102,862.539078814
Mix_84,4842.1477788,5558.64951114,3098.79022384,7619.85943063,32949.8442268,966.142848129
Mix_85,3999.09556887,4634.93274229,3822.40866857,7073.64121409,30274.1651386,898.921169493
Mix_86,4236.87310209,5481.31224201,3831.57181526,7609.26561995,29738.7463007,860.999189629
Mix_87,6493.28050883,5315.5756052,3160.49414563,7416.6459366,30153.4568198,747.114892619
Mix_88,5393.18110927,5186.5503044,2727.54641858,7302.07108792,35717.4268366,1041.63101789
Mix_89,3774.50708571,5907.16167102,3790.07964249,8042.11706634,27128.0666661,821.838156956
Mix_90,3809.48683653,4572.7091358,4372.97897942,7132.44641868,27248.3434016,780.147091392
Mix_91,6036.80232481,4647.20575792,3208.50570852,7011.30529463,32197.0944071,840.108474199
Mix_92,4427.17917077,5090.91642753,3792.65070851,7423.06611688,27107.1558908,763.001157035
Mix_93,5013.15378384,6040.51470221,2630.30362914,8053.09579722,32401.067412,982.638581328
Mix_94,5586.68572932,5127.55271549,2835.48843364,7286.25695877,34699.9120717,987.450229761
Mix_95,4144.98215882,5007.02371284,3602.21089528,7420.84430783,28668.0139762,859.418658574
Mix_96,3981.05103866,5279.31244325,3361.46172975,7571.78061819,32219.4678361,997.484279507
Mix_97,4957.93196062,5478.76428571,3551.9295424,7572.68019565,29250.3236436,805.504064171
Mix_98,7164.27738265,6916.89421416,2416.571557,8675.97714555,31037.060485,792.8748634
Mix_99,3369.36802109,5103.50683778,3451.14348407,7594.65425094,32419.3628887,1072.06817138
Mix_100,5082.34885147,5847.43759637,3362.21249118,7950.77498729,27052.0145777,755.30043553
