CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
S10001	0.4145	0.107	0	0.259	0.0541	0.0188	0.0694	0	0.0773
S10006	0.3723	0.1475	0	0.2263	0.0489	0.0407	0.0851	0	0.0792
S1001	0.4469	0.1223	0	0.1538	0.0681	0.0599	0.1297	0	0.0193
S10010	0.5471	0.0945	0	0.158	0.0332	0.0294	0.0766	0	0.0613
S10011	0.4192	0.092	0	0.2601	0.0714	0.0394	0.0404	0	0.0775
S10014	0.3982	0.1367	0	0.1595	0.0244	0.0808	0.1413	0	0.0591
S10026	0.441	0.1574	0	0.1154	0.0824	0.0762	0.0491	0.0208	0.0578
S10032	0.5619	0.1451	0	0.1002	0.041	0.0511	0.0613	0	0.0394
S10036	0.3947	0.1291	0	0.1663	0.0265	0.0944	0.0922	0	0.0969
S10042	0.4669	0.1295	0	0.183	0.0471	0.028	0.0908	0	0.0547
S10044	0.4246	0.1441	0	0.1069	0.1004	0.091	0.0611	0.0248	0.047
S10049	0.3943	0.1687	0	0.167	0.0804	0.0472	0.0819	0.0087	0.0517
S10057	0.2849	0.1144	0	0.2196	0.0109	0.1344	0.1359	0	0.1
S10062	0.499	0.1304	0	0.127	0.0836	0.0635	0.0531	0	0.0434
S10066	0.4964	0.0946	0	0.2055	0.0605	0.0272	0.0672	0	0.0486
S10067	0.3781	0.1284	0	0.1384	0.111	0.0625	0.1099	0.0717	0
S1007	0.3967	0.1231	0	0.2619	0.0712	0	0.091	0	0.0561
S10073	0.3754	0.0893	0	0.1774	0.1075	0.0728	0.0787	0.0357	0.0633
S10077	0.4613	0.1464	0	0.2268	0.0215	0	0.0746	0	0.0693
S10080	0.4909	0.1206	0	0.177	0.0033	0.0561	0.1002	0	0.0518
S10082	0.3963	0.1409	0	0.1316	0.0212	0.1734	0.0462	0.0154	0.075
S10087	0.4448	0.1534	0	0.2081	0.0257	0.0471	0.0601	0.0262	0.0347
S10089	0.3799	0.1224	0	0.2348	0.0492	0.0328	0.0986	0	0.0822
S1009	0.3578	0.1473	0	0.1786	0.0734	0.1006	0.0573	0.0202	0.0648
S10090	0.3994	0.0973	0	0.3183	0.0079	0	0.109	0	0.0681
S10093	0.3738	0.0977	0	0.2284	0.0429	0.06	0.1217	0	0.0754
