CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	otherCells
Mix_1	0.0328791673111865	1.93893724704143e-05	1.42812454979106e-10	1.42192226896458e-08	5.00832250710155e-06	2.83157107060697e-06	6.85803370299947e-09	3.66205417943002e-06	0.967089920148517
Mix_2	0.033569290256775	1.52207016222662e-08	3.16737757977613e-07	8.98845430457855e-07	6.16732660597958e-07	6.96765764367125e-10	5.80206738778304e-07	0.000288626587476561	0.966139654715693
Mix_3	0.0354754780683924	1.09023097654426e-06	3.79026527822264e-06	6.81898008000373e-09	2.85257948661066e-06	3.34434944996725e-07	3.38220309255279e-06	5.83668088126661e-10	0.964513064815181
Mix_4	0.0347107015054158	7.31751544361451e-06	9.1463370351611e-08	6.24329807898472e-06	5.95960759666215e-05	7.87358133294336e-07	4.42010954309669e-07	8.73093680501311e-05	0.965127511404587
Mix_5	0.0355816838961692	5.34333872829466e-05	5.44307851229172e-05	2.30841600812370e-09	6.31207308162951e-06	2.13489597736605e-09	2.36351230092297e-09	0.000156398015018663	0.9641477350365
Mix_6	0.0337991306666561	2.46141770628829e-07	5.89231777290676e-06	6.19907049216146e-06	7.86892362806427e-09	1.30650302974284e-05	5.26902398350526e-08	2.19792368949611e-07	0.966175186421478
Mix_7	0.0363937632867187	3.41547072140139e-08	3.04924069545332e-06	3.53900622279181e-06	3.28201396273786e-09	4.1039613668557e-10	3.04711989012636e-08	3.155989321997e-05	0.963568020254827
Mix_8	0.0350065778709815	2.76942485288676e-05	1.03715455289561e-06	4.36706682307425e-06	4.77525272837711e-05	3.77875423635211e-10	5.39650456328286e-07	2.39628670269567e-08	0.964912007140631
Mix_9	0.0351180539811575	0.000113459887059421	1.37345538561103e-08	3.00843483251256e-05	1.37921254321739e-05	2.96574635289304e-05	1.06197805724038e-09	3.33122251842059e-09	0.964694934066742
Mix_10	0.0358351774916001	1.72261392751761e-09	2.53660696843683e-08	3.4718435643175e-07	1.29792770981762e-07	1.39859436368961e-06	8.02497342875e-08	1.36515411913377e-06	0.964161474444372
Mix_11	0.0342218907631866	2.10349310342247e-08	2.23054358542694e-05	3.09982669551904e-06	2.33465055630275e-06	5.33557635984979e-10	1.55081616229258e-08	0.000183903129838449	0.965566429117219
Mix_12	0.033459565222393	8.72149508894536e-06	1.80086533882373e-05	2.23784214490466e-05	6.11321026219459e-07	6.32448561747906e-07	1.54646035134464e-08	1.50994634639229e-10	0.966490066822495
Mix_13	0.0365002154064801	7.05731995856102e-05	5.45353764637957e-07	7.75156828005535e-06	6.01369675535812e-07	3.62617730891889e-06	1.7568627465929e-06	4.23402787659184e-09	0.963414925828131
Mix_14	0.0360983224884785	5.90797267152186e-08	1.62099913777109e-05	4.74167387339066e-09	4.16161151263562e-06	9.60779873581248e-12	2.03273447769408e-07	2.95453896592442e-06	0.963878084265209
Mix_15	0.0350658481210842	1.65957724186626e-09	4.18759116131589e-05	5.32784113726631e-08	4.4022935321008e-07	1.12763124898149e-08	1.27085906223981e-06	9.64061578399387e-05	0.964794092506746
Mix_16	0.0357005496260557	5.67260803219666e-09	1.58265710488949e-05	1.01772613987517e-09	2.21957334651344e-07	4.97638341813257e-06	1.3003623664322e-07	1.32717809521399e-06	0.964276961557477
Mix_17	0.0357162846420196	6.09368189079919e-09	3.56059092628294e-08	2.85822302744309e-08	1.5263431795574e-05	2.43189062299779e-06	1.18560882136418e-07	8.80676701767461e-08	0.964265743125188
