Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	otherCells
A	0.00102632643232521	0.00377781456511014	0.0343453045016154	4.34720703185936e-08	1.69528342755672e-05	4.46081919003364e-08	0.960833513586412
B	0.00125410300330222	0.00365551596224233	0.0344880344848732	1.10440203090511e-08	4.91879464447226e-06	2.43472557288198e-07	0.96059717323836
C	0.00153941364295399	0.00305599148785475	0.0354520170865122	3.86155412546783e-08	2.34935152167323e-09	2.97085425276717e-06	0.959949565963534
D	0.00140996635041873	0.00304681159055949	0.0358435337503837	2.17295071051078e-06	5.88793350805441e-09	4.79437481603803e-06	0.959692715095178
E	0.000950939541043611	0.00338572878073213	0.0351545039991252	2.11959647532128e-08	1.08213709189956e-06	1.99802492269623e-09	0.960507722348017
F	7.61469812134355e-05	0.00335459126297326	0.0367313229194288	2.05332152018827e-09	1.68893639464285e-06	5.20231542329989e-06	0.959831045531245
G	0.000701396866315215	0.00400977884540663	0.0336388399248114	9.71142642426382e-08	9.09404537913607e-08	1.46593132215071e-09	0.961649794842817
H	0.00110635991688468	0.00412053374719913	0.0326658518756404	3.96395845796076e-08	9.93122799907277e-09	4.34414192901383e-09	0.962107200545321
I	0.001465738217667	0.0042017943173672	0.0320861591827944	7.96409700113592e-09	4.65460871032312e-06	2.51611159048966e-09	0.962241643193252
J	0.00211169043613425	0.00269613244513346	0.0358868476603304	4.4934086465704e-08	2.55609620072364e-07	4.65529524258624e-09	0.9593050242594
K	0.00132330231429692	0.00254477261739354	0.0369695738129718	2.42288040589592e-06	1.0881794972185e-08	1.03925323189816e-08	0.959159907100605
L	0.00140824850136988	0.00312228686511814	0.0354054383689279	7.03009364672494e-08	1.88604724677068e-09	3.52509057366394e-08	0.960063918826695
