Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
A	0.2714	0.1074	0.3005	0.0469	0.0159	0.258
B	0.2586	0.1419	0.2854	0.0509	0.0192	0.244
C	0.1584	0.3964	0.2805	0.0696	0.0344	0.0606
D	0.1502	0.3875	0.2618	0.0942	0.0309	0.0755
E	0.1646	0.1875	0.4124	0.0864	0.0307	0.1183
F	0.1624	0.1689	0.4641	0.0418	0.0202	0.1425
G	0.2526	0.1385	0.1197	0.0775	0.0249	0.3868
H	0.1933	0.1383	0.0869	0.0666	0.0117	0.5031
I	0.1812	0.1076	0.1648	0.0457	0.0171	0.4837
J	0.1787	0.4636	0.1992	0.0684	0.0506	0.0395
K	0.1513	0.3232	0.37	0.0944	0.0337	0.0275
L	0.1481	0.3957	0.2752	0.0941	0.0287	0.0581
