Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	otherCells
A	0.00185903048354391	1.61784930056976e-09	0.00634364599763885	0.0218272982276193	0.0140287810906114	0.000361220365213619	0.955580022217524
B	0.00185350111761715	1.57414246920624e-09	0.00629745643349646	0.0216405806103663	0.0144001749306314	0.00036022389440676	0.955448061439339
C	0.00235946696806146	2.09511897525013e-08	0.00734987488888022	0.0211897048952281	0.0138775757629989	2.70284998454946e-07	0.955223086248643
D	0.00218092361840909	5.21598967375791e-08	0.00726331423650816	0.0214069923153021	0.0139465985451707	3.9831821430296e-05	0.955162287303283
E	0.00205674017198233	1.13358088770623e-08	0.00712901706253851	0.0213160342738548	0.0144209670388926	9.74790219440053e-05	0.954979751094979
F	0.00125811517187283	2.66197275579543e-09	0.00729937557414861	0.0215794955239582	0.0141674868649522	0.000223102241458235	0.955472421961637
G	0.00106691442163893	4.57944769308968e-09	0.00569751423354528	0.022264142194195	0.0144820262799113	0.00053852232141036	0.955950875969851
H	0.000932171050239893	4.7813668849128e-10	0.00537918104101157	0.022302940722859	0.014767173067811	0.000627842055648137	0.955990691584294
I	0.00108462426307335	1.37900651949187e-08	0.00529314199844727	0.022524373592058	0.014509284277188	0.000630783411247769	0.95595777866792
J	0.00238634029027013	2.88778747197203e-09	0.00726850433060759	0.0212676289456491	0.0139175099362105	2.29412566762026e-09	0.95516001131535
K	0.00219253144089217	3.60921863230779e-08	0.00771433909369104	0.0210933877785326	0.0139318001849511	4.29913255129368e-08	0.955067862418421
L	0.00212923138346558	7.69610463435301e-09	0.00720661818686277	0.0214625050835587	0.0142728340218872	9.84904942939109e-08	0.954928705137627
