Symbol,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
A,8.0475,6.88785873278,7.86747368421,8.6339449956,7.52838461538,7.51466666667,6.80796551724,8.4945,8.6746
B,8.0664375,6.8598,7.91705263158,8.5862953851,7.69214205635,7.48233333333,6.81613793103,8.49466666667,8.6478
C,7.525875,6.3658,6.17484210526,7.79289873653,7.46284615385,6.91684266069,5.78810344828,9.58733333333,9.04074918421
D,7.47925,6.408,6.19163157895,7.8421227958,7.40076923077,7.07466666667,5.78206896552,9.62083333333,8.9808
E,7.59747383945,6.81545405782,6.87657894737,8.06013141432,7.64351675966,7.91366666667,6.16343094193,8.68085690182,9.5014485079
F,7.352625,6.9132,7.21026315789,8.32322033897,7.88930769231,8.42783333333,6.54578354118,7.04316666667,7.9694
G,7.9898125,6.8032,8.24231578947,8.80920819223,7.57323076923,6.82716666667,8.15812045936,7.858,7.6914
H,7.476,6.6312,8.596,8.95192679817,7.43730769231,6.425,6.59231034483,7.3965,7.0396
I,7.66626543743,6.6564,8.60278947368,8.9722557722,7.34916499054,6.3165,6.5689364522,7.38866666667,7.1606
J,7.337625,6.67645082425,5.75147368421,7.35573529412,7.16892307692,5.971,5.10286206897,9.63515814242,8.3254
K,7.49898412007,6.881,5.64742184573,7.33734892873,7.73392307692,7.45866666667,5.26651724138,8.7785,9.63252816383
L,6.767875,6.3012,6.01919822604,7.55529329278,7.19405863523,5.72033333333,5.72462068966,9.73616666667,8.4158
