B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage	otherCells
mix_1	0.651497583020419	2.77855008520988e-07	0.348478204047668	2.14732377846518e-06	1.7824643703456e-05	3.96289662618916e-06	2.12796114062996e-10
mix_2	0.584294027027564	0.000272001913061065	0.413436878198302	2.12485108197785e-07	0.00185961957646384	0.000137259222042718	1.57745772000339e-09
mix_3	0.440166633956281	0.00512831769522463	0.554557373729099	3.98943948255107e-05	0.000107753437281418	2.26937513262665e-08	4.09353684283076e-09
mix_4	0.481553075527438	0.159441724182332	0.358812807020905	0.00019071346748729	2.95499150070455e-09	3.63391255144964e-09	1.67321293398359e-06
mix_5	0.522795769520883	0.0582914616440878	0.418905440063207	2.87514567945055e-08	1.06468420978288e-08	4.54940662114058e-06	2.73996690192124e-06
mix_6	0.644548142172831	9.59926716674647e-05	0.355072497887639	0.000119045678393137	0.00016431962987326	1.73110883441155e-09	2.28487007092326e-10
mix_7	0.490248361236695	0.200383750451145	0.309366272925595	4.19529429463921e-09	1.60057905882186e-06	7.04270425554355e-09	3.56950724533789e-09
mix_8	0.788669723856936	0.0141412978832178	0.197094187806354	2.15101046605463e-05	7.2990165268929e-05	2.87747497731875e-07	2.43606490535342e-09
mix_9	0.636561355129707	0.00025967002847809	0.360758527726572	2.51845918102545e-07	0.00242016855263305	2.63747680891989e-08	3.41923822588797e-10
mix_10	0.63250570406234	0.00917635819570911	0.35831774290607	1.46301113201385e-09	1.55732738031405e-07	3.36902026265981e-08	3.94992938357319e-09
mix_11	0.588662471077564	2.48687139074125e-06	0.409436644068164	0.00176771023800992	0.000128050634171677	2.39869197921523e-06	2.3841872076602e-07
mix_12	0.623511065139641	2.22729353398647e-07	0.376412311645779	3.18110512361454e-05	4.44602528561361e-05	7.98500747320448e-08	4.93310596816343e-08
mix_13	0.547996722773371	0.0523784227100852	0.399624204400689	2.93591095002233e-08	1.57842210880395e-07	3.45953571676501e-08	4.28319177903091e-07
mix_14	0.53438645102123	0.0664574321790819	0.39915601849576	4.17922548004435e-09	7.3110315415328e-08	1.92841863941041e-08	1.73020009430758e-09
