naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
A	0.1314	0	0.4339	0.0461	0.0307	0.1789	0.179	0
B	0.0965	0.0641	0.473	0.0237	0	0.1774	0.1654	0
C	0	0	0.7201	0.1055	0	0.0552	0.1192	0
D	0	0	0.7622	0.077	0	0.092	0.0687	0
E	3e-04	0.0097	0.2795	0.4353	0.0661	0.1013	0.0946	0.0132
F	0.0834	0.0617	0.1609	0.3243	0.0758	0.1085	0.1853	0
G	0.1597	0	0.3369	0	0.1175	0.2465	0.1394	0
H	0.024	0.1199	0.3336	0	0.058	0.2811	0.1834	0
I	0.0579	0.094	0.3128	0	0.0996	0.2742	0.1615	0
J	0	0	0.8606	0	0	0.0581	0.0812	0
K	0.0056	0.0403	0.3258	0.4374	0.0412	0.0353	0.0788	0.0355
L	0	0	0.8508	0	0	0.1055	0.0437	0
