CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	0	0	0	0	0	0	3.78591471441841	0
B	-10.1337088311263	0	0	0	0	0	16.612678646549	0
C	-1.45949720662525	0	0	0	0	0.32991204538997	16.6042510192714	0
D	0	0	0	0	0	0	1.25326326071367	0
E	0	0	0	0	0	1.26293307391004	13.7691590788263	2.12367808443547
F	0	0	0	0	0	0	0	0
G	34.9608331206216	29.4508429427352	51.4450406718614	45.5210346931806	67.4721271113229	40.7833150405792	28.6786563767651	41.1989834663107
H	0	0	14.6809716707437	0	4.91099478196787	0	0	0
I	0	0	1.80290693080848	0	0	0	10.5591478790183	0
J	-1.15020008357086	0	0	0	0	0	0	0
K	0	0	0	0.582466895053874	0	0.110639607517988	0	3.46300334841649
L	0	0	0	0	0	15.8771495430161	0	9.3387648126526
