CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	otherCells
S10001	0.014565742969562	2.56430690112031e-08	0.00157142626644533	1.05877414469517e-07	2.48057141136761e-09	0.000422709932656936	0.00736409144690281	3.10013836210496e-06	1.01626895750071e-09	0.976072794228747
S10006	0.0144535481977628	8.1365519306036e-09	0.00110331757709825	4.73159210758388e-08	2.24078183306484e-08	0.00102880113792692	0.00757353650722764	1.13752501837659e-08	3.79104475382125e-06	0.975836916299689
S1001	0.0147084298704976	7.05341516487992e-09	0.00136944906461912	7.95738224917706e-06	1.5952180644234e-08	0.000545444993310303	0.00781215948181194	9.7728976874768e-07	9.45140379706208e-08	0.975555464398109
S10010	0.0147033132451793	2.27123836830201e-06	0.00161548028474433	4.53578794769257e-08	5.02246926553972e-09	0.000209814730519411	0.00755172700607233	9.54540362803519e-09	5.17730421871107e-05	0.975865560527177
S10011	0.0149204436771412	3.35808108954871e-08	0.00170102981663348	2.00266258934191e-07	8.63490313767316e-07	0.000441039542408088	0.00745317900959796	1.94381874754784e-09	8.58840685665817e-07	0.975482349832331
S10014	0.014388273337803	1.29381331359456e-07	0.000904934825405741	1.13245440431e-07	1.06546552705483e-05	0.000982850306895771	0.00783809439097885	1.22287581280249e-06	1.80139409964353e-07	0.975873546841652
S10026	0.0144599753164789	8.99172125131417e-09	0.00171847747833616	8.5704872464782e-07	1.81576113565419e-08	0.000282240105660994	0.00769029480029662	5.44373534589541e-07	4.65691738889118e-08	0.975847537158462
S10032	0.0148960602462366	6.61038131571033e-10	0.000567488820359358	2.10470184724567e-06	5.83703284402985e-08	0.0011314741541784	0.00768340991913126	1.0186272982406e-06	8.47911228755775e-08	0.975718299708459
S10036	0.0141816806346371	6.27313457121867e-09	0.0018752552272982	8.41849989348562e-08	2.25111588405611e-06	0.000258274969481099	0.00772979424968098	5.7988080951325e-10	2.79470421918786e-06	0.975949858060785
S10042	0.0149081879584423	2.64361438082344e-08	0.0010921454835856	2.23979312264314e-06	1.62219919734452e-07	0.000559185814669602	0.00793068905789677	2.86936216776479e-06	6.5944948984837e-06	0.975497899379153
S10044	0.0144052128430723	1.04662268951582e-08	0.000310360457700298	4.02333624646283e-07	2.95535646249213e-08	0.00167756705954284	0.00765821006495794	4.69822843169788e-09	1.08757308158513e-07	0.975948093765774
S10049	0.0143797831821977	3.20893231693497e-07	0.00127388024261077	7.47291988131272e-08	4.54078594416398e-07	0.000455361748148214	0.00782827983388973	1.18543956545125e-05	4.0078356144938e-10	0.976049990495691
S10057	0.01454477150416	6.79647551842758e-08	6.64642069634272e-05	1.53887671739411e-06	1.16669388153681e-06	0.00180781314882631	0.0077881433804258	6.26580242148879e-09	1.71979304161157e-08	0.975790010760538
S10062	0.014594786242031	1.30976417653889e-08	0.00154955242671284	2.67036583878446e-08	1.72628642001354e-07	0.000432897446628323	0.00758966330362301	1.3847380951859e-07	6.03973770259052e-08	0.975832689279876
S10066	0.0150315664012382	1.51536858987371e-06	0.00173468804295815	1.55768495439316e-06	5.63205852766762e-06	1.15500660578022e-06	0.00749584778464409	9.20077765982892e-08	2.460281535331e-06	0.97572548536317
