naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
mix_1	0	0	1.13175107616812e-05	0	0.000206025058590193	0.000287881322621722	0.000617471125745917	0
mix_2	0	0	0	0	0.000261358404234205	0.000872469286480356	0.000655513786292915	0
mix_3	0	0	0.000383692847134027	0.000316602997671604	0	0	0	0
mix_4	0	0	0	0	0	0	0	0
mix_5	0	0	3.49303302407256e-05	0	0	0	0	0
mix_6	0	0	0	0	0	0	0	0
mix_7	0.000600059088648988	0.000289418755746791	4.23500694069759e-05	0	0	0	0	0
mix_8	0	0	0	0	0	0	0	0
mix_9	0	0	6.52015999189555e-05	0	0	0	0	0
mix_10	0.000713940764970618	0.000304757846651704	0	0	0	0	0	0
mix_11	0	0	0	0	0.000222855897374141	0.000510213337323233	0.000630436233484372	0
mix_12	0	0	0	0	0	0	0	0
mix_13	0.00121712003027602	0.000722150706629725	0	0	0	0	0	0
mix_14	0.00110522277643425	0.000613604420757396	0	0	0	0	0	0
mix_15	0.000817241317152193	0.00045359104858899	3.71969371490465e-05	0	0	0	0	2.70292594101781e-08
mix_16	0	0	3.93243676361084e-05	0	0	0	0	0
mix_17	0.00242996942853683	0.00167456878491822	0.000167827345193631	0.000238208746526512	0	0	0	2.59832000458909e-05
mix_18	0	0	0	0	0.000191547219980721	0.000929112261388708	0.000564511707749124	0
mix_19	0	0	0	0	0	0	0	0
mix_20	0	0	0.000749538583885253	0.00165468558762162	0	0	0	0.000297578864915471
mix_21	0.000200738229802341	0	1.71387831217097e-06	0	0	0	0	0
mix_22	0.000189249213798561	2.75911574375928e-05	0	0	0	0	0	0
mix_23	0.000242667048043172	8.71168229766605e-05	0	0	0	0	0	0
mix_24	0	0	0	0	0.000947531429998648	0.00243460309668981	0.00140723449926797	0
mix_25	0	0	0.000155685596702958	0	0	0	0	0
mix_26	0	0	0.000696179296239585	0.00113644691569867	0	0	0	0.000291436708014875
mix_27	0.000249763614748092	0.00023000378340782	0	0	0.00025592819120399	0.000158354382493865	0.000549358495931294	0
mix_28	0	0	0.000544882128005998	0.00104216113809015	0	0	0	0.000198682723180371
mix_29	0	0	6.13378153190621e-05	0	0	0	0	0
mix_30	0	0	4.57636005659191e-05	0	0	0	0	0
mix_31	0	0	4.85796218045337e-05	0	0	0	0	0
mix_32	0	0	6.21797194816113e-05	0	0	0	0	0
mix_33	0	0	0	0	0	0	0	0
mix_34	0	0	0	0	0	7.70128954917447e-05	0.000314009503864606	0
mix_35	0	0	0	0	0	0	0	0
mix_36	0.000556211354629623	0.000191426124807973	0	0	0	0	0	0
mix_37	0.000296557894850123	4.83789273084941e-06	0	0	0	0	0	0
mix_38	0	0	0.000580763168016138	0.000702078181697884	0	0	0	0.000192952202588873
mix_39	0.00100218440395985	0.000575888951858441	9.16108662207488e-05	3.57028597682118e-05	0	0	0	0
mix_40	0	0	8.64015069915515e-06	0	0	0	0	0
mix_41	0	0	0	0	0	0	1.09920394308806e-05	0
mix_42	0.000976389622558311	0.000528960574638995	0.000244346019835435	0.000339802285248666	0	0	0	2.27783740506741e-05
mix_43	0	0	0.000328698495118028	0.000391854998947034	0	0	0	9.43607898826952e-05
mix_44	0	0	0.000201961613685847	0	0	0	0	0
mix_45	0	0	0.000286568940698725	0	0	0	0	1.50770873943101e-05
mix_46	0	0	0.000354829859675584	0.000806232805079851	0	0	0	5.18164993894839e-05
mix_47	0	0	0	0	0	0	0	0
mix_48	0.000131646627995891	0.00018447031130727	0	0	0.000565810619124236	0.00086080509686305	0.000922144955841993	0
mix_49	0	0	0	0	0	0	0	0
mix_50	0.000271897091860696	0	0.000227940523251278	0.000142166038771579	0	0	0	0
mix_51	4.18675600988456e-05	7.8876730079917e-05	0	0	7.25256233086069e-05	0	0.000370635510635698	0
mix_52	0.00139603994973333	0.00089695584439743	0.000141559643066873	0	0	0	0	0
mix_53	0	0	0	0	0	0	0	0
mix_54	0.000925916237173807	0.000479502724378667	0.000236883029899014	0.000661488647940631	0	0	0	0
mix_55	0	0	0	0	0	0	0	0
mix_56	0	0	0.000119640067268833	0	0	0	0	0
mix_57	0	0	0.000136400653501816	0	0	0	0	0
mix_58	0	0	7.78782072309537e-05	0	0	0	0	0
mix_59	0	0	0	0	0	0	0	0
mix_60	0.000322233219508818	7.70225635904655e-06	0	0	0	0	0	0
mix_61	0.000337976708397697	3.95125013975446e-05	0.000474465565486946	0.000532982671961971	0	0	0	7.58123757388594e-05
mix_62	0.000128621611601004	0	0.000397844682396095	0.000269481177169264	0	0	0	8.87020002573988e-05
mix_63	0	0	0	0	0	0	0	0
mix_64	0	0	0	0	0	0	0	0
mix_65	0	0	7.4764381141727e-05	0	0	0	0	4.4343084866185e-05
mix_66	3.7209018850529e-06	3.87559065317748e-05	0	0	0.000109365774686318	0	0.000423585360257936	0
mix_67	0.00106442246186883	0.000651327455509707	0.000351486708903986	0.000410501766823622	0	0	0	7.85190024979357e-05
mix_68	0	0	0.000414896924889452	0.00084823869657671	0	0	0	0.000115882229368295
mix_69	0	0	0	0	0	0	0	0
mix_70	0.00137655871472922	0.00110123363919373	0	0	0	0	0	0
mix_71	0.000189794797192707	0.000151855269967595	0	0	1.68260130395076e-05	0	0.000273149018687905	0
mix_72	0.00191726624922316	0.00124803406371121	0	0	0	0	0	0
mix_73	0.001028572420551	0.000724295823171418	0	0	0	0	0	3.42366497623072e-05
mix_74	0.000106537505251212	0	0	0	0	0	0	0
mix_75	0	0	0	0	2.04073531991094e-05	0	0.000347797115161986	0
mix_76	0	0	0.000175607916407352	0.000155381235744773	0	0	0	0
mix_77	0	0	0.000679756305775695	0.00121435773937435	0	0	0	0.000209919781385058
mix_78	0	0	0	0	0	0	0	0
mix_79	0	0	0	0	0	0	0	0
mix_80	0.000263701985721466	0	0	0	0	0	0	0
mix_81	0	0	0.000240250627433231	7.06624140270508e-05	0	0	0	0
mix_82	0	0	0	0	0	0	0	0
mix_83	0	0	0	0	0	0	0	0
mix_84	0	0	5.85676827474978e-06	0	0	0	0	0
mix_85	0	0	7.91256017094299e-05	0	0	0	0	0
mix_86	0	0	0.000431361234102456	0.000541659092949095	0	0	0	4.9414539069773e-05
mix_87	0	0	0.000155199331769864	0	0	0	0	0
mix_88	0	0	0.000168248257148168	0	0	0	0	0
mix_89	0	0	0.000490175148733162	0.000847795982268265	0	0	0	0.000131204119333526
mix_90	0	0	7.9431262466353e-05	0	0	0	0	0
mix_91	0	0	0	0	0.000123812471755592	0	0.000438010752250246	0
mix_92	0	0	5.89867968456812e-08	0	0	0	0	0
mix_93	0	0	0	0	0.000815397738014705	0.0022834569092969	0.00124179979793499	0
mix_94	0	0	0	0	0.000148699866676582	0.000413378890260971	0.000576224263976239	0
mix_95	0.000141066166134467	0.00015745569344164	0	0	1.09418500701445e-05	0	0.000305765985842363	0
mix_96	0	1.30275493932761e-05	0	0	0	0	0.000223988145722784	5.77838611726338e-06
mix_97	0	0	0	0	0	0	0	0
mix_98	0	0	0	0	0	0	0	0
mix_99	0	0	0.000913174914596665	0.00156181034578408	0	0	0	0.000241626830244173
mix_100	0	0	4.51990042821061e-05	0	0	0	0	0
