"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.720940907356216 0.610641663619403 0.42361546130216 0.0446822676422929 0.848479816381363 0.0925687782418347 0.906369495827566 0.541795293102456
"BlueCode" 0.566739548606483 0.680144678413614 0.097637409068592 0.398878413531325 0.749310581099867 0.022114992799692 0.890672398299829 0.495318692432737
"BluePrint-Blood" 0.289678787302265 0.300048919120314 0.031131794826587 -0.176298836517412 0.809920733248474 0.180756755906386 0.896712782081793 0.254581555736705
"EPIC-BCIC" 0.650089804840222 0.575435054801214 0.435015827692593 0.577382571681363 0.839436184323936 0.725898480213994 0.92899671110047 0.288928936708749
"EPIC-TIC" 0.291221692155884 0.394528020912924 0.238289559301566 0.297376656820682 0.789285493650634 0.784906244833359 0.691128095184663 0.261637803221092
"HPCA-Blood" 0.698247960915672 0.734627650117137 0.512744658748909 0.0538196200990373 0.758309937001256 -0.0919462814138325 0.79726766897149 0.588297962761689
"HPCA-Stromal" 0.566993778578261 0.689220458802298 0.512744658748737 0.0749655773085 0.730766688071348 0.0906322971725253 0.783212175469143 0.588297962761689
"ImmunoStates" 0.765567504523112 0.831598577449718 0.504772650590736 0.522230378668392 0.681989077401831 0.179987699049448 0.873151926818558 0.860265032361436
"LM22" 0.589115234708814 0.636521588550595 0.537395590540313 0.620474770195764 0.666793847725456 0.635678399609396 0.931735297628565 0.652854417201238
"SkinSignatures" 0.283187437691236 0.283126585544881 0.497353449253224 NA 0.676699933463845 -0.0100645174567353 NA 0.70903041620865
