"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" NA NA NA NA NA NA NA NA
"BlueCode" NA NA NA NA NA NA NA NA
"BluePrint-Blood" NA NA NA NA NA NA NA NA
"EPIC-BCIC" NA NA NA NA NA NA NA NA
"EPIC-TIC" NA NA NA NA NA NA NA NA
"HPCA-Blood" NA NA NA NA NA NA NA NA
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.502890115523828 0.456900220778653 0.665739586228195 0.576865783855375 0.929050840372645 0.560592886276738 0.395789770233939 0.43680738579329
"LM22" 0.890005773781311 0.780645435045207 0.653101633313155 0.808964821241083 0.718252277101132 0.95014229201957 0.718150389824634 0.981500619327211
"SkinSignatures" NA NA NA NA NA NA NA NA
