"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" NA NA NA NA NA NA NA NA
"BlueCode" NA 0.637265180489532 0.131184827229663 0.641107627683958 0.594379580339291 NA 0.68153481778986 0.462310893641459
"BluePrint-Blood" 0.532196626629189 0.516166198480945 0.0753421586379611 0.573545741426112 0.683560753033649 0.0492906460779767 0.628235208098722 0.456792993774909
"EPIC-BCIC" NA 0.586422266942551 0.103181727450979 0.51937693421223 0.664644955265943 0.481678540998397 0.636823218136179 0.427313949050548
"EPIC-TIC" NA NA NA NA NA NA NA NA
"HPCA-Blood" 0.581326799510495 0.581969068560491 0.198633019152129 0.586916625405919 0.691433196965383 0.613933053180562 0.684033256186357 0.486898769138725
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.585991411226165 0.580085689544839 0.124804856482273 0.634456330733572 0.471072962302777 0.593845942093881 0.657889516449383 0.546650679833507
"LM22" 0.590071081947853 0.597134475017142 0.172643290673376 0.641047857900204 0.625201892238513 0.631435692635924 0.647555217527729 0.5628266391081
"SkinSignatures" NA NA 0.208189602533128 0.652128831930077 0.655550785175798 0.658517861635252 0.638459312320717 0.413904287182839
