"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.781496214555294 0.738893932747307 0.620246677940026 0.817425690339839 0.918327221112755 0.756309406455329 0.971123228137769 0.943099811673352
"BlueCode" 0.72364675197076 0.540769237404697 0.509219192793425 0.508415453647889 0.942512754998678 0.0617174685918614 0.967310807958519 0.376216675333949
"BluePrint-Blood" 0.293598222116783 0.254318381890505 0.570476525100649 0.467362660919503 0.959840088269437 -0.0766233947192989 0.973343109411813 0.479532825013542
"EPIC-BCIC" 0.825794017562246 0.794473138434804 0.672727526835447 0.646450332855224 0.847201740747198 0.927732733353202 0.970693513953279 0.735619337243998
"EPIC-TIC" 0.755574239972008 0.640133360277181 0.634534535723267 0.320779087424164 0.956532160602243 0.929872950236293 0.973730560496843 0.0163349468404255
"HPCA-Blood" 0.933278090582229 0.869212107946308 0.140803733161332 0.409257814991334 0.982548555722567 0.0304150752701305 0.986157679145207 0.797071416205888
"HPCA-Stromal" 0.517467968242967 0.670606525338061 0.140803733161288 0.256668934637952 0.90376471467097 0.11215065644592 0.951019428418148 0.797071416205888
"ImmunoStates" 0.756854042328596 0.862423240204509 0.730867759542723 0.968417815335397 0.94355337733186 0.311011042239712 0.910320138232142 0.268811263654684
"LM22" 0.907185492780415 0.937877073022139 0.554783697944192 0.835286673810115 0.930367263276608 0.801529513849193 0.986151441830004 0.9373559671414
"SkinSignatures" 0.806550633654663 0.857308066535815 0.265501830896523 0.661169077268419 0.991995093124426 0.0286510046905255 0.954413891484052 0.407033844262376
