"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.411675626645847 0.434254011623168 0.0759353727032229 0.434223778501018 0.5837673797476 0.447822060726666 0.540499538514771 0.204693184017882
"BlueCode" NA 0.688525927099938 0.204597046840618 0.637091739385026 0.488707279751324 NA 0.720855650791449 0.294044285533476
"BluePrint-Blood" 0.498729534838621 0.631049256540689 0.147783535530826 0.668035401619877 0.709425065931818 0.143667162502605 0.63189827460953 0.151622453658833
"EPIC-BCIC" NA 0.583321294328257 0.146207848608477 0.719102461107762 0.69158798508277 0.526197773319762 0.68044780764392 0.255551861117055
"EPIC-TIC" 0.475134976653707 0.474932646929122 0.0974010671369751 0.487152283769631 0.457872100698425 0.516093517886052 0.583838622569473 0.117290407388763
"HPCA-Blood" 0.716643419645198 0.716492897230207 0.118700455977391 0.626534637541847 0.656104602239426 0.549863557319263 0.753644872746013 0.34507595735409
"HPCA-Stromal" NA 0.64887613646744 0.121267193471467 0.619868400651447 0.355371239652773 0.486019827080381 0.690972835162699 0.370231303333243
"ImmunoStates" 0.366129194866994 0.435038229879391 0.16225463016144 0.676477263090511 0.450060293681197 0.535365708656555 0.691314572241367 0.407929804707299
"LM22" 0.579449052400326 0.604484210677709 0.183398102181771 0.599995110257541 0.483449598522307 0.548009629779373 0.699406491983813 0.446256809827204
"SkinSignatures" NA NA 0.128855289607534 0.572437110833124 0.508679200221558 0.482379842489765 0.331439668988356 0.305498693842995
