"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.90997349738636 0.901119374980674 0.529427262296463 0.855607640037589 0.878815761018443 0.618683108861093 0.986107385705744 0.845094129824989
"BlueCode" 0.958427971391437 0.958427971391436 -0.139264163223599 NA 0.716339779474129 -0.100249031249898 0.964030987638339 0.781095441301596
"BluePrint-Blood" NA NA -0.141457783102479 NA 0.891744958522209 -0.20850106247261 0.975836921031748 0.800816224781233
"EPIC-BCIC" 0.537951609275946 0.507878847958119 0.669835777082973 0.547966912911299 0.957451850838541 0.743536480004866 0.97610894765067 0.716724393134202
"EPIC-TIC" NA NA NA NA NA 0.958428014391851 NA NA
"HPCA-Blood" 0.945481990869855 0.942005059425203 0.374148864737236 0.773093353477054 0.521446175318139 0.853291273684672 0.951230267841083 0.638734233649378
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.896074355651327 0.877426518759712 0.490511418447741 0.71134528655493 0.581413619731595 0.615024011757589 0.9349299335035 0.693970382636225
"LM22" 0.929010503810745 0.94823761527491 0.780043418324538 0.888870507667828 0.948172038137451 0.893059618522506 0.969611698009318 0.724571546182751
"SkinSignatures" 0.958427971391437 0.958427971391437 0.456086229945382 0.958427971391437 0.76447596463207 0.786878323435497 0.958427971391437 0.721981916658418
