"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.94369604835444 0.945584554347188 0.858608790221196 0.865820475036167 0.851322253159687 0.85557086685466 0.9364451411024 0.894933390380475
"BlueCode" 0.828165862762905 0.831338951297209 0.773021350558312 NA 0.819788331710322 0.301827374671267 0.977558509365526 0.847014013836598
"BluePrint-Blood" 0.833569058850085 0.833461161998769 0.320451034473414 0.91672875161341 0.885398335596533 0.855759846130616 0.982511681930262 0.859907606242553
"EPIC-BCIC" 0.974083955975501 0.975547439507855 0.885789137812967 0.88535567122433 0.889308133054287 0.786433939613243 0.978224246275258 0.870321612680948
"EPIC-TIC" NA NA NA NA NA NA NA NA
"HPCA-Blood" 0.929001658560407 0.933549317886017 0.895313616466715 0.968390342778548 0.890017170833739 0.686466650249552 0.968076544639134 0.911887500556137
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.948442390900333 0.96818857018429 0.945617016372724 0.870253382496901 0.791420851155411 0.841011210752631 0.963399896073376 0.82221822835357
"LM22" 0.954025651806679 0.98057252350659 0.967921821818187 0.85765215336049 0.800757291964959 0.821443737110363 0.98869715540054 0.810983592949354
"SkinSignatures" 0.943047724750834 0.9475490804115 0.907362927955824 0.977165728857522 0.807201996221924 0.928443172316979 0.956857228486479 0.831388808294841
