"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.965545237537689 0.961370103673366 0.883331639966379 -0.298629105538612 0.44916884825416 -0.302068554327897 0.966212801726337 -0.391432484350799
"BlueCode" 0.98324580277123 0.987246222111827 0.863670827260136 0.904077558272099 0.97550688026592 -0.514272481601894 0.991235440127343 -0.0695666500005404
"BluePrint-Blood" 0.848318609415331 0.842840269667132 0.426540166534058 -0.430086474787626 0.99197226168477 -0.170598654538069 0.956251463464664 0.986953190691184
"EPIC-BCIC" 0.886436819196444 0.886347417549403 0.803437996425333 0.934469179945128 0.873127722069263 0.970202316473893 0.989894218659084 0.58525450550173
"EPIC-TIC" NA NA NA NA NA 0.973279640675692 NA NA
"HPCA-Blood" 0.446237036789698 0.537261612169323 0.625984261119032 0.934206446793012 0.945502251420092 0.178141296175517 0.990811727326174 -0.43070466426029
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.0361029078219293 0.22424324667148 0.731573383387983 0.571215260261272 0.991962283201947 -0.15221292017 0.72708981441047 0.410492488670518
"LM22" 0.890924416556601 0.930348458605773 0.461638700145721 0.939410069611477 0.958756080092855 0.962258681182537 0.964829449270314 0.992914469027271
"SkinSignatures" NA NA 0.664737231808628 0.762897151198501 0.991787014663367 0.390992979281848 0.767048667425399 -0.229411343822215
