"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" -0.264339376550153 -0.262446101953557 0.44956336159426 0.462247772900145 0.627258371823723 -0.149476500990608 0.987582830665926 0.554922720750088
"BlueCode" 0.564915877663965 0.571385963983538 -0.164532397116693 NA 0.696164166896163 -0.446410781353984 0.973859474675332 0.633611800431451
"BluePrint-Blood" 0.353498379001595 0.35398168268381 -0.11775779455554 NA 0.671368850436039 -0.166627119982169 0.911570225524689 0.475909809487295
"EPIC-BCIC" NA NA 0.412515654100082 NA 0.752846870932108 0.900935434241336 0.960215300056782 0.600697217359022
"EPIC-TIC" 0.440750630850089 0.451177427092331 0.619712842379069 0.435990768040335 0.594853575315468 0.785705235503387 0.522655782995078 0.566607142049236
"HPCA-Blood" 0.63646651522442 0.634524094376343 0.477397363376649 NA 0.449057112056187 -0.19277927856433 0.705649502855246 0.486415399251803
"HPCA-Stromal" 0.588344245113681 0.587205780694682 0.477397363376649 NA 0.551808096162578 -0.171780430959931 0.586879688077478 0.486415399251803
"ImmunoStates" 0.936614347757512 0.984968034332226 0.729396450810249 0.974975683022932 0.812355932507057 0.903216908315683 0.941573587112129 0.713650865881402
"LM22" 0.843242068062772 0.928450935321059 0.598414811505362 0.918498453470373 0.874481892987965 0.839946794368164 0.987335715056674 0.803072755091055
"SkinSignatures" 0.656731586342943 0.650870029878614 0.462335327929657 0.613354151146153 0.705328554400331 0.429037071624106 0.946104620335837 0.638657108548265
