"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.620017451470582 0.600491241429795 0.155183684741142 0.393239754702725 0.790638156375255 0.373911439242489 0.91393475648507 0.407880385910131
"BlueCode" 0.769131164761839 0.743894596291856 0.437817421706882 0.527973769256402 0.762068069397187 0.0242608463046838 0.977974688290324 0.618654452124901
"BluePrint-Blood" 0.392951797718314 0.388876966163141 0.180894411292022 -0.335799047441014 0.7323453798171 0.301999206251785 0.7521499961935 0.317767093824152
"EPIC-BCIC" -0.301713575549056 -0.301744182443667 0.235639539092121 -0.202682435892069 0.908438061452453 0.948013414215491 0.934945489330884 -0.244805927154228
"EPIC-TIC" 0.90507417442954 0.90511136275775 0.298399506876483 0.545950549066127 0.833535121291493 0.809662910736578 0.905679835741788 0.648665341143622
"HPCA-Blood" 0.848224905936776 0.843214284823143 0.859943188190687 0.881540202510313 0.745957389621981 0.913370361580352 0.948435557351381 0.622581060813972
"HPCA-Stromal" 0.767913972228331 0.763346990961142 0.85994318819076 0.772103855983249 0.768826414819658 0.618134573093603 0.882263132759268 0.622581060813972
"ImmunoStates" 0.69094100579113 0.758674266864752 0.523663246814808 0.874018647906051 0.915719242859165 0.822366205526265 0.930218914856693 0.688478214409124
"LM22" 0.710207050422308 0.7006370190271 0.754426737517926 0.857680111837072 0.684477624864179 0.889193137878558 0.960216390855421 0.61174435157735
"SkinSignatures" NA NA 0.596385269952613 NA 0.553351844343501 0.00263428508541059 0.325509115347839 0.683629738329288
