"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.768719935950936 0.771023683035301 0.659903912008946 0.77917439791431 0.756276824771172 0.729310427491188 0.972300245521283 0.781868183042034
"BlueCode" 0.784796338229665 0.785218920865712 0.000597664114370306 0.0319217254155266 0.821532374093679 0.246125514674635 0.9184246469899 0.694195913576502
"BluePrint-Blood" 0.103092198475786 0.13173082490108 -0.1313590179174 0.54448648925884 0.886866917401608 0.474723136187089 0.915040975516273 0.730646481596259
"EPIC-BCIC" 0.730391216357607 0.75043125261628 0.725431503756006 0.813693612060701 0.910834898074804 0.974134634137548 0.989625544968444 0.670120552329326
"EPIC-TIC" 0.872877149405923 0.872292544543373 0.69758206917279 NA 0.818600229584235 0.861212435119695 0.859578236655845 0.755075000168522
"HPCA-Blood" 0.788708119300575 0.791521560928037 0.707099175323779 0.786253030598463 0.769760936592621 0.758974101208767 0.874443132786518 0.665987911784872
"HPCA-Stromal" 0.666819580448042 0.68312463493326 0.707099175323779 0.644680193144801 0.805405034208157 0.649510004115466 0.903649896030206 0.665987911784872
"ImmunoStates" 0.978888652174926 0.967916657376821 0.781354220976785 0.928691708309334 0.796173665838364 0.913486001702855 0.974759291123195 0.838219179500709
"LM22" 0.9866188736802 0.963492177297188 0.754849571000969 0.94017503292682 0.779160216747235 0.853423853742136 0.957478750463849 0.71310575344476
"SkinSignatures" 0.910800559403106 0.907731611655569 0.66867940167897 0.84901423356531 0.84793246873596 0.808171003352943 0.896382890017836 0.758571065782463
