"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" NA NA NA NA NA NA NA NA
"BlueCode" 0.995043762722615 0.995043762722615 0.920068304228111 0.952810825653935 0.638071641531516 -0.116285525944581 0.938453390101562 0.764469655407575
"BluePrint-Blood" 0.957444776292411 0.956276237123065 0.990837578581274 NA 0.640329844877722 -0.15221097168991 0.960898802513622 0.583323872184703
"EPIC-BCIC" 0.998849142654932 0.99884002136363 0.678992188321825 0.929148502405319 0.643894181995377 0.809378400115948 0.933251565696253 0.510561944117039
"EPIC-TIC" NA NA NA NA NA NA NA NA
"HPCA-Blood" 0.994639476000871 0.994556022057775 0.569286952531379 0.760530792972513 0.663652676276583 0.528379259122548 0.943600071206119 0.567063301672357
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.992960103573919 0.987539863214079 0.899005644803717 0.90138606475828 0.737160367009622 0.755846269233978 0.995043762722615 0.758458654215377
"LM22" 0.994480278620646 0.993335912429855 0.73566267818834 0.792694824813918 0.76904227575217 0.633814704990637 0.999148245363939 0.573234298291123
"SkinSignatures" 0.995043762722615 0.995043762722615 0.534268829391201 0.832516688527475 0.565954067140293 0.586933692464335 0.948919685950093 0.684193506612319
