"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" NA NA NA NA NA NA NA NA
"BlueCode" 0.0261228198999805 0.0108853328855722 0.402617833695362 NA 0.993872482463342 0.289258702944905 0.981310666593997 0.991888879984853
"BluePrint-Blood" NA NA NA NA NA NA NA NA
"EPIC-BCIC" NA NA NA NA NA NA NA NA
"EPIC-TIC" 0.923605098762431 0.923595562716471 0.659347258494895 NA 0.978598023904909 0.980017836200229 0.946981558417872 0.762187666753231
"HPCA-Blood" NA NA NA NA NA NA NA NA
"HPCA-Stromal" 0.972744309387106 0.974086049676035 0.567826603070796 0.971896325431211 0.866271088902407 0.977694044956529 0.94310551614189 0.779900622322798
"ImmunoStates" NA NA NA NA NA NA NA NA
"LM22" NA NA NA NA NA NA NA NA
"SkinSignatures" 0.788696328145841 0.790950888611685 0.68900041606753 0.944258111413757 0.841787081642423 0.122625924180583 0.984001485282711 0.873187497527758
