"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" NA NA NA NA NA NA NA NA
"BlueCode" 0.40398138865353 0.371473075029941 0.549892971704466 0.387358708714222 0.95549878418041 -0.309359377568536 0.948883003030099 0.720035324445297
"BluePrint-Blood" NA NA NA NA NA NA NA NA
"EPIC-BCIC" NA NA NA NA NA NA NA NA
"EPIC-TIC" 0.84436638305815 0.844219705962318 0.790837442245898 0.826273508694131 0.98705177599436 0.990832530832802 0.837159865506286 0.901832333114019
"HPCA-Blood" NA NA NA NA NA NA NA NA
"HPCA-Stromal" 0.914819440767243 0.907370615335493 0.783186773141272 0.707668985367854 0.936595291792833 0.767394993613912 0.914032256249985 0.682940823922082
"ImmunoStates" 0.292078812544201 0.157599340022241 0.504213378991783 0.238751742499841 0.0415514828056245 0.30343437879765 0.377194423986284 0.636782642314469
"LM22" 0.853279326987034 0.740739451068259 0.64610351352681 0.19706669445933 0.946316139301294 0.602975113839476 0.269212852245698 0.883596523400997
"SkinSignatures" 0.344342653868806 0.344342653868806 0.872336170154412 NA 0.946246521898295 0.0233991869500754 0.852082248180132 0.934267845479251
